function,T0,sigma,J,X,lambda_min,trace_M_zeros,trace_M_arith,trace_residual,trace_residual_rel,n_zeros_used,runtime_s,abs_lambda_min,lambda_over_tr
zeta,60.0,1.0,8,50000000,-3.581296037601782e-14,2.9371741128958107,2.9371741128959252,-1.1457501614131615e-13,3.900858843820963e-14,22,0.0012331008911132812,3.581296037601782e-14,1.2192998780283136e-14
zeta,60.0,1.0,12,50000000,-4.18543834286842e-14,4.121273681457202,4.121273681457369,-1.6697754290362354e-13,4.0516004470875985e-14,22,0.0013582706451416016,4.18543834286842e-14,1.015569133809267e-14
zeta,60.0,1.0,16,50000000,-4.0648868926661097e-13,5.7089659582627545,5.708965958263307,-5.524469770534779e-13,9.676830814762612e-14,22,0.0014410018920898438,4.0648868926661097e-13,7.120180646344334e-14
zeta,60.0,1.0,20,50000000,-9.101300703646582e-10,6.806370693397938,6.806370694159264,-7.613252250848745e-10,1.1185479889059624e-10,22,0.001524209976196289,9.101300703646582e-10,1.3371738204730292e-10
zeta,60.0,1.0,24,50000000,-6.726332792793383e-07,7.951766516381312,7.951767043586266,-5.272049543592061e-07,6.630035643943006e-08,22,0.0017285346984863281,6.726332792793383e-07,8.458916366491103e-08
zeta,60.0,1.0,28,50000000,-0.00017366921239343638,10.004271245467685,10.004396167422641,-0.0001249219549563918,1.2486862050345367e-05,22,0.001863241195678711,0.00017366921239343638,1.735950656796867e-05
zeta,85.7,1.0,4,50000000,-2.3662355356100978e-14,1.7727863092531273,1.7727863092531888,-6.150635556423367e-14,3.4694737455495255e-14,25,0.0009658336639404297,2.3662355356100978e-14,1.3347550820194398e-14
zeta,85.7,1.0,8,50000000,-4.3622208052197817e-14,4.161138248250207,4.161138248250332,-1.2434497875801753e-13,2.988244353820871e-14,25,0.0010120868682861328,4.3622208052197817e-14,1.0483239308509232e-14
zeta,85.7,1.0,12,50000000,-5.482017242940397e-14,5.553058542248335,5.553058542248518,-1.829647544582258e-13,3.2948464898435345e-14,25,0.001215219497680664,5.482017242940397e-14,9.872068160694783e-15
zeta,85.7,1.0,16,50000000,-9.65853118626936e-14,6.538462935036456,6.538462935036494,-3.730349362740526e-14,5.7052389832347145e-15,25,0.0014109611511230469,9.65853118626936e-14,1.4771868070879425e-14
