function,T0,sigma,J,X,lambda_min,trace_M_zeros,trace_M_arith,trace_residual,trace_residual_rel,abs_lambda_min,lambda_over_tr,reliable,rho_RvM,tr_over_J,H1_rel_err
zeta,46.13,1.0,16,50000000,-4.051380544677432e-13,5.222536991987338,5.222536991987849,-5.10702591327572e-13,9.778821904203185e-14,4.051380544677432e-13,7.75749516162978e-14,True,0.31728913500010564,0.32640856199920865,0.02874169327953815
zeta,46.13,1.0,20,50000000,-9.667714019934654e-10,6.488014882033138,6.488014882764918,-7.317799699535499e-10,1.1278950237614639e-10,9.667714019934654e-10,1.4900881387782975e-10,False,0.31728913500010564,0.32440074410165687,0.022413654667213432
zeta,46.13,1.0,24,50000000,-7.369782287622587e-07,7.68655460000431,7.686555114335087,-5.143307770794081e-07,6.691304542078187e-08,7.369782287622587e-07,9.5878877743462e-08,False,0.31728913500010564,0.3202731083335129,0.009404587186404228
zeta,46.13,1.0,28,50000000,-0.0001962834925831,9.438246450702412,9.438370339064832,-0.0001238883624203,1.3126205494577642e-05,0.0001962834925831,2.079660598060608e-05,False,0.31728913500010564,0.337080230382229,0.06237558491284859
zeta,60.0,1.0,4,50000000,-1.738435069360494e-14,1.7965320213608733,1.796532021360927,-5.3734794391857577e-14,2.9910290355500293e-14,1.738435069360494e-14,9.676616106422804e-15,True,0.3591279558847907,0.4491330053402183,0.2506211170157456
zeta,60.0,1.0,8,50000000,-3.5812960376017825e-14,2.9371741128958107,2.937174112895925,-1.1457501614131618e-13,3.900858843820963e-14,3.5812960376017825e-14,1.2192998780283136e-14,True,0.3591279558847907,0.36714676411197633,0.022328554755447958
zeta,60.0,1.0,12,50000000,-4.18543834286842e-14,4.121273681457202,4.121273681457369,-1.6697754290362354e-13,4.051600447087599e-14,4.18543834286842e-14,1.015569133809267e-14,True,0.3591279558847907,0.34343947345476683,0.04368493784164429
zeta,60.0,1.0,16,50000000,-4.0648868926661097e-13,5.7089659582627545,5.708965958263307,-5.524469770534779e-13,9.676830814762613e-14,4.0648868926661097e-13,7.120180646344334e-14,True,0.3591279558847907,0.35681037239142216,0.006453364199004358
zeta,60.0,1.0,20,50000000,-9.101300703646581e-10,6.806370693397938,6.806370694159264,-7.613252250848744e-10,1.1185479889059623e-10,9.101300703646581e-10,1.3371738204730292e-10,False,0.3591279558847907,0.3403185346698969,0.05237526320821396
zeta,60.0,1.0,24,50000000,-6.726332792793383e-07,7.951766516381312,7.951767043586266,-5.272049543592061e-07,6.630035643943006e-08,6.726332792793383e-07,8.458916366491104e-08,False,0.3591279558847907,0.33132360484922135,0.07742185084719233
zeta,60.0,1.0,28,50000000,-0.0001736692123934,10.004271245467685,10.00439616742264,-0.0001249219549563,1.2486862050345368e-05,0.0001736692123934,1.735950656796867e-05,False,0.3591279558847907,0.3572954016238459,0.005102789217369356
zeta,85.7,1.0,4,50000000,-2.3662355356100975e-14,1.7727863092531273,1.7727863092531888,-6.150635556423367e-14,3.469473745549525e-14,2.3662355356100975e-14,1.3347550820194398e-14,True,0.41586800825508496,0.4431965773132818,0.06571452604123872
zeta,85.7,1.0,8,50000000,-4.3622208052197817e-14,4.161138248250207,4.161138248250332,-1.2434497875801753e-13,2.988244353820871e-14,4.3622208052197817e-14,1.0483239308509232e-14,True,0.41586800825508496,0.5201422810312759,0.25073886595342826
zeta,85.7,1.0,12,50000000,-5.4820172429403977e-14,5.553058542248335,5.553058542248518,-1.829647544582258e-13,3.2948464898435345e-14,5.4820172429403977e-14,9.872068160694784e-15,True,0.41586800825508496,0.4627548785206946,0.11274459524390769
zeta,85.7,1.0,16,50000000,-9.65853118626936e-14,6.538462935036456,6.538462935036494,-3.7303493627405266e-14,5.7052389832347145e-15,9.65853118626936e-14,1.4771868070879425e-14,True,0.41586800825508496,0.4086539334397785,0.01734703000015688
zeta,85.7,1.0,20,50000000,-1.0506850081309468e-10,7.623359620434618,7.623359619912777,5.218412368890313e-10,6.845292139835853e-11,1.0506850081309468e-10,1.378244055697645e-11,True,0.41586800825508496,0.3811679810217309,0.08344000150179812
zeta,85.7,1.0,24,50000000,-1.0207192146712098e-07,9.47222617666946,9.472225815405812,3.612636483296683e-07,3.8139254869090615e-08,1.0207192146712098e-07,1.0775916829195752e-08,False,0.41586800825508496,0.39467609069456083,0.050958277962861336
zeta,85.7,1.0,28,50000000,-3.4044440980006466e-05,11.351475499531704,11.35139001637006,8.548316164436187e-05,7.530577117299721e-06,3.4044440980006466e-05,2.999120332983227e-06,False,0.41586800825508496,0.40540983926898944,0.025147808387512946
zeta,120.0,1.0,4,50000000,-3.9694929820871153e-14,1.5971658944407563,1.5971658944408276,-7.105427357601003e-14,4.44877227990706e-14,3.9694929820871153e-14,2.4853354281503883e-14,True,0.46944575596111643,0.3992914736101891,0.1494406573285501
zeta,120.0,1.0,8,50000000,-6.01397535527407e-14,3.716820965443707,3.71682096544386,-1.523225989785715e-13,4.098195753703393e-14,6.01397535527407e-14,1.618042787421732e-14,True,0.46944575596111643,0.4646026206804634,0.010316709053503948
zeta,120.0,1.0,12,50000000,-8.057533649929091e-14,6.036335575357059,6.036335575357271,-2.113864638886298e-13,3.5019004700732856e-14,8.057533649929091e-14,1.3348385869770792e-14,True,0.46944575596111643,0.5030279646130883,0.07153586591323544
zeta,120.0,1.0,16,50000000,-1.4072457259121817e-13,7.640002127158702,7.640002127158914,-2.1227464230832998e-13,2.7784631309687132e-14,1.4072457259121817e-13,1.8419441545830207e-14,True,0.46944575596111643,0.4775001329474189,0.01715720481871731
zeta,120.0,1.0,20,50000000,-1.2451265940870108e-10,9.756924788743907,9.75692478859479,1.4911982759713283e-10,1.5283486428958143e-11,1.2451265940870108e-10,1.2761465533929844e-11,True,0.46944575596111643,0.48784623943719535,0.03919618665719285
zeta,120.0,1.0,24,50000000,-1.1262165652145153e-07,11.094413005287718,11.094412900182782,1.0510493630988549e-07,9.47368159629458e-09,1.1262165652145153e-07,1.01512046169342e-08,False,0.46944575596111643,0.46226720855365494,0.01529153755531252
zeta,120.0,1.0,28,50000000,-3.502701029650406e-05,12.574563273061118,12.57453794022956,2.533283155869981e-05,2.0146092558913065e-06,3.502701029650406e-05,2.785544876261709e-06,False,0.46944575596111643,0.4490915454664685,0.043357960395181055
Lchi,30.0,1.0,4,50000000,-2.1859974540644312e-14,2.1600998305669084,2.1600998305669874,-7.904787935331116e-14,3.659454911978091e-14,2.1859974540644312e-14,1.0119890863982551e-14,True,0.5049601551718529,0.5400249576417271,0.0694407313344171
Lchi,30.0,1.0,8,50000000,-2.6438240265081893e-14,3.57806708301986,3.5780670830200143,-1.5454304502782182e-13,4.319176847220782e-14,2.6438240265081893e-14,7.388972775426064e-15,True,0.5049601551718529,0.4472583853774825,0.11426994625889392
Lchi,30.0,1.0,12,50000000,-3.3960802573104465e-14,5.474291254711705,5.4742912547119325,-2.273736754432321e-13,4.153481516854483e-14,3.3960802573104465e-14,6.203689389722279e-15,True,0.5049601551718529,0.4561909378926421,0.0965803277342015
Lchi,30.0,1.0,16,50000000,-4.751531861312092e-14,7.683678419794008,7.683678419794317,-3.0908609005564363e-13,4.022631780885097e-14,4.751531861312092e-14,6.1839285843504564e-15,True,0.5049601551718529,0.4802299012371255,0.048974664003560736
Lchi,30.0,1.0,20,50000000,-9.461642193926885e-13,10.68088020449351,10.680880204493366,1.4388490399142031e-13,1.3471259038266064e-14,9.461642193926885e-13,8.858485455109137e-14,True,0.5049601551718529,0.5340440102246755,0.057596336572188614
Lchi,30.0,1.0,24,50000000,-8.337161937639823e-10,12.343894824470915,12.343894824088546,3.8236969146510086e-10,3.0976421696908786e-11,8.337161937639823e-10,6.754077263451709e-11,True,0.5049601551718529,0.5143289510196215,0.01855353487163782
Lchi,30.0,1.0,28,50000000,-2.6386589503144825e-07,14.332880345205083,14.332880252479391,9.272569201357329e-08,6.469438785526016e-09,2.6386589503144825e-07,1.8409830311582965e-08,False,0.5049601551718529,0.5118885837573244,0.013720743140839582
Lchi,46.13,1.0,4,50000000,-2.6929030811107126e-14,2.143757248462672,2.143757248462765,-9.281464485866309e-14,4.3295314768135333e-14,2.6929030811107126e-14,1.2561604552203115e-14,True,0.5734391343634937,0.535939312115668,0.06539459900909926
Lchi,46.13,1.0,8,50000000,-3.659825142802762e-14,4.439459189838324,4.439459189838499,-1.749711486809247e-13,3.9412716999724633e-14,3.659825142802762e-14,8.243853555811256e-15,True,0.5734391343634937,0.5549323987297905,0.032273234463227406
Lchi,46.13,1.0,12,50000000,-4.2787924381048905e-14,6.557401120660579,6.5574011206608285,-2.495781359357352e-13,3.806052601378657e-14,4.2787924381048905e-14,6.5251345149888506e-15,True,0.5734391343634937,0.5464500933883816,0.047065223417424126
Lchi,46.13,1.0,16,50000000,-5.6137432676013687e-14,8.962534771880698,8.96253477188104,-3.428368700042484e-13,3.8252222025388856e-14,5.6137432676013687e-14,6.263566513810446e-15,True,0.5734391343634937,0.5601584232425436,0.023159757200197743
Lchi,46.13,1.0,20,50000000,-1.7936515945464853e-12,12.036089977028013,12.03608997702759,4.209965709378594e-13,3.4977851755958143e-14,1.7936515945464853e-12,1.4902278048517708e-13,True,0.5734391343634937,0.6018044988514006,0.049465344773498836
Lchi,46.13,1.0,24,50000000,-1.6317291439310946e-09,14.027858336861696,14.02785833633191,5.297859928532489e-10,3.776670537519645e-11,1.6317291439310946e-09,1.1632061749891782e-10,True,0.5734391343634937,0.5844940973692373,0.019278354655746326
Lchi,46.13,1.0,28,50000000,-5.18162585768086e-07,16.23978770683965,16.239787601245407,1.0559424268308248e-07,6.502193537826221e-09,5.18162585768086e-07,3.1906980258729214e-08,False,0.5734391343634937,0.5799924181014161,0.0114280371624731
Lchi,60.0,1.0,4,50000000,-3.0621326918581566e-14,2.5890878100005814,2.589087810000676,-9.459100169806335e-14,3.65344896116297e-14,3.0621326918581566e-14,1.1827071604255354e-14,True,0.6152779552481787,0.6472719525001454,0.051999258187401656
Lchi,60.0,1.0,8,50000000,-3.6012852202070066e-14,5.076203057360596,5.076203057360782,-1.865174681370263e-13,3.674350021648016e-14,3.6012852202070066e-14,7.094446734129501e-15,True,0.6152779552481787,0.6345253821700745,0.03128249071451307
Lchi,60.0,1.0,12,50000000,-5.1964773904255976e-14,7.533463627384144,7.533463627384437,-2.9309887850104133e-13,3.8906257864659596e-14,5.1964773904255976e-14,6.897859533742753e-15,True,0.6152779552481787,0.6277886356153454,0.020333379833380044
Lchi,60.0,1.0,16,50000000,-6.436938457822438e-14,9.512538758095832,9.51253875809621,-3.783640067922534e-13,3.977529200290924e-14,6.436938457822438e-14,6.7667934097447505e-15,True,0.6152779552481787,0.5945336723809895,0.03371530328731149
Lchi,60.0,1.0,20,50000000,-4.496240630548244e-13,11.999197738479676,11.999197738478276,1.3997691894473974e-12,1.1665523145422814e-13,4.496240630548244e-13,3.747117706152517e-14,True,0.6152779552481787,0.5999598869239838,0.02489617609981851
Lchi,60.0,1.0,24,50000000,-3.941494212575101e-10,14.411346501551794,14.411346500452318,1.099476065746785e-09,7.629238986297324e-11,3.941494212575101e-10,2.734993716340584e-11,True,0.6152779552481787,0.6004727708979914,0.024062595163539494
Lchi,60.0,1.0,28,50000000,-1.3057667658870686e-07,17.178590165364707,17.178589971803124,1.935615827619586e-07,1.1267605833697309e-08,1.3057667658870686e-07,7.601128808112214e-09,False,0.6152779552481787,0.6135210773344538,0.002855421519232335
Lchi,85.7,1.0,4,50000000,-3.9187077841970686e-14,2.3765374571244733,2.37653745712458,-1.0658141036401505e-13,4.484735136174743e-14,3.9187077841970686e-14,1.6489147993226108e-14,True,0.6720180076184731,0.5941343642811183,0.11589517312692592
Lchi,85.7,1.0,8,50000000,-4.2648245455797293e-14,5.226212708272981,5.226212708273172,-1.909583602355269e-13,3.6538574086975833e-14,4.2648245455797293e-14,8.160449609769239e-15,True,0.6720180076184731,0.6532765885341226,0.0278882691711895
Lchi,85.7,1.0,12,50000000,-5.585023606007607e-14,7.923661022961824,7.923661022962129,-3.0464519795714295e-13,3.8447530387066985e-14,5.585023606007607e-14,7.0485392924089935e-15,True,0.6720180076184731,0.6603050852468186,0.0174294769468503
Lchi,85.7,1.0,16,50000000,-6.307019414688636e-14,10.96971248035693,10.969712480357334,-4.032330025438569e-13,3.6758757648927604e-14,6.307019414688636e-14,5.749484707080873e-15,True,0.6720180076184731,0.6856070300223082,0.02022121766050951
Lchi,85.7,1.0,20,50000000,-7.39527593772102e-12,13.415230020310783,13.415230020317344,-6.560085807905125e-12,4.890028570492711e-13,7.39527593772102e-12,5.512597194773778e-13,True,0.6720180076184731,0.6707615010155392,0.001869751388637223
Lchi,85.7,1.0,24,50000000,-5.604541915467039e-09,16.405220023262743,16.405220027585134,-4.3223913337442355e-09,2.6347658413694223e-10,5.604541915467039e-09,3.416316213692807e-10,False,0.6720180076184731,0.6835508343026143,0.017161484593265258
Lchi,85.7,1.0,28,50000000,-1.4937761323842546e-06,19.1390110188484,19.139012077159915,-1.0583115148676825e-06,5.529603979147306e-08,1.4937761323842546e-06,7.804876285995971e-08,False,0.6720180076184731,0.6835361078160143,0.017139570765907792
Lchi,120.0,1.0,4,50000000,-4.412610847995065e-14,2.513838481591561,2.513838481591682,-1.2079226507921706e-13,4.8050925293633446e-14,4.412610847995065e-14,1.7553279100100947e-14,True,0.7255957553245046,0.6284596203978903,0.1338708698525567
Lchi,120.0,1.0,8,50000000,-6.1699688329163e-14,5.541526101135294,5.54152610113552,-2.255973186038318e-13,4.0710323200970516e-14,6.1699688329163e-14,1.1134060762886702e-14,True,0.7255957553245046,0.6926907626419118,0.04534893215834332
Lchi,120.0,1.0,12,50000000,-7.904120602131924e-14,8.319417217594479,8.319417217594838,-3.588240815588506e-13,4.3130915564612464e-14,7.904120602131924e-14,9.500810447895008e-15,True,0.7255957553245046,0.6932847681328732,0.04453028694631918
Lchi,120.0,1.0,16,50000000,-9.401417944884509e-14,11.786398083503284,11.786398083503784,-5.027089855502709e-13,4.2651621130452286e-14,9.401417944884509e-14,7.976497890431099e-15,True,0.7255957553245046,0.7366498802189553,0.015234550110490927
Lchi,120.0,1.0,20,50000000,-3.4024505356930213e-12,14.87259130591186,14.872591305915083,-3.2240876635114546e-12,2.1678049219505405e-13,3.4024505356930213e-12,2.2877321548804656e-13,True,0.7255957553245046,0.743629565295593,0.024853797501920634
Lchi,120.0,1.0,24,50000000,-2.3962895786480647e-09,17.75639725021974,17.75639725191235,-1.6926087198498863e-09,9.532388220414136e-11,2.3962895786480647e-09,1.3495359136653748e-10,True,0.7255957553245046,0.7398498854258225,0.019644726415114055
Lchi,120.0,1.0,28,50000000,-5.908196769241275e-07,20.455485605449173,20.455485962276427,-3.56827253966685e-07,1.7444086190338555e-08,5.908196769241275e-07,2.8883189982384874e-08,False,0.7255957553245046,0.7305530573374704,0.006832043843405365
