Function,epsilon,Peak_Index,t_value,Peak_Magnitude,M_coh,R_comp,CAS
L_DH^(-0.05),-0.05,34,6630.0,12.640104036589241,1.5563603895375526,0.00019910941478167452,0.9079056879482655
L_DH^(-0.05),-0.05,35,1833.0,12.619810996954824,1.870697397236921,0.00018443043064020565,0.9079056879482655
L_DH^(-0.05),-0.05,36,8181.0,12.610623847380994,1.9396706457003168,0.00017114048403570398,0.9079056879482655
L_DH^(-0.05),-0.05,37,7728.0,12.511293615773303,1.780954274644139,0.00019805399174156827,0.9079056879482655
L_DH^(-0.05),-0.05,38,3867.0,12.466615758790967,1.8331673886036883,0.0001600802302807172,0.9079056879482655
L_DH^(-0.05),-0.05,39,2634.0,12.23655002174094,1.5670808726248744,0.00020466203937430626,0.9079056879482655
L_DH^(-0.05),-0.05,40,6850.0,12.07570925687115,1.7522333102314265,0.00016895427212602334,0.9079056879482655
L_DH^(-0.05),-0.05,41,3686.0,12.06909911435417,2.0471294077216475,0.00016348776014380324,0.9079056879482655
L_DH^(-0.05),-0.05,42,4590.0,12.068890752614358,1.4459036445842028,0.00023580403533104627,0.9079056879482655
L_DH^(-0.05),-0.05,43,7592.0,11.98501276507888,2.0215794299818883,0.00016866993411320772,0.9079056879482655
L_DH^(-0.05),-0.05,44,8868.0,11.86038191897953,2.028469640532106,0.00015558665546360585,0.9079056879482655
L_DH^(-0.05),-0.05,45,1919.0,11.855475064598348,2.099788572286753,0.0001680992660308305,0.9079056879482655
L_DH^(-0.05),-0.05,46,8200.0,11.835574947092805,1.8264733223954532,0.0001896708939317676,0.9079056879482655
L_DH^(-0.05),-0.05,47,2263.0,11.803673403648391,1.0125036880927638,0.0002492862988576207,0.9079056879482655
L_DH^(-0.05),-0.05,48,5858.0,11.798152503132899,1.576449872072213,0.0001849199390903012,0.9079056879482655
L_DH^(-0.05),-0.05,49,5933.0,11.777604805850148,1.9708490296719192,0.00015922474026420233,0.9079056879482655
L_DH^(0.00),0.0,0,1329.0,21.134031842243626,1.9553668652410463,0.00032848407350004875,0.9073332087632595
L_DH^(0.00),0.0,1,1610.0,18.912638309848425,1.9691154717426447,0.00028164257581590654,0.9073332087632595
L_DH^(0.00),0.0,2,1055.0,18.742743454504907,2.06017529750438,0.00027603664341061706,0.9073332087632595
L_DH^(0.00),0.0,3,5978.0,18.364132605741876,1.41993169153204,0.00031683459292641944,0.9073332087632595
L_DH^(0.00),0.0,4,6295.0,17.73919918803859,1.9540289036725769,0.00025492411818503073,0.9073332087632595
L_DH^(0.00),0.0,5,4293.0,17.005498925137907,1.5658765960335845,0.00029973113751268,0.9073332087632595
L_DH^(0.00),0.0,6,7267.0,16.86521058245304,1.759797959392341,0.0002600139804689774,0.9073332087632595
L_DH^(0.00),0.0,7,1083.0,16.305477398719415,1.5759746167190158,0.00027545880744733937,0.9073332087632595
L_DH^(0.00),0.0,8,2434.0,16.080148124839038,1.5842243467467962,0.00027038543102973116,0.9073332087632595
L_DH^(0.00),0.0,9,7700.0,15.344494014964463,1.7627227530149976,0.00023149843523223243,0.9073332087632595
L_DH^(0.00),0.0,10,5425.0,15.151720268019858,1.8809811321123173,0.00021662425636580264,0.9073332087632595
L_DH^(0.00),0.0,11,9359.0,15.051568259175616,1.9849233541719298,0.00020530757483243204,0.9073332087632595
L_DH^(0.00),0.0,12,7393.0,15.041405114037948,1.7413058514052353,0.00022035464412606916,0.9073332087632595
L_DH^(0.00),0.0,13,9856.0,14.81536616523064,1.552361499309887,0.00024267521070027445,0.9073332087632595
L_DH^(0.00),0.0,14,9004.0,14.765400505755325,1.6010521170978103,0.0002310331487963313,0.9073332087632595
L_DH^(0.00),0.0,15,9023.0,14.50919016745459,2.029113008006249,0.00020142587454357783,0.9073332087632595
L_DH^(0.00),0.0,16,3531.0,14.366778982156982,2.026059369097649,0.00020309805077329244,0.9073332087632595
L_DH^(0.00),0.0,17,1283.0,14.272789231064557,1.964512877859965,0.00021512760165902267,0.9073332087632595
L_DH^(0.00),0.0,18,5569.0,14.055840241333584,1.9260019175004328,0.00019945693771865317,0.9073332087632595
L_DH^(0.00),0.0,19,5397.0,14.04102030053807,1.9881058554901316,0.00020099183138719135,0.9073332087632595
L_DH^(0.00),0.0,20,6049.0,13.989968497428928,1.9943515181637728,0.00019471505200661872,0.9073332087632595
L_DH^(0.00),0.0,21,9812.0,13.665248691667612,1.9828036991861309,0.00018527228893868545,0.9073332087632595
L_DH^(0.00),0.0,22,3938.0,13.521748509347784,1.9806514754566409,0.0001862115855515865,0.9073332087632595
L_DH^(0.00),0.0,23,5155.0,13.341798072000438,2.132785059434514,0.00019573116340023384,0.9073332087632595
L_DH^(0.00),0.0,24,1770.0,13.255292016933417,1.468237558646958,0.00022320426443356043,0.9073332087632595
L_DH^(0.00),0.0,25,8852.0,13.224792530019206,1.9905517098173078,0.0001768657729108575,0.9073332087632595
L_DH^(0.00),0.0,26,2742.0,13.114452163127437,1.6985890875903111,0.00020441379798521642,0.9073332087632595
L_DH^(0.00),0.0,27,7810.0,13.074054745523172,1.9345422957628566,0.0001796387654533747,0.9073332087632595
L_DH^(0.00),0.0,28,7638.0,13.047357193686162,1.9116328544596741,0.00017413465397163064,0.9073332087632595
L_DH^(0.00),0.0,29,1290.0,12.728554668087217,1.72120436376653,0.00021119737153510579,0.9073332087632595
L_DH^(0.00),0.0,30,7111.0,12.72374024681726,1.9381957326804455,0.0001675112255844002,0.9073332087632595
L_DH^(0.00),0.0,31,2634.0,12.713927933364815,1.6282165516349087,0.00020766328898705886,0.9073332087632595
L_DH^(0.00),0.0,32,4590.0,12.632927103192218,1.5134775610024822,0.00024054226661240566,0.9073332087632595
L_DH^(0.00),0.0,33,8090.0,12.62381901053502,1.662781024765524,0.00019678048601195022,0.9073332087632595
L_DH^(0.00),0.0,34,2263.0,12.621991280915129,1.0826979268209147,0.00025800479068743864,0.9073332087632595
L_DH^(0.00),0.0,35,3867.0,12.51322933200352,1.84002173335393,0.0001581578415298444,0.9073332087632595
L_DH^(0.00),0.0,36,8181.0,12.495490359142226,1.9219616845754313,0.00017097205490150552,0.9073332087632595
L_DH^(0.00),0.0,37,8009.0,12.48844876527848,2.01756582756161,0.0001748841691980197,0.9073332087632595
L_DH^(0.00),0.0,38,8317.0,12.480256309026876,1.6943508204589128,0.00017401724370258987,0.9073332087632595
L_DH^(0.00),0.0,39,6850.0,12.386160282778896,1.7972809854627212,0.00017091787091534202,0.9073332087632595
L_DH^(0.00),0.0,40,8200.0,12.284649161502605,1.8957747358089745,0.00019264337499743487,0.9073332087632595
L_DH^(0.00),0.0,41,1833.0,12.272267551717993,1.8191793025056942,0.00018217809039866093,0.9073332087632595
L_DH^(0.00),0.0,42,7728.0,12.18036557424933,1.7338474183708044,0.00019693147625534448,0.9073332087632595
L_DH^(0.00),0.0,43,6630.0,12.108076799102987,1.4908525332586946,0.00019442656200767045,0.9073332087632595
L_DH^(0.00),0.0,44,6495.0,12.10139857041505,1.2889221653758185,0.0002360324704380579,0.9073332087632595
L_DH^(0.00),0.0,45,5362.0,12.074071334686835,1.597306656708541,0.00020324742304046948,0.9073332087632595
L_DH^(0.00),0.0,46,3686.0,11.971794857284605,2.030624911051576,0.00016310974895745455,0.9073332087632595
L_DH^(0.00),0.0,47,1919.0,11.931423929788096,2.1132402946626696,0.000168791678611624,0.9073332087632595
L_DH^(0.00),0.0,48,5933.0,11.887707401694689,1.989273454481689,0.00015930644946046102,0.9073332087632595
L_DH^(0.00),0.0,49,6431.0,11.857781950903115,2.0285661466451543,0.00016959357021818953,0.9073332087632595
L_DH^(0.05),0.05,0,1329.0,20.789025341530753,1.9234461089545785,0.0003262599077960104,0.9079056879482655
L_DH^(0.05),0.05,1,1610.0,18.780690062279483,1.9553774976165255,0.0002815068177109575,0.9079056879482655
L_DH^(0.05),0.05,2,1055.0,18.678712134342128,2.0531370672481652,0.0002743963826372608,0.9079056879482655
L_DH^(0.05),0.05,3,6295.0,17.916568732780327,1.973566720085975,0.00025800139302227683,0.9079056879482655
L_DH^(0.05),0.05,4,4293.0,17.62527611212161,1.6229460531618722,0.00030425438980450893,0.9079056879482655
L_DH^(0.05),0.05,5,5978.0,17.493280816427845,1.3525966269895553,0.0003079758755223898,0.9079056879482655
L_DH^(0.05),0.05,6,7267.0,17.309681818007007,1.8061762461924038,0.0002632576713952807,0.9079056879482655
L_DH^(0.05),0.05,7,2434.0,16.70705694167763,1.6459877212577427,0.0002756642196411986,0.9079056879482655
L_DH^(0.05),0.05,8,1083.0,15.598119454276443,1.507606292497842,0.0002690969532447674,0.9079056879482655
L_DH^(0.05),0.05,9,7393.0,15.44766884674403,1.7883379876725176,0.00022425508078946965,0.9079056879482655
L_DH^(0.05),0.05,10,9359.0,14.937411831605123,1.9698689920475472,0.00020424346876996013,0.9079056879482655
L_DH^(0.05),0.05,11,7700.0,14.920781301534607,1.7140480922555004,0.00022872835510655179,0.9079056879482655
L_DH^(0.05),0.05,12,5425.0,14.832640490537413,1.8413695876496166,0.0002142389492789371,0.9079056879482655
L_DH^(0.05),0.05,13,9023.0,14.31176757778971,2.001503421245036,0.000198421894216687,0.9079056879482655
L_DH^(0.05),0.05,14,5569.0,14.256502893071088,1.9534977231855775,0.00020022223430738137,0.9079056879482655
L_DH^(0.05),0.05,15,9856.0,14.213582619561173,1.4893063174941414,0.00023791483156311805,0.9079056879482655
L_DH^(0.05),0.05,16,3531.0,14.21294319440759,2.004364844565792,0.00020192288413365333,0.9079056879482655
L_DH^(0.05),0.05,17,9004.0,14.207961350359085,1.5406074891615427,0.00022580948186002602,0.9079056879482655
L_DH^(0.05),0.05,18,1283.0,13.956822558030511,1.9210230884361175,0.0002137233987508829,0.9079056879482655
L_DH^(0.05),0.05,19,5397.0,13.827636655670627,1.9578922908953607,0.00020010710570481628,0.9079056879482655
L_DH^(0.05),0.05,20,6049.0,13.81866592646163,1.9699313386232127,0.00019419875227425824,0.9079056879482655
L_DH^(0.05),0.05,21,3938.0,13.674562742808536,2.00303554337253,0.00018793218512649557,0.9079056879482655
L_DH^(0.05),0.05,22,9812.0,13.609955265451491,1.9747807196915201,0.00018610377663116957,0.9079056879482655
L_DH^(0.05),0.05,23,2263.0,13.449111005529241,1.1536471765186578,0.0002665975771989856,0.9079056879482655
L_DH^(0.05),0.05,24,5155.0,13.384524677028535,2.139615223131528,0.00019432816213331444,0.9079056879482655
L_DH^(0.05),0.05,25,8852.0,13.336739460203647,2.0074015887686505,0.00017804768847711852,0.9079056879482655
L_DH^(0.05),0.05,26,7810.0,13.262670064779227,1.962451335447319,0.00018160834826590202,0.9079056879482655
L_DH^(0.05),0.05,27,4590.0,13.18374277385224,1.5794675846116435,0.00024491061354340243,0.9079056879482655
