delta,sigma,J,m,lambda_min_dQ,lambda_min_Q,lambda_min_base,tr_Mzeros
0.1,4.0,16,1,-1.1104649324573204e-11,-1.7472923338681667,-1.7472923338681352,5.013731062690268
1e-05,4.0,16,5,-2.7747500921694847e-11,-1.7359855916153446,-1.735985591616128,5.86038725014533
0.0001,4.0,16,5,-2.774774302920799e-09,-1.7359855915379554,-1.735985591616128,5.860387251017324
0.001,4.0,16,5,-2.77477524665141e-07,-1.7359855837988367,-1.735985591616128,5.860387338216912
0.01,4.0,16,5,-2.774845773673467e-05,-1.7359848099607844,-1.735985591616128,5.860396058536856
0.1,4.0,16,5,-0.0027819077959273957,-1.7359081689341032,-1.735985591616128,5.861271708572801
1e-05,4.0,16,20,-1.2803657252510926e-10,-1.3504182882629099,-1.3504182882824491,10.027462125152518
0.0001,4.0,16,20,-1.2803670777733609e-08,-1.3504182863285403,-1.3504182882824491,10.027462126737268
0.001,4.0,16,20,-1.2803676025478883e-06,-1.3504180928924239,-1.3504182882824491,10.027462285212415
0.01,4.0,16,20,-0.00012804196155758582,-1.3503987574529412,-1.3504182882824491,10.027478133370415
0.1,4.0,16,20,-0.012856312768389125,-1.3485481037614084,-1.3504182882824491,10.02906939344436
1e-05,4.0,20,1,-6.700788708272329e-17,-1.864858750469144,-1.8648587504691447,6.22025368897141
0.0001,4.0,20,1,-7.23068623946065e-15,-1.8648587504691447,-1.8648587504691447,6.220253688971402
0.001,4.0,20,1,-7.284376859776557e-13,-1.8648587504691614,-1.8648587504691447,6.220253688970684
0.01,4.0,20,1,-7.28441150406919e-11,-1.8648587504708682,-1.8648587504691447,6.220253688898583
0.1,4.0,20,1,-7.249655762558805e-09,-1.864858750640672,-1.8648587504691447,6.220253681723434
1e-05,4.0,20,5,-6.568122212042234e-11,-1.8614661620290591,-1.8614661620248836,7.378469383494377
0.0001,4.0,20,5,-6.5681654863548355e-09,-1.8614661624424893,-1.8614661620248836,7.378469383724666
0.001,4.0,20,5,-6.568168290652167e-07,-1.861466203785439,-1.8614661620248836,7.378469406753794
0.01,4.0,20,5,-6.568419815324486e-05,-1.8614703384918623,-1.8614661620248836,7.378471710001898
0.1,4.0,20,5,-0.006593615643520872,-1.861887946936773,-1.8614661620248836,7.378705397807386
1e-05,4.0,20,20,-1.733305220610745e-10,-1.5079665304033967,-1.5079665304095204,12.440507151888909
0.0001,4.0,20,20,-1.7333055286349164e-08,-1.5079665297971294,-1.5079665304095204,12.44050715201925
0.001,4.0,20,20,-1.7333064710163237e-06,-1.50796646917099,-1.5079665304095204,12.44050716505331
0.01,4.0,20,20,-0.0001733400073089598,-1.507960410118463,-1.5079665304095204,12.4405084687555
0.1,4.0,20,20,-0.017427842999267872,-1.5073902448548233,-1.5079665304095204,12.44064181043872
