delta,sigma,J,m,lambda_min_dQ,lambda_min_Q,lambda_min_base,tr_Mzeros
0.1,0.5,16,20,-1.5359091561362492,-2.405748909250292,-1.3084651697332528,5.848457977659294
1e-05,0.5,20,1,0.0,-1.63502071229044,-1.63502071229044,5.23681773990819
0.0001,0.5,20,1,0.0,-1.63502071229044,-1.63502071229044,5.23681773990819
0.001,0.5,20,1,0.0,-1.63502071229044,-1.63502071229044,5.23681773990819
0.01,0.5,20,1,0.0,-1.63502071229044,-1.63502071229044,5.23681773990819
0.1,0.5,20,1,0.0,-1.63502071229044,-1.63502071229044,5.23681773990819
1e-05,0.5,20,5,0.0,-1.63502071229044,-1.63502071229044,5.23681773990819
0.0001,0.5,20,5,0.0,-1.63502071229044,-1.63502071229044,5.23681773990819
0.001,0.5,20,5,0.0,-1.63502071229044,-1.63502071229044,5.23681773990819
0.01,0.5,20,5,0.0,-1.63502071229044,-1.63502071229044,5.23681773990819
0.1,0.5,20,5,0.0,-1.63502071229044,-1.63502071229044,5.23681773990819
1e-05,0.5,20,20,-2.3876299456381356e-08,-1.6231468735109897,-1.6231468733827064,10.473635480523049
0.0001,0.5,20,20,-2.387630450430817e-06,-1.623146886211126,-1.6231468733827064,10.47363555048314
0.001,0.5,20,20,-0.00023876812206613497,-1.6231481565594055,-1.6231468733827064,10.473642545868245
0.01,0.5,20,20,-0.02392763422722204,-1.623278696806122,-1.6231468733827064,10.474335830063131
0.1,0.5,20,20,-2.9561170683891955,-3.935264103599207,-1.6231468733827064,10.468747937166158
1e-05,1.0,4,1,0.0,-7.335675580496938e-11,-7.335675580496938e-11,0.8816212629000668
0.0001,1.0,4,1,0.0,-7.335675580496938e-11,-7.335675580496938e-11,0.8816212629000668
0.001,1.0,4,1,0.0,-7.335675580496938e-11,-7.335675580496938e-11,0.8816212629000668
0.01,1.0,4,1,0.0,-7.335675580496938e-11,-7.335675580496938e-11,0.8816212629000668
0.1,1.0,4,1,0.0,-7.335675580496938e-11,-7.335675580496938e-11,0.8816212629000668
1e-05,1.0,4,5,0.0,-7.335675580496938e-11,-7.335675580496938e-11,0.8816212629000668
0.0001,1.0,4,5,0.0,-7.335675580496938e-11,-7.335675580496938e-11,0.8816212629000668
0.001,1.0,4,5,0.0,-7.335675580496938e-11,-7.335675580496938e-11,0.8816212629000668
0.01,1.0,4,5,0.0,-7.335675580496938e-11,-7.335675580496938e-11,0.8816212629000668
0.1,1.0,4,5,0.0,-7.335675580496938e-11,-7.335675580496938e-11,0.8816212629000668
1e-05,1.0,4,20,-1.7276992064469422e-10,6.019888678241775e-11,6.097606902771168e-11,1.7632425258867
0.0001,1.0,4,20,-1.72770010524426e-08,-1.6740360008679396e-11,6.097606902771168e-11,1.7632425344567273
0.001,1.0,4,20,-1.7277010096426735e-06,-7.720951341009452e-09,6.097606902771168e-11,1.7632433914616272
0.01,1.0,4,20,-0.0001727792043414381,-9.029748340984367e-07,6.097606902771168e-11,1.7633291124284787
0.1,1.0,4,20,-0.017368929864601774,-0.0042353673799060175,6.097606902771168e-11,1.7721073785601846
1e-05,1.0,8,1,0.0,-1.4848004908350526e-06,-1.4848004908350526e-06,2.4626898474102754
0.0001,1.0,8,1,0.0,-1.4848004908350526e-06,-1.4848004908350526e-06,2.4626898474102754
0.001,1.0,8,1,0.0,-1.4848004908350526e-06,-1.4848004908350526e-06,2.4626898474102754
0.01,1.0,8,1,0.0,-1.4848004908350526e-06,-1.4848004908350526e-06,2.4626898474102754
0.1,1.0,8,1,0.0,-1.4848004908350526e-06,-1.4848004908350526e-06,2.4626898474102754
1e-05,1.0,8,5,0.0,-1.4848004908350526e-06,-1.4848004908350526e-06,2.4626898474102754
0.0001,1.0,8,5,0.0,-1.4848004908350526e-06,-1.4848004908350526e-06,2.4626898474102754
0.001,1.0,8,5,0.0,-1.4848004908350526e-06,-1.4848004908350526e-06,2.4626898474102754
0.01,1.0,8,5,0.0,-1.4848004908350526e-06,-1.4848004908350526e-06,2.4626898474102754
0.1,1.0,8,5,0.0,-1.4848004908350526e-06,-1.4848004908350526e-06,2.4626898474102754
1e-05,1.0,8,20,-1.0223378484312337e-09,-2.5463858782819273e-07,-2.5412620667634254e-07,4.925379694810401
0.0001,1.0,8,20,-1.0223377087855766e-07,-3.064756456072686e-07,-2.5412620667634254e-07,4.925379693805429
0.001,1.0,8,20,-1.0223401267851019e-05,-6.231176652511997e-06,-2.5412620667634254e-07,4.92537959330935
0.01,1.0,8,20,-0.0010225821375234726,-0.0009738986264998033,-2.5412620667634254e-07,4.9253695548069985
0.1,1.0,8,20,-0.10470603112417749,-0.10354822389585837,-2.5412620667634254e-07,4.924484563526516
1e-05,1.0,12,1,0.0,-0.0013246428856749396,-0.0013246428856749396,3.6906769053295663
0.0001,1.0,12,1,0.0,-0.0013246428856749396,-0.0013246428856749396,3.6906769053295663
0.001,1.0,12,1,0.0,-0.0013246428856749396,-0.0013246428856749396,3.6906769053295663
0.01,1.0,12,1,0.0,-0.0013246428856749396,-0.0013246428856749396,3.6906769053295663
0.1,1.0,12,1,0.0,-0.0013246428856749396,-0.0013246428856749396,3.6906769053295663
1e-05,1.0,12,5,0.0,-0.0013246428856749396,-0.0013246428856749396,3.6906769053295663
0.0001,1.0,12,5,0.0,-0.0013246428856749396,-0.0013246428856749396,3.6906769053295663
0.001,1.0,12,5,0.0,-0.0013246428856749396,-0.0013246428856749396,3.6906769053295663
0.01,1.0,12,5,0.0,-0.0013246428856749396,-0.0013246428856749396,3.6906769053295663
0.1,1.0,12,5,0.0,-0.0013246428856749396,-0.0013246428856749396,3.6906769053295663
1e-05,1.0,12,20,-2.3520259036843097e-09,-0.0011391896097149967,-0.0011391883185905933,7.3813538099563125
0.0001,1.0,12,20,-2.3520260005789994e-07,-0.0011393174388915541,-0.0011391883185905933,7.381353740377243
0.001,1.0,12,20,-2.352036246445529e-05,-0.0011521786477146146,-0.0011391883185905933,7.381346782437449
0.01,1.0,12,20,-0.002353060991682532,-0.0029284813562092385,-0.0011391883185905933,7.380650661214734
0.1,1.0,12,20,-0.24575884937082365,-0.2396702736187713,-0.0011391883185905933,7.307695733283995
1e-05,1.0,16,1,0.0,-0.11047264938833196,-0.11047264938833196,5.222536991987338
0.0001,1.0,16,1,0.0,-0.11047264938833196,-0.11047264938833196,5.222536991987338
0.001,1.0,16,1,0.0,-0.11047264938833196,-0.11047264938833196,5.222536991987338
0.01,1.0,16,1,0.0,-0.11047264938833196,-0.11047264938833196,5.222536991987338
0.1,1.0,16,1,0.0,-0.11047264938833196,-0.11047264938833196,5.222536991987338
1e-05,1.0,16,5,0.0,-0.11047264938833196,-0.11047264938833196,5.222536991987338
0.0001,1.0,16,5,0.0,-0.11047264938833196,-0.11047264938833196,5.222536991987338
0.001,1.0,16,5,0.0,-0.11047264938833196,-0.11047264938833196,5.222536991987338
0.01,1.0,16,5,0.0,-0.11047264938833196,-0.11047264938833196,5.222536991987338
0.1,1.0,16,5,0.0,-0.11047264938833196,-0.11047264938833196,5.222536991987338
1e-05,1.0,16,20,-3.1990617494687243e-09,-0.09520017974662819,-0.09520017879242657,10.445073983631605
0.0001,1.0,16,20,-3.1990618014511895e-07,-0.09520027421265873,-0.09520017879242657,10.445073949667812
0.001,1.0,16,20,-3.199078524329053e-05,-0.09520972173505753,-0.09520017879242657,10.445070553264895
0.01,1.0,16,20,-0.003200751435347122,-0.0961636768325011,-0.09520017879242657,10.444730677104275
0.1,1.0,16,20,-0.3372469401351743,-0.3227443611446199,-0.09520017879242657,10.408334574219568
1e-05,1.0,20,1,0.0,-0.9046996145799262,-0.9046996145799262,6.488014882033138
0.0001,1.0,20,1,0.0,-0.9046996145799262,-0.9046996145799262,6.488014882033138
0.001,1.0,20,1,0.0,-0.9046996145799262,-0.9046996145799262,6.488014882033138
0.01,1.0,20,1,0.0,-0.9046996145799262,-0.9046996145799262,6.488014882033138
0.1,1.0,20,1,0.0,-0.9046996145799262,-0.9046996145799262,6.488014882033138
1e-05,1.0,20,5,0.0,-0.9046996145799262,-0.9046996145799262,6.488014882033138
0.0001,1.0,20,5,0.0,-0.9046996145799262,-0.9046996145799262,6.488014882033138
0.001,1.0,20,5,0.0,-0.9046996145799262,-0.9046996145799262,6.488014882033138
