function,peak_idx,pc1_instantaneous,H_instantaneous
F1,119,0.9986379312601491,0.010349092620849596
F1,120,0.9652408922079341,0.15091463161153412
F1,121,0.9981858973060731,0.01326337050573194
F1,122,0.9892060470176105,0.05961880946214474
F1,123,0.9954820853422947,0.028903098716475256
F1,124,0.9910787708597047,0.05098346500487188
F1,125,0.9942712949387855,0.035285362630620515
F1,126,0.9860406754210328,0.07349019313744676
F1,127,0.9491944350283751,0.2008803838306245
F1,128,0.9856982462208421,0.07494387702416451
F1,129,0.9963946242018759,0.02388029461267955
F1,130,0.9407261598774487,0.22496477547391971
F1,131,0.9817506227294867,0.09114548577441474
F1,132,0.9949166409661778,0.0319196161880342
F1,133,0.9274675171437597,0.26014097427576766
F1,134,0.9782422355370967,0.1048033643995622
F1,135,0.9522455974106732,0.19184936740345093
F1,136,0.9976040266677872,0.01685032166691728
F1,137,0.9712043103078386,0.1305306165600421
F1,138,0.9793915505550688,0.10039773744351156
F1,139,0.9518672064942438,0.1929802270972966
F1,140,0.9870420585536853,0.06918943761950407
F1,141,0.9690253782250141,0.1381138971072066
F1,142,0.9940441728428674,0.036452052521140504
F1,143,0.9754987063064683,0.11507467275089307
F1,144,0.9349633559591998,0.24060678935742666
F1,145,0.9648614580364072,0.15217370847477996
F1,146,0.9508519471512704,0.19599905533428894
F1,147,0.9524702110381966,0.19117659902797013
F1,148,0.8849134870415186,0.3570195247725563
F1,149,0.9966649974077554,0.022349894940426624
F1,150,0.9790470871729117,0.10172486643844163
F1,151,0.9168767869572908,0.2863318473981388
F1,152,0.9867121800408124,0.07061458356499346
F1,153,0.9917241169278472,0.047919516734181454
F1,154,0.9891415250135479,0.059910119929318634
F1,155,0.912149599188673,0.2975360206025653
F1,156,0.9573395728467294,0.17630886396777165
F1,157,0.9837119718560802,0.08321775611180549
F1,158,0.9844617016911914,0.08012537546622368
F1,159,0.995464451342517,0.0289982027340446
F1,160,0.9930816611689871,0.041303260560952446
F1,161,0.9244668452908513,0.267721866610084
F1,162,0.8801279467582969,0.3666699887569713
F1,163,0.9892347528499511,0.05948908028520257
F1,164,0.992567864615509,0.04383634543571701
F1,165,0.9814112537953508,0.09249474624495142
F1,166,0.9315268040257457,0.24967155327638685
F1,167,0.8408801147644773,0.43820756239468855
F1,168,0.9877230090408655,0.06622042755034573
F1,169,0.9816526873695818,0.09153551119318915
F1,170,0.9876328130525293,0.0666158436401008
F1,171,0.992419596018023,0.04456056315147314
F1,172,0.9643295547958903,0.1539315845859128
F1,173,0.9305146338648016,0.25230571019765224
F1,174,0.9280435842033314,0.25867043901101205
F1,175,0.9794304441539439,0.10024752280236356
F1,176,0.9508724814606035,0.1959382174968036
F1,177,0.9752154580534245,0.11611655034994957
F1,178,0.934743649279124,0.24119203341474033
F1,179,0.9977951458483636,0.01568972159039391
F1,180,0.9974484775191278,0.017783571276623437
F1,181,0.9669171212443117,0.14530041563332302
F1,182,0.9530290864787425,0.1894977942666345
F1,183,0.958274039582422,0.17339107795887065
F1,184,0.883090573579194,0.3607216738610891
F1,185,0.9170464060901505,0.2859244625135011
F1,186,0.9624405523674466,0.1601088254323176
F1,187,0.9783607635785103,0.10435194134654958
F1,188,0.989071016304168,0.060228016637961
F1,189,0.9339908699167665,0.24319126511920466
F1,190,0.9873549350287057,0.06782988501799501
F1,191,0.9907355735018288,0.05259347048269504
F1,192,0.9987216710146855,0.009793996901553513
F1,193,0.9908487990239354,0.052063749557321154
F1,194,0.9966253858418529,0.022575443433827523
F1,195,0.9514810003690362,0.19413122088513052
F1,196,0.9627536417007189,0.15909194586311856
