Function,Peak_Index,t_value,Peak_Magnitude,M_coh,R_comp
L_DH,10,5392.0,9.214134840255605,1.5785542440727824,0.02365800813669229
L_DH,11,5857.0,9.12014609390429,2.045190472224291,0.01967877752806287
L_DH,12,6555.0,9.103003890329317,2.1923076191773023,0.018696171520938228
L_DH,13,7733.0,8.917378829530993,1.9568409900691333,0.019189965533842446
L_DH,14,9970.0,8.897689997918938,2.145426752144667,0.018834964793567655
L_DH,15,9037.0,8.867245619033888,1.8345941593321808,0.020401369590229167
L_DH,16,7035.0,8.843596131828331,1.9424543443773339,0.01879585615421431
L_DH,17,8757.0,8.822049665268477,2.170068893550884,0.017205336161621506
L_DH,18,3888.0,8.78380874977101,1.9993306893416014,0.018789154468100682
L_DH,19,2655.0,8.778485900459025,1.7302077217009753,0.021305332564275303
L_DH,20,4014.0,8.70578886923538,2.135369660644242,0.01829587503577361
L_DH,21,6090.0,8.673427712943553,2.161619549295437,0.01720328708170647
L_DH,22,6761.0,8.574481654931347,2.0551620314727304,0.01780639297620158
L_DH,23,8631.0,8.570826283011034,2.0944970670378837,0.017510379118432902
L_DH,24,9619.0,8.525592681910355,2.0536775541962538,0.0181149484517259
L_DH,25,2521.0,8.52232765774924,1.8150679798207827,0.02047909622126128
L_DH,26,5240.0,8.50826239892788,2.014935216495069,0.018266084199791317
L_DH,27,3564.0,8.48288785464226,2.130310457786899,0.01784132647167791
L_DH,28,9174.0,8.44047525937991,2.138936133895666,0.016531074691548183
L_DH,29,6719.0,8.392915403423602,2.054943875037013,0.018520291558573522
L_DH,30,2437.0,8.391872051711022,2.1939938049527146,0.017338569545384902
L_DH,31,7452.0,8.348300732405068,2.050796043378809,0.01665796294928702
L_DH,32,5411.0,8.31651655539325,2.0975017769200774,0.016126490789435923
L_DH,33,3162.0,8.308939816373407,1.7060646136400088,0.020145322571792034
L_DH,34,8104.0,8.202183336022943,2.153321474378663,0.015735822508399167
L_DH,35,4821.0,8.178024533502047,2.037987755439235,0.016409914818738408
L_DH,36,8721.0,8.15140418006835,1.9639099440328245,0.015769474143206383
