kind,x,y
A1_visible_n150,4.78040995563,-2.30713548533
A1_visible_n150,4.81790777926,-2.33452569506
A1_visible_n150,4.85540560288,-2.37492667805
A1_visible_n150,4.89290342651,-2.39275707174
A1_visible_n150,4.93040125013,-2.42145853798
A1_visible_n150,4.96789907376,-2.42145912706
A1_visible_n150,5.00539689738,-2.46093121173
A1_visible_n150,5.04289472101,-2.47524097198
A1_visible_n150,5.08039254463,-2.4918139609
A1_visible_n150,5.11789036825,-2.50642260293
A1_visible_n150,5.15538819188,-2.50859497766
A1_visible_n150,5.1928860155,-2.50811123383
A1_visible_n150,5.23038383913,-2.50934978107
A1_visible_n150,5.26788166275,-2.50181884021
A1_visible_n150,5.30537948638,-2.514590739
A1_visible_n150,5.34287731,-2.5190830361
A1_visible_n150,5.38037513363,-2.50105732828
A1_visible_n150,5.41787295725,-2.44401230576
A1_visible_n150,5.45537078088,-2.41208547747
A1_visible_n150,5.4928686045,-2.40017286948
A1_visible_n150,5.53036642812,-2.38947715302
A1_visible_n150,5.56786425175,-2.37187782304
A1_visible_n150,5.60536207537,-2.35578924751
A1_visible_n150,5.642859899,-2.35753116906
A1_visible_n150,5.68035772262,-2.3709831121
A1_visible_n150,5.71785554625,-2.37343988177
A1_visible_n150,5.75535336987,-2.36956509776
A1_visible_n150,5.7928511935,-2.37043252939
A1_visible_n150,5.83034901712,-2.37618549848
A1_visible_n150,5.86784684075,-2.38869866767
A1_visible_n150,5.90534466437,-2.39488750334
A1_visible_n150,5.94284248799,-2.40143989208
A1_visible_n150,5.98034031162,-2.40380469252
A1_visible_n150,6.01783813524,-2.4090493341
A1_visible_n150,6.05533595887,-2.42637664411
A1_visible_n150,6.09283378249,-2.44147465576
A1_visible_n150,6.13033160612,-2.4419185947
A1_visible_n150,6.16782942974,-2.42349051431
A1_visible_n150,6.20532725337,-2.4220143329
A1_visible_n150,6.24282507699,-2.41840904865
A1_visible_n150,6.28032290061,-2.42045582647
A1_visible_n150,6.31782072424,-2.43453181973
A1_visible_n150,6.35531854786,-2.44734768549
A1_visible_n150,6.39281637149,-2.45234036708
A1_visible_n150,6.43031419511,-2.45289521414
A1_visible_n150,6.46781201874,-2.45220996254
A1_visible_n150,6.50530984236,-2.45846203705
A1_visible_n150,6.54280766599,-2.4669699856
A1_visible_n150,6.58030548961,-2.46596016638
A1_visible_n150,6.61780331324,-2.45912846762
A1_visible_n150,6.65530113686,-2.46129147467
A1_visible_n150,6.69279896048,-2.44518551559
A1_visible_n150,6.73029678411,-2.42666173546
A1_visible_n150,6.76779460773,-2.42178376412
A1_visible_n150,6.80529243136,-2.42397895224
A1_visible_n150,6.84279025498,-2.40896570783
A1_visible_n150,6.88028807861,-2.39591892859
A1_visible_n150,6.91778590223,-2.38601317864
A1_visible_n150,6.95528372586,-2.38476676797
A1_visible_n150,6.99278154948,-2.38851417364
A1_visible_n150,7.03027937311,-2.39447764572
A1_visible_n150,7.06777719673,-2.39526799969
A1_visible_n150,7.10527502035,-2.39571066926
A1_visible_n150,7.14277284398,-2.39696679614
A1_visible_n150,7.1802706676,-2.398658784
A1_visible_n150,7.21776849123,-2.39638609416
A1_visible_n150,7.25526631485,-2.4134485606
A1_visible_n150,7.29276413848,-2.43519650941
A1_visible_n150,7.3302619621,-2.43713887475
A1_visible_n150,7.36775978573,-2.4426490736
A1_visible_n150,7.40525760935,-2.42685871049
A1_visible_n150,7.44275543298,-2.41482914401
A1_visible_n150,7.4802532566,-2.40441285565
A1_visible_n150,7.51775108022,-2.40301799617
A1_visible_n150,7.55524890385,-2.40924154224
A1_visible_n150,7.59274672747,-2.42153081527
A1_visible_n150,7.6302445511,-2.43008676225
A1_visible_n150,7.66774237472,-2.43504549309
