function,function_label,t_value,magnitude,M,R_comp
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),8476.0,16.17778846525742,0.4986233039720717,0.01491412296414987
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),1595.0,15.517251985042458,0.5113645159575313,0.017775903486995617
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),9002.0,14.883265893173562,0.5306030751904237,0.0180353871565811
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),2619.0,14.849124147948082,0.48751062409043944,0.01328762500103489
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),8321.0,14.569881620889873,0.524635522314679,0.015078075708648277
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),9997.0,13.647743227615523,0.5245985854669667,0.013661928946318024
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),4679.0,13.630473924428916,0.5629236031648275,0.014494101483685837
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),3843.0,13.564959634868035,0.5343857667078542,0.014557888323840081
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),8150.0,13.410401253921183,0.4999364943230209,0.010651589956403414
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),5737.0,13.305297360161006,0.4872426956633699,0.00987802159789945
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),1796.0,13.123224059170372,0.5523620582110805,0.01384084707962586
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),1521.0,13.037984636355615,0.5548575207983004,0.014215423053251961
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),1505.0,12.737988089589765,0.5863264977272677,0.013490706765746317
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),4759.0,12.103385823286674,0.551399908478329,0.013607941772578075
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),9254.0,12.076522658003634,0.5201542694151006,0.017840148879637138
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),7378.0,12.02183679126196,0.4887223067706429,0.012895463887415096
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),2790.0,11.982659541108237,0.5172586634688634,0.01396247305878483
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),6555.0,11.95943265986045,0.5541679256878392,0.018421186370702166
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),5965.0,11.880326084397966,0.5289829170303684,0.011377508046627882
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),2092.0,11.867805178165964,0.6139523165137349,0.016728328177561032
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),5112.0,11.773637001404424,0.524643815322103,0.01317108573381111
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),5005.0,11.743747396917927,0.5162393202742744,0.014655052351010247
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),6028.0,11.639718164322057,0.5157343199661568,0.008176671343803017
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),3437.0,11.527538909204265,0.6419920900249246,0.013976196867072811
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),5302.0,11.514534959755887,0.5155169037005384,0.010929971651395474
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),3814.0,11.37156301892581,0.6059513308262983,0.014746981656583232
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),5611.0,11.282888125299554,0.5863917104410609,0.014747572636225607
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),8829.0,11.277894272751906,0.5258330050312626,0.01321220601403319
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),7875.0,11.250464972422094,0.7716193322930079,0.011880773945679093
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),2231.0,11.228935467551526,0.5499110314077696,0.01784418785430823
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),4152.0,11.115203379685338,0.5566789933273657,0.02252517234847736
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),4912.0,11.096289287389792,0.518541000916367,0.012013518325319134
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),6445.0,11.062024994860568,0.4991496854597918,0.007551121890361159
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),1830.0,11.02419755467105,0.5365799595630015,0.009951245837500908
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),6571.0,11.012174726849958,0.5206011478888206,0.013186753456221835
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),7623.0,10.99938519233159,0.5449313792083126,0.016375448241500248
