n,a_n_real,a_n_imag,a_n_magnitude,omega_n,is_squarefree
217,0.1986028939392892,0.0,0.1986028939392892,2,True
218,-0.1986028939392892,0.0,0.1986028939392892,2,True
219,-1.0,0.0,1.0,2,True
220,0.0,0.0,0.0,0,False
221,1.0,0.0,1.0,2,True
222,0.1986028939392892,0.0,0.1986028939392892,3,True
223,-0.1986028939392892,0.0,0.1986028939392892,1,True
224,0.0,0.0,0.0,0,False
225,0.0,0.0,0.0,0,False
226,1.0,0.0,1.0,2,True
227,0.1986028939392892,0.0,0.1986028939392892,1,True
228,0.0,0.0,0.0,0,False
229,-1.0,0.0,1.0,1,True
230,0.0,0.0,0.0,0,True
231,1.0,0.0,1.0,3,True
232,0.0,0.0,0.0,0,False
233,-0.1986028939392892,0.0,0.1986028939392892,1,True
234,0.0,0.0,0.0,0,False
235,0.0,0.0,0.0,0,True
236,0.0,0.0,0.0,0,False
237,0.1986028939392892,0.0,0.1986028939392892,2,True
238,-0.1986028939392892,0.0,0.1986028939392892,3,True
239,-1.0,0.0,1.0,1,True
240,0.0,0.0,0.0,0,False
241,1.0,0.0,1.0,1,True
242,0.0,0.0,0.0,0,False
243,0.0,0.0,0.0,0,False
244,0.0,0.0,0.0,0,False
245,0.0,0.0,0.0,0,False
246,1.0,0.0,1.0,3,True
247,0.1986028939392892,0.0,0.1986028939392892,2,True
248,0.0,0.0,0.0,0,False
249,-1.0,0.0,1.0,2,True
250,0.0,0.0,0.0,0,False
251,1.0,0.0,1.0,1,True
252,0.0,0.0,0.0,0,False
253,-0.1986028939392892,0.0,0.1986028939392892,2,True
254,-1.0,0.0,1.0,2,True
255,0.0,0.0,0.0,0,True
256,0.0,0.0,0.0,0,False
257,0.1986028939392892,0.0,0.1986028939392892,1,True
258,-0.1986028939392892,0.0,0.1986028939392892,3,True
259,-1.0,0.0,1.0,2,True
260,0.0,0.0,0.0,0,False
261,0.0,0.0,0.0,0,False
262,0.1986028939392892,0.0,0.1986028939392892,2,True
263,-0.1986028939392892,0.0,0.1986028939392892,1,True
264,0.0,0.0,0.0,0,False
265,0.0,0.0,0.0,0,True
266,1.0,0.0,1.0,3,True
267,0.1986028939392892,0.0,0.1986028939392892,2,True
268,0.0,0.0,0.0,0,False
269,-1.0,0.0,1.0,1,True
270,0.0,0.0,0.0,0,False
271,1.0,0.0,1.0,1,True
272,0.0,0.0,0.0,0,False
273,-0.1986028939392892,0.0,0.1986028939392892,3,True
274,-1.0,0.0,1.0,2,True
275,0.0,0.0,0.0,0,False
276,0.0,0.0,0.0,0,False
277,0.1986028939392892,0.0,0.1986028939392892,1,True
278,-0.1986028939392892,0.0,0.1986028939392892,2,True
279,0.0,0.0,0.0,0,False
280,0.0,0.0,0.0,0,False
281,1.0,0.0,1.0,1,True
282,0.1986028939392892,0.0,0.1986028939392892,3,True
283,-0.1986028939392892,0.0,0.1986028939392892,1,True
284,0.0,0.0,0.0,0,False
285,0.0,0.0,0.0,0,True
286,1.0,0.0,1.0,3,True
287,0.1986028939392892,0.0,0.1986028939392892,2,True
288,0.0,0.0,0.0,0,False
289,0.0,0.0,0.0,0,False
290,0.0,0.0,0.0,0,True
291,1.0,0.0,1.0,2,True
292,0.0,0.0,0.0,0,False
293,-0.1986028939392892,0.0,0.1986028939392892,1,True
294,0.0,0.0,0.0,0,False
295,0.0,0.0,0.0,0,True
296,0.0,0.0,0.0,0,False
297,0.0,0.0,0.0,0,False
298,-0.1986028939392892,0.0,0.1986028939392892,2,True
299,-1.0,0.0,1.0,2,True
300,0.0,0.0,0.0,0,False
301,1.0,0.0,1.0,2,True
302,0.1986028939392892,0.0,0.1986028939392892,2,True
303,-0.1986028939392892,0.0,0.1986028939392892,2,True
304,0.0,0.0,0.0,0,False
305,0.0,0.0,0.0,0,True
306,0.0,0.0,0.0,0,False
307,0.1986028939392892,0.0,0.1986028939392892,1,True
308,0.0,0.0,0.0,0,False
309,-1.0,0.0,1.0,2,True
310,0.0,0.0,0.0,0,True
311,1.0,0.0,1.0,1,True
312,0.0,0.0,0.0,0,False
313,-0.1986028939392892,0.0,0.1986028939392892,1,True
314,-1.0,0.0,1.0,2,True
315,0.0,0.0,0.0,0,False
316,0.0,0.0,0.0,0,False
317,0.1986028939392892,0.0,0.1986028939392892,1,True
318,-0.1986028939392892,0.0,0.1986028939392892,3,True
319,-1.0,0.0,1.0,2,True
320,0.0,0.0,0.0,0,False
321,1.0,0.0,1.0,2,True
322,0.1986028939392892,0.0,0.1986028939392892,3,True
323,-0.1986028939392892,0.0,0.1986028939392892,2,True
324,0.0,0.0,0.0,0,False
325,0.0,0.0,0.0,0,False
326,1.0,0.0,1.0,2,True
327,0.1986028939392892,0.0,0.1986028939392892,2,True
328,0.0,0.0,0.0,0,False
329,-1.0,0.0,1.0,2,True
330,0.0,0.0,0.0,0,True
331,1.0,0.0,1.0,1,True
332,0.0,0.0,0.0,0,False
333,0.0,0.0,0.0,0,False
334,-1.0,0.0,1.0,2,True
335,0.0,0.0,0.0,0,True
336,0.0,0.0,0.0,0,False
337,0.1986028939392892,0.0,0.1986028939392892,1,True
338,0.0,0.0,0.0,0,False
339,-1.0,0.0,1.0,2,True
340,0.0,0.0,0.0,0,False
341,1.0,0.0,1.0,2,True
342,0.0,0.0,0.0,0,False
343,0.0,0.0,0.0,0,False
344,0.0,0.0,0.0,0,False
345,0.0,0.0,0.0,0,True
346,1.0,0.0,1.0,2,True
347,0.1986028939392892,0.0,0.1986028939392892,1,True
348,0.0,0.0,0.0,0,False
349,-1.0,0.0,1.0,1,True
350,0.0,0.0,0.0,0,False
