function,peak_idx,t_value,magnitude,M_coh,R_comp,ACF_sum_squared,class,predicted_linear,predicted_rbf,true_label
L_liouville,14,2216.0,17.745511484731452,0.19641134327724272,6.230220490551461,0.0032256170619888837,Anomalous,1,1,1
L_liouville,15,7638.0,17.688250452628708,0.1468479725347172,3.94615006478328,0.0032256170619888837,Anomalous,1,1,1
L_liouville,16,4990.0,17.059229243999994,0.447783225367356,5.942425178229868,0.0032256170619888837,Anomalous,1,1,1
L_liouville,17,3612.0,16.29507493061283,0.005549286317338794,4.576386734370596,0.0032256170619888837,Anomalous,1,1,1
L_liouville,18,7700.0,16.253326411548887,0.15804520050263735,4.213634362191993,0.0032256170619888837,Anomalous,1,1,1
L_liouville,19,5978.0,16.153634776503768,0.12158737189649572,5.6404382395220605,0.0032256170619888837,Anomalous,1,1,1
L_liouville,20,4800.0,16.111880284290347,0.021774023553003063,5.257547973037923,0.0032256170619888837,Anomalous,1,1,1
L_liouville,21,1364.0,16.042596507360173,0.30923162138445937,4.988167328283722,0.0032256170619888837,Anomalous,1,1,1
L_liouville,22,3938.0,16.00716125438153,0.2708271203076613,4.415655184015393,0.0032256170619888837,Anomalous,1,1,1
L_liouville,23,7592.0,15.946699824328627,0.09848208532978127,4.012208150392247,0.0032256170619888837,Anomalous,1,1,1
L_liouville,24,5562.0,15.904666090537555,0.0009018212399041239,4.679008348779067,0.0032256170619888837,Anomalous,1,1,1
L_liouville,25,1736.0,15.545312838998788,0.17218785060139574,5.01010290045081,0.0032256170619888837,Anomalous,1,1,1
L_liouville,26,7918.0,15.498139793771278,0.14607001123287577,5.183401660547943,0.0032256170619888837,Anomalous,1,1,1
L_liouville,27,7438.0,15.493368956217402,0.21167870214248438,5.309045372412833,0.0032256170619888837,Anomalous,1,1,1
L_liouville,28,5190.0,15.489448216499214,0.23674472408983488,5.5011679305961945,0.0032256170619888837,Anomalous,1,1,1
L_liouville,29,8852.0,15.415621380071375,0.0074936448857404435,4.050583917792429,0.0032256170619888837,Anomalous,1,1,1
L_liouville,30,9840.0,15.208931551589325,0.013852894332143113,4.432908177480507,0.0032256170619888837,Anomalous,1,1,1
L_liouville,31,2634.0,14.993578802967777,0.09870588211668481,4.82346180235358,0.0032256170619888837,Anomalous,1,1,1
L_liouville,32,4636.0,14.552553631828305,0.15418389021230147,4.611170517133286,0.0032256170619888837,Anomalous,1,1,1
L_liouville,33,3594.0,13.835223775922463,0.05138980103091061,3.8676580203746265,0.0032256170619888837,Anomalous,1,1,1
L_liouville,34,7810.0,13.753913740306736,0.21851482877250825,4.070985347040707,0.0032256170619888837,Anomalous,1,1,1
L_liouville,35,9812.0,13.59227077892625,0.05648142073577284,4.102482182385026,0.0032256170619888837,Anomalous,1,1,1
L_liouville,36,3902.0,13.487915292670277,0.32012819801524284,3.7660470867587366,0.0032256170619888837,Anomalous,1,1,1
L_liouville,37,2090.0,13.033232555218689,0.2736549149125046,4.730339689442999,0.0032256170619888837,Anomalous,1,1,1
L_liouville,38,1238.0,12.95048833361634,0.29186526952314434,4.402454795367195,0.0032256170619888837,Anomalous,1,1,1
L_liouville,39,8200.0,12.707617714968386,0.050551133685652935,4.2969956086744805,0.0032256170619888837,Anomalous,1,1,1
L_liouville,40,9704.0,12.493872296946336,0.16119236626812236,4.095321355146984,0.0032256170619888837,Anomalous,1,1,1
L_liouville,41,7610.0,12.439609758796784,0.05220848960960128,2.894164852818556,0.0032256170619888837,Anomalous,1,1,1
L_liouville,42,4092.0,12.42886114423833,0.046982136359939385,4.596524707018976,0.0032256170619888837,Anomalous,1,1,1
L_liouville,43,7764.0,12.049123706206721,0.16257592095863835,3.3163977481326334,0.0032256170619888837,Anomalous,1,1,1
L_liouville,44,9314.0,12.0296519333405,0.4324672528795403,4.723313534469508,0.0032256170619888837,Anomalous,1,1,1
L_liouville,45,1038.0,11.927413569483063,0.16040178787313272,4.469302498738339,0.0032256170619888837,Anomalous,1,1,1
L_liouville,46,7392.0,11.864821337027728,0.11913147257992492,3.9007137095966753,0.0032256170619888837,Anomalous,1,1,1
L_liouville,47,8616.0,11.857632266538968,0.20758735342927917,4.11795103222147,0.0032256170619888837,Anomalous,1,1,1
L_liouville,48,6260.0,11.729746913245574,0.013772423549379867,4.356335748683217,0.0032256170619888837,Anomalous,1,1,1
L_liouville,49,1290.0,11.688320991703328,0.4115191175804652,3.4837882206745237,0.0032256170619888837,Anomalous,1,1,1
L_mobius,0,1610.0,14.282221700082863,0.2815487264894024,4.613857091942666,0.0032250595158934687,Anomalous,1,1,1
L_mobius,1,2434.0,13.481057173249626,0.0480327989692923,4.56949152036641,0.0032250595158934687,Anomalous,1,1,1
L_mobius,2,5978.0,12.747536998461326,0.0912634611326282,5.071988373380453,0.0032250595158934687,Anomalous,1,1,1
L_mobius,3,7700.0,12.438631645369057,0.31572078137805837,3.9571485716332524,0.0032250595158934687,Anomalous,1,1,1
L_mobius,4,8200.0,12.203906257179856,0.21600946661823284,4.962634499949861,0.0032250595158934687,Anomalous,1,1,1
L_mobius,5,1290.0,11.615108510361711,0.24427294992280232,4.239887990457553,0.0032250595158934687,Anomalous,1,1,1
L_mobius,6,2742.0,11.489701545049611,0.0697697869628112,4.2383548873717665,0.0032250595158934687,Anomalous,1,1,1
L_mobius,7,3938.0,11.389859176299865,0.045474384139911894,4.020234585129201,0.0032250595158934687,Anomalous,1,1,1
L_mobius,8,9856.0,11.316906801228411,0.07196300965481955,3.7291252303787172,0.0032250595158934687,Anomalous,1,1,1
L_mobius,9,7810.0,10.995498044255568,0.032977017453268746,3.793984557401574,0.0032250595158934687,Anomalous,1,1,1
L_mobius,10,8090.0,10.965963620622409,0.14317084582618278,4.396220712262514,0.0032250595158934687,Anomalous,1,1,1
L_mobius,11,5362.0,10.954346734081062,0.14502814242769832,4.2507593097617615,0.0032250595158934687,Anomalous,1,1,1
L_mobius,12,1770.0,10.918469583809093,0.1373081341000528,4.355491787756753,0.0032250595158934687,Anomalous,1,1,1
L_mobius,13,9004.0,10.881470320017206,0.07834788264341068,3.868139038097616,0.0032250595158934687,Anomalous,1,1,1
L_mobius,14,7638.0,10.866401884070491,0.46517659327864375,3.328511605073482,0.0032250595158934687,Anomalous,1,1,1
L_mobius,15,4464.0,10.792540615305361,0.08001699944995903,4.1728364775506455,0.0032250595158934687,Anomalous,1,1,1
L_mobius,16,8852.0,10.77797982994057,0.07321459395208255,3.7450063550759576,0.0032250595158934687,Anomalous,1,1,1
L_mobius,17,4590.0,10.67240836653248,0.12376324075151796,3.8176543392266176,0.0032250595158934687,Anomalous,1,1,1
L_mobius,18,9812.0,10.666662945257606,0.07944330770881487,3.687370180760328,0.0032250595158934687,Anomalous,1,1,1
L_mobius,19,7564.0,10.52614782227925,0.30831926893793743,3.6166059519551585,0.0032250595158934687,Anomalous,1,1,1
L_mobius,20,2634.0,10.522017257150823,0.27012573336615375,3.8571640046797495,0.0032250595158934687,Anomalous,1,1,1
L_mobius,21,6912.0,10.198138487539865,0.23949377706504266,3.401464359528855,0.0032250595158934687,Anomalous,1,1,1
L_mobius,22,9704.0,10.131094673675259,0.24082735760683244,3.8914046247454697,0.0032250595158934687,Anomalous,1,1,1
L_mobius,23,7592.0,9.99207045397672,0.361490392056188,3.495751790801223,0.0032250595158934687,Anomalous,1,1,1
L_mobius,24,1474.0,9.879911335400877,0.058633368749671205,3.5424470089126237,0.0032250595158934687,Anomalous,1,1,1
L_mobius,25,6630.0,9.772544441766835,0.023511968153077652,3.448862391175186,0.0032250595158934687,Anomalous,1,1,1
L_mobius,26,2216.0,9.725781526227252,0.04889079461596134,4.09747289149646,0.0032250595158934687,Anomalous,1,1,1
L_mobius,27,6958.0,9.67920652813146,0.11455576169711379,3.6191874283552994,0.0032250595158934687,Anomalous,1,1,1
