function,t_value,magnitude,M_coh,R_comp
L_chi4,5642.5,14.242153777214197,2.046006398304302,0.0035770315654585876
L_chi4,8570.5,14.23093385643598,1.9414226192306425,0.0015061306990207812
L_chi4,3440.5,14.15592407790162,1.8824837408520396,0.0037940377144457856
L_chi4,4790.0,14.146137159624338,1.9353732533881538,0.005893392463463627
L_chi4,5316.5,14.133968736775888,1.8971990620612775,0.0017590925720835
L_chi4,7483.5,14.05586510539835,1.5859604238484548,0.003516541953175663
L_chi4,3485.5,13.968242991091358,1.8997694098004734,0.0025784009250070052
L_chi4,6105.0,13.939697245790812,1.946896293613109,0.002978293316108137
L_chi4,1409.5,13.934375758522265,1.835167589780848,0.0014051707047461252
L_chi4,3766.0,13.933829689355875,1.980062722587416,0.005654996968708204
L_chi4,9885.5,13.92458326586675,1.6239851060170845,0.0057830079086397985
L_chi4,1564.0,13.92206467651136,1.9144140902478537,0.004733822066015265
L_chi4,9559.5,13.846618729245977,1.734190556767901,0.0025671751370945303
L_chi4,8461.5,13.731870425346445,1.8007369816572367,0.002554735985797211
L_chi4,2633.5,13.676746455965679,1.8109568808516017,0.0026389478565453485
L_chi4,5842.5,13.674606753467302,1.867900281050822,0.004978058139241241
f_rand,8241.0,29.318004570654153,1.8444515328000963,0.017129867753620926
f_rand,4632.5,26.615379817901687,1.6769099648620174,0.009395259809963587
f_rand,3934.5,26.20407351732677,1.7717692754149967,0.010002232652422345
f_rand,8052.5,25.908947438589216,1.9597748481128463,0.026090958704255655
f_rand,7560.5,24.471075010073736,2.005210398727196,0.015626015770990157
f_rand,3231.5,23.54449324278238,1.655919990799019,0.021629036904627953
f_rand,7280.5,23.36945236631848,1.9747812320247518,0.005188712977078442
f_rand,6737.0,22.725988401158318,1.809465177974051,0.022155389124209876
f_rand,1526.0,22.686619232342093,2.0607791856124633,0.03581614757617465
f_rand,4289.0,21.787767614300066,1.3064593365737904,0.020566271212186297
f_rand,6347.5,21.677343660705812,1.9629935186638612,0.02497659876855101
f_rand,6702.5,21.206809841181492,1.9733088204611742,0.013788557195712248
f_rand,3608.5,21.190534561779423,1.6727080085380372,0.008688293553175469
f_rand,3700.0,20.97639388052876,1.8936422039859104,0.013827268907338134
f_rand,9911.5,20.841290675748862,1.7251621722252997,0.01724592249480784
f_rand,7143.5,20.71740830866809,2.0510628585607766,0.004424000844183842
f_rand,1006.5,20.688144504907296,1.4652481320710848,0.005924191308837234
f_rand,5702.0,20.22541263844445,1.8528728027274928,0.007293000643749322
f_rand,2631.0,20.129210588000266,1.6620930558758853,0.0031713868531010147
f_rand,6273.5,19.742992545107317,2.082165792458463,0.005138703723305708
f_rand,2362.0,19.663051059869343,1.2979037156642637,0.021948947348825236
f_rand,1813.5,19.376548737433556,1.989646282315897,0.011247571703925692
f_rand,1732.5,19.342231613199502,2.149144759999798,0.006544119793266316
f_rand,8584.5,19.28042794602891,1.9539850048787324,0.0027024069575778695
f_rand,1470.0,19.02713014819683,1.4971985136535446,0.014242664017215597
f_rand,8623.5,19.000851293199737,1.9774265836547182,0.025792039703161608
f_rand,6651.0,18.861360093775826,1.6818636755261143,0.018614007561948014
f_rand,4735.0,18.71009371052335,2.043023630832199,0.013978941620950005
f_rand,9402.0,18.691365396854415,1.8404962006921866,0.011937311902007109
f_rand,4043.5,18.551629031476217,1.7691588019960816,0.006280431099738042
f_rand,8458.5,18.42828532049173,1.8727975753219563,0.007304248745579599
