function,name,d,q,GRH,t,abs_S_total,abs_S0,abs_S1,abs_S2,abs_S3,abs_S4,abs_S5,abs_S6,abs_S7,log_abs_S0,log_abs_S1,log_abs_S2,log_abs_S3,log_abs_S4,log_abs_S5,log_abs_S6,log_abs_S7,pc1_complex,H_complex
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,10360.490000001311,12.001656569326927,1.0,3.294532544797652,5.018880662730877,2.485686626312009,0.31987915823424773,0.024952499830494367,0.00178763379631146,0.0,0.0,1.1922642898470466,1.6132069332892753,0.9105489297575172,-1.1398119850267006,-3.6907812681966647,-6.32686243511398,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,18007.27000002913,12.072384875087778,1.0,3.2742507083768064,4.726489896982492,2.540097102690715,0.611078218969766,0.0729710887396548,0.001817308478512448,0.0,0.0,1.1860890515751588,1.5531828333548334,0.9322023097055133,-0.4925303100503502,-2.617691960942409,-6.310398730443355,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,18936.19000003251,11.964964948173309,1.0,2.6781514802769717,4.61806904932557,3.125095038227464,0.7612272828650218,0.06221278336599509,0.0015325669961920036,0.0,0.0,0.9851268103731311,1.5299766630348057,1.1394646949587106,-0.27282330228833696,-2.777194779999799,-6.480811174181567,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,15727.520000020837,11.981696410804409,1.0,2.8337706551363184,3.7243972827660508,4.452333077630889,1.6219857848442494,0.16963652420785597,0.003935098852804355,0.0,0.0,1.0416082117892413,1.3149050354556775,1.493428245895747,0.4836511916870303,-1.7740972238107429,-5.537819276004075,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,10166.970000000607,11.982156706855912,1.0,2.9946264573541943,4.328585538614991,2.614085097538239,1.0217359522538236,0.1539266913387891,0.006066576988499899,0.0,0.0,1.0968195017035558,1.4652408232007348,0.9609141692009261,0.021503094656038276,-1.8712788201744888,-5.104960755792155,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,13986.720000014504,11.90581731398318,1.0,3.3526874885818767,4.973908317333224,2.554753422780881,0.7518588809256032,0.0766492804387103,0.0009248499975035744,0.0,0.0,1.2097622596157316,1.6042059128295942,0.9379557112806435,-0.2852066309859402,-2.568515061331205,-6.985878998462993,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,12318.350000008433,12.017747118055105,1.0,3.5384160878017865,4.423570818889539,2.810735761148006,0.7795367710346627,0.08104690685361515,0.002234556734624973,0.0,0.0,1.2636791941933947,1.4869472475089878,1.0334462857798818,-0.2490554190059255,-2.512727194963424,-6.103712399613265,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,12804.770000010203,11.874947286032105,1.0,3.21929687145861,3.879002703948715,2.732285920012067,0.9832600407161198,0.13774224031946794,0.007128149181082058,0.0,0.0,1.1691629728106145,1.355578085531244,1.0051385921666323,-0.016881655959205197,-1.982371164154906,-4.943703660149069,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,19204.74000003349,11.87766000832672,1.0,3.030324675047462,4.695045943602356,2.69162995539708,0.7951044904238774,0.05720889705579566,0.0012362881426667223,0.0,0.0,1.1086697672617642,1.5465078982571514,0.9901469414858345,-0.22928173846911837,-2.861045849758442,-6.695641821981191,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,17671.77000002791,11.735496100966376,1.0,3.0486079631673215,4.311251235177245,2.7159696671481366,0.7082160825890335,0.07902041130664932,0.0034093679653222674,0.0,0.0,1.114685080915709,1.4612281717698283,0.9991490414264768,-0.34500603045594963,-2.5380490889169023,-5.681228352278491,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,17680.950000027944,11.823276261674767,1.0,3.3010733990836845,4.511344017899838,2.499342331384439,0.9085906275679214,0.08197436137018875,0.0010371535924411882,0.0,0.0,1.1942476880324213,1.5065951175224146,0.9160276298196204,-0.09586064095555566,-2.501348746825367,-6.871275248415704,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,15527.550000020108,11.820369132791733,1.0,3.430382016635028,4.380805100228734,2.4760268001999366,0.5839321833704556,0.046897146562712946,0.0003770930797076632,0.0,0.0,1.2326716300883542,1.4772325203344556,0.906655178754052,-0.5379704272625244,-3.0597984462611056,-7.883018505213715,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,17264.79000002643,11.521771636437382,1.0,2.7319832018773793,4.3021429240848335,2.9468584995262805,0.6609865512302766,0.07290037135366306,0.0007017448936957042,0.0,0.0,1.00502779303568,1.4591132530005182,1.0807396875116122,-0.41402178543383994,-2.6186615459659164,-7.261940619277857,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,16104.230000022208,11.534141164218473,1.0,3.200524618239761,4.262393060636228,2.5546677923607053,0.572734656427369,0.05348086403065833,0.0031602939844342145,0.0,0.0,1.1633147395683883,1.4498307538811275,0.9379221926425911,-0.5573327473092157,-2.92843137073346,-5.75709022266182,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,19479.79000003449,11.465941425362024,1.0,2.853821457930098,4.0405470302777475,4.899591060091297,1.9309227313941222,0.26802617412229285,0.007233730715185563,0.0,0.0,1.0486589585589192,1.3963800863409235,1.5891517445096164,0.6579979878317407,-1.3166706386047393,-4.929000371029589,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,15224.450000019007,11.651002287718125,1.0,2.9625169117798604,4.406238543313068,2.699132509238161,0.5613724083391727,0.04692255167509777,0.001105355008142133,0.0,0.0,1.08603921506263,1.4830213874758997,0.9929304285099143,-0.5773707642151785,-3.05925687314836,-6.807588721273198,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,12079.130000007564,11.504658427420173,1.0,3.3202619798523734,3.7547589630119065,2.8433418584244023,0.5938994725503062,0.0689622554831652,0.004074655137959848,0.0,0.0,1.2000436894092872,1.3230240922135361,1.0449800711045127,-0.5210452120726782,-2.6741959460391005,-5.502969164592033,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,12822.090000010267,11.390537934340093,1.0,2.7984871541965752,4.024991527673788,2.7846949591941956,0.9929179006072898,0.16491097796124915,0.006322085181265286,0.0,0.0,1.0290789690927442,1.3925228059425445,1.024138337468091,-0.007107296494678272,-1.8023494781864746,-5.063706191495033,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,16240.010000022701,11.369609921332714,1.0,3.2784457677627032,4.410276567885984,2.2703354969586407,0.4702866893438494,0.05328304131086348,0.0016846590979145773,0.0,0.0,1.1873694588011923,1.4839374012986717,0.8199276165895784,-0.7544127929112463,-2.9321371727187486,-6.386192051424109,-690.7755278982137,0.9406531374326456,0.2596092239156882
