t_value,ordinate_type,V_1_real,V_1_imag,V_1_magnitude,V_2_real,V_2_imag,V_2_magnitude,delta_V_real,delta_V_imag,delta_V_magnitude,M_rel,theta_radians,theta_degrees
6590.0,peak,9.011290900858647,-3.3168391726664375,9.602332310289642,9.03558369171288,-3.3557747677959973,9.638620074581425,0.02429279085423275,-0.0389355951295598,0.04589248582916919,0.004779306146277799,0.6602858064213994,37.83158998033826
8150.0,peak,4.810389675453392,-8.06111176591003,9.387298425649508,4.63531218342577,-8.151355266141408,9.377137714285027,-0.17507749202762213,-0.09024350023137728,0.19696704685985594,0.020982293086759706,1.6328852842829298,93.5574352184315
6400.0,peak,7.065643262371727,-6.170493446150933,9.380741126376455,7.053303798422643,-6.183248898960166,9.379854019084487,-0.012339463949083473,-0.01275545280923307,0.017747223639750037,0.0018918786267162822,1.621747639093053,92.91929515533737
14640.0,peak,8.838132381602037,-1.1233279787405765,8.909233959356095,8.799822335936362,-1.0123873992183485,8.857866638764698,-0.03831004566567486,0.11094057952222802,0.11736895579169943,0.013173854938273742,2.029718473191286,116.29430211359802
5330.0,peak,7.667884423979439,4.412870201399013,8.84702633396679,7.8264531587288655,4.344632276067348,8.95149142098808,0.15856873474942645,-0.0682379253316645,0.17262809184371988,0.019512555442605727,0.9285923003447064,53.20441969809622
7070.0,peak,7.242735959676345,-5.073950808991063,8.843200834180456,7.167262616820501,-4.9966913575120975,8.737080630319761,-0.07547334285584384,0.07725945147896596,0.10800577912624143,0.012213426015247891,2.9556005120161846,169.34343526523253
14440.0,peak,-1.435797934007841,8.701507890524033,8.819169761159674,-1.3383164145921784,8.755264388349287,8.85696027627222,0.09748151941566263,0.05375649782525471,0.11132119154061738,0.012622638474529062,1.2303701997668401,70.49501968530792
9500.0,peak,4.817164235089494,-7.12160524267711,8.597809750183558,5.00217880365188,-7.021313562482458,8.620941765631192,0.1850145685623863,0.10029168019465207,0.21044907150327916,0.024477056089637968,1.4728128771204385,84.38596187152105
13080.0,peak,4.571690780005234,7.240626795106339,8.563120516143444,4.536564288850033,7.22520196398716,8.53135153227631,-0.035126491155200945,-0.015424831119179139,0.03836399087597128,0.004480141416163228,2.547752041067863,145.97543919902972
5205.844942958024,random,-0.3415459534701627,-0.2350529041166643,0.41461247697762343,-0.158690506825289,-0.30985291869798337,0.3481257074421914,0.1828554466448737,-0.07480001458131907,0.19756304449228804,0.4765004804786675,2.1505304856211094,123.21632054030894
5580.836121681995,random,0.784680022947232,0.15482826110548997,0.7998090577440458,0.6970710099211783,0.24227056451827306,0.7379722347788799,-0.08760901302605373,0.08744230341278308,0.12378002904157223,0.15476197455266155,2.1623354124661205,123.89269302598876
6559.945203362026,random,2.086136644722041,1.124423803313337,2.369872357303187,2.123281085727247,1.1057596524391213,2.3939563442070875,0.0371444410052062,-0.01866415087421558,0.041569941369272174,0.01754100436724659,0.9599828794910488,55.00296739965301
6560.186404424365,random,1.6146341195166378,-0.8264998906717531,1.8138757976189244,1.581676814986866,-0.8011074159793349,1.7729846697036284,-0.03295730452977175,0.025392474692418232,0.04160482775920619,0.022936977170002967,2.9582284609518847,169.49400564802406
6818.249672071006,random,0.32821886992100047,-0.9266026861943566,0.983015851670163,0.400502979123318,-0.9533657191395246,1.0340739000270125,0.07228410920231754,-0.02676303294516802,0.07707951981944824,0.0784112684332492,0.8757713682780731,50.17800322073089
6834.045098534338,random,1.3122637090786446,0.07386432789413344,1.3143408922726605,1.3313584574122936,0.15065436355896733,1.3398552456823831,0.019094748333648992,0.07679003566483389,0.07912849670840368,0.06020393732982055,1.2708491601151641,72.8142932723443
7123.391106782761,random,1.5303551587050193,0.5250673734011139,1.6179254180540614,1.6426965669368052,0.5052080137053112,1.7186294388663403,0.11234140823178596,-0.01985935969580266,0.11408324228837492,0.07051205266654816,0.5054853135936669,28.962175074764012
