rank,t_value,magnitude,|S_0|,|S_1|,|S_2|,|S_3|,|S_4|,|S_5|,|S_6|,|S_7|,|S_8|,|S_9|,|S_10|,r_at_0deg,r_at_180deg,delta_r,mag_at_180deg,reduction_pct,theta_min_deg,mag_at_min
11,1244657.6823765417,18.641221702122827,1.0,2.926144272699319,4.9730741403463306,5.60958757089305,5.766718596009561,4.8130586565253655,3.5228591223513246,2.4993643399436376,1.6968435084484408,1.0917570256112776,0.7026535740848012,1.3898575006127467,-0.34002338373383806,-1.7298808843465847,0.5255067164189784,47.449328358102164,216.0,0.43253197350467953
12,1708045.9421630006,18.369324334934632,1.0,2.5214756060598575,4.946038471626622,5.831984915752371,4.5382125756014915,2.516919110824876,1.3684094632170352,0.9157100249345342,0.6971260894869129,0.4155894701960568,0.2820029179641936,2.5071457241595536,-0.5060554558156692,-3.0132011799752227,0.37528585074108195,62.47141492589181,185.14285714285714,0.3658990472603344
13,1000545.7274091592,16.394789445705204,1.0,2.381232229233665,2.8897619347250902,2.194711341162099,2.2641470629770737,1.9543985032469915,1.6445556692617227,1.1144023132224188,0.7355693721755492,0.36426406098865693,0.20249356824288214,7.0367518629529,3.422945237303625,-3.613806625649275,0.7418489755862164,25.815102441378357,164.57142857142858,0.7380806571632768
14,1105098.0035472282,14.965829988004957,1.0,3.0158342266620575,4.045517445046425,3.7769565799578713,2.616632659528105,2.3249556803552496,1.6613029548241123,1.088609040869881,0.7383201881048999,0.5527155546588061,0.3411637026682514,2.8689235784241216,0.0031728055242580613,-2.8657507728998635,0.509205164371733,49.079483562826695,185.14285714285714,0.4985471132423876
15,1022491.0435015487,14.906768402972892,1.0,2.396309910229564,3.7548946418147615,3.648001271324654,2.3572276590924286,1.3180589161598957,0.5301468017103539,0.3040370209709942,0.29553891354026385,0.1833109877895419,0.1344918179265693,4.296332331384063,0.6741030285872871,-3.622229302796776,0.5622163573010754,43.77836426989246,205.71428571428572,0.5248995369995817
16,1439740.07205623,14.875802513352404,1.0,2.3223957165448192,3.018966554958142,3.4587263994024062,3.152573441254288,2.236078375597162,1.709533676109941,1.3189833104427118,0.9115588223082308,0.6198374774257854,0.3858186003834807,3.568750659596726,0.5289332046645564,-3.03981745493217,0.5784895628455976,42.15104371544024,205.71428571428572,0.547824139012635
17,1370286.1531775987,14.073318177626712,1.0,2.49603497807837,3.399934678210745,2.91164164090795,2.403810862573789,2.068616264496448,1.2532728544069875,0.701432557043495,0.5132387605592145,0.32437189555713764,0.2307122311295315,3.975158375807016,0.9300659771092932,-3.045092398697723,0.6228487861370294,37.71512138629706,195.42857142857142,0.5974571304990168
18,1056892.0824048389,12.01011669538372,1.0,2.5348319830996457,2.852968932355578,1.6796687762077298,1.7463023551653019,1.1978994817121833,0.843304954539542,0.5322968009516469,0.40183367141273835,0.25506788707276834,0.2366066554448633,4.973374017369337,2.278892298446944,-2.694481718922393,0.7408899804287291,25.911001957127088,154.28571428571428,0.731387023256398
19,1794932.819945326,10.450574791868943,1.0,2.212476524720434,2.8998803141873064,2.4490254877661903,1.588492611900967,1.0290493403958243,0.5640432932173121,0.47343546736046216,0.20519507678066667,0.15543090672117008,0.12648555013528598,3.4561194495705543,0.328084961106828,-3.1280344884637263,0.5459269292046425,45.407307079535755,185.14285714285714,0.5354079491470936
20,1064052.2281342691,9.505720768442343,1.0,2.357603641241065,2.6785370219968363,2.1204960914247373,1.345435498027463,0.6678198054192821,0.26924042005547844,0.2675726913347056,0.16093217005391,0.13674569241837192,0.04286536179912181,3.370210006972143,0.3899987238263214,-2.9802112831458216,0.5639700579027316,43.602994209726845,185.14285714285714,0.5560551193049751
