function,peak_index,t,peak_height,r,delta_phi_12_rad,delta_phi_12_deg,delta_phi_13_rad,delta_phi_23_rad,cos_delta_phi_12,S1_real,S1_imag,S2_real,S2_imag,S3_real,S3_imag
liouville,36,12536.268134067033,4.026531546914313,-0.45314809377134113,-1.7412472598061757,-99.76611907561342,2.3774222729555397,-2.164515774417871,-0.1696267645579292,0.5162235410588701,1.2489795913910617,-0.7641303710034886,0.1720638466994407,0.12514320955571456,-0.3205188574212514
liouville,37,19079.53976988494,4.0748365528811075,-0.9789339230856937,-2.348460720534727,-134.55688763889216,1.409589961965018,-2.5251346246798416,-0.7016170883865503,-1.1509450211600274,0.9241946289282277,0.14824822385477232,-1.4612893714063517,0.41220281693400723,0.7277481402010423
liouville,38,16128.06403201601,4.10856590314652,-0.992573577903763,2.7205723218340245,155.87731190119672,-0.26936601392624215,-2.9899383357602667,-0.9126724141476383,-1.0076177336047825,-0.3086809019733545,0.6699690463999014,0.5855845065984018,-0.4519110812749118,-0.28752042899815405
liouville,39,14937.468734367183,4.114106556762452,-0.9956085923339962,2.6719003423669117,153.08861289718374,-0.4782889721830781,3.1329959926295965,-0.8917075940170051,-2.543448669131096,-0.9162045480611719,1.8913192575650304,2.0085280992026537,-0.7535065354715877,-0.8141132030790706
liouville,40,12851.425712856428,4.186899154986544,-0.9537917381606856,3.0428614331540107,174.3431177628539,0.14248432656561416,-2.9003771065883965,-0.995130030963376,-1.7400066086712007,0.07857887277373933,1.4329724995432345,0.0768835278737506,-1.0810546276215272,0.20523440744227897
liouville,41,17918.95947973987,4.194998609805015,-0.9651151870914264,2.6619798871580533,152.5202126828676,-1.061450226203874,2.559755193817659,-0.8871736726703374,-1.6806249401721602,-0.6178277638300083,0.7108318637084181,0.7802118490586468,-0.06806531613912162,-0.4297935151768029
liouville,42,18084.042021010508,4.282012912240462,-0.4958326155140127,2.610623050642542,149.57768270138544,0.45843799791975665,-2.1521850527227855,-0.8623164983986784,-0.2752913834558672,0.02111933580713427,0.3476766670394143,0.16983915650666076,-0.11459611468856627,0.06791643464995754
liouville,43,14772.386193096549,4.3151755849267985,-0.9984284130252177,2.112631588124576,121.04487366555865,-1.8564924642852563,2.3140612547697534,-0.515709244492391,-1.2863295982107708,-1.8002098160100999,-0.9043720971769159,2.0891162217806487,1.136477074393357,-0.3952806939148347
liouville,44,11665.832916458228,4.380095440985578,-0.9222471574147002,2.9096968985280296,166.71335194796146,-0.5114772844678392,2.8620111241837174,-0.9732324560969386,-1.0376656504301343,-0.728091388111272,0.8936793435926217,1.0045450090610952,-0.46001779968692597,-0.9584736040451863
liouville,45,18799.399699849928,4.42427279371989,-0.23238389116650607,-1.2400724677746517,-71.05091869386032,1.1858631190037534,2.425935586778405,0.3247277447242483,-0.46859560935712785,0.8884550163564315,-0.2953325293955861,-0.046033013697102054,0.18922219511090185,0.22441782713674147
liouville,46,18399.1995997999,4.456433671680217,-0.9929526403622216,2.9244845261252816,167.56062059829517,-0.23993895220918152,3.1187618288451233,-0.9765244600277898,-1.9407202595738915,0.30218685219492375,1.7219205374736355,0.10800225570213272,-0.8249930029415221,-0.07068497195984196
liouville,47,13761.880940470235,4.494067246187495,-0.9377616070220612,-2.462784415339767,-141.10715284956265,1.3207693168261836,-2.4996315750136358,-0.7783215378565429,-1.6630764670198008,1.6082524233857682,0.25751345550264987,-2.0771117571587796,0.6658404175384655,1.1666620517591808
liouville,48,14042.021010505254,4.496636710025922,-0.9297314704379963,-2.848107569648206,-163.18454334010437,-0.14933220705150532,2.698775362596701,-0.9572414907041041,-1.8332349785735094,0.017460017310601213,1.1841207639077318,-0.3701990245648187,-0.6979577361328428,-0.09822110211867409
liouville,49,14532.266133066532,4.515050092866474,-0.9001490696699525,-2.64289016500746,-151.42645217156118,1.289819056315297,-2.350476085856829,-0.8782038831053282,-1.3252325471672621,0.22937622109056066,0.6645182867100162,-0.5265628404957142,-0.031856061696074696,0.28951535254944166
liouville,50,11020.510255127563,4.5166645138815875,-0.986995006100478,2.3499319450738683,134.64118259570103,-2.5192094728260854,1.414043889279633,-0.7026646558798241,-1.4591176933643528,-1.146608362541336,0.10892336140695527,0.9589689179602754,0.6064597203151114,0.026490810247139684
liouville,51,11130.56528264132,4.518379863010958,-0.853268924793667,-2.665117251479468,-152.69997041727956,1.7566346353336886,-1.8614334203664296,-0.8886169958467851,-1.178753223941641,1.1210390155091,0.4213347465328092,-1.2141695070930496,0.9693669437413949,0.6988673961298274
liouville,52,12891.44572286143,4.540665673321256,-0.9212185215305936,-2.079359803197926,-119.13854081239462,1.87092567956425,-2.3328998244174097,-0.4869230255335358,-1.0680256498342109,1.2342484321230252,-0.270008785812969,-0.7422052076066682,0.3183871322694219,0.1395918817031134
liouville,53,15002.501250625313,4.546979135210751,-0.9967774639518084,2.8037424716527974,160.64261046728313,1.4901708764543733,-1.3135715951984244,-0.9434694229784379,-0.9752173863075796,-0.7852390638740969,0.3824713632576336,0.6168197481460536,-0.15923446258511842,0.16803111926639078
liouville,54,16443.221610805405,4.557585883386681,-0.5413460173409902,-2.768864151983153,-158.64422995370438,-1.7265354577066596,1.0423286942764936,-0.9313372080868373,0.06181763734173563,1.2135749798341726,-0.07365912405550815,-0.16335113019947456,-0.514792399494222,-0.054171873882263785
liouville,55,10270.135067533767,4.60287737810554,-0.8859113655110146,2.3806634360367642,136.40196732601942,-2.0846507150904814,1.8178711560523408,-0.7241955400054872,-1.2302333345171812,-1.427903917470305,-0.13209608051367325,2.6525391948405943,1.427923610951725,-0.28546668797364944
liouville,56,16643.321660830414,4.665645029525472,-0.8159100523993404,3.1335613069905563,179.539837736057,-3.098515481658974,0.051108518530056046,-0.9999677489092584,-0.7040533787638968,-1.0260998564754331,0.25863348024244454,0.3835032441209916,0.1784252695439593,0.23743367861838832
liouville,57,13406.703351675838,4.672277236247148,-0.7759222070011491,-2.551150070705681,-146.17013195593708,1.2324836828301904,-2.4995515536437143,-0.8306943618599075,-0.12409797216987906,1.6214786306115943,-0.5732001620412607,-1.0150559572032476,0.5448379659118929,0.2398527268268761
liouville,58,12696.348174087045,4.683969623342782,-0.970731545729116,-3.112524081454442,-178.33449350017278,-0.10845519263955117,3.0040688888148908,-0.9995775388059341,-1.7320034861843068,-0.2957294222538474,2.3130893510257162,0.32607043377824785,-1.2847109771770175,-0.3660444639202303
liouville,59,19034.517258629316,4.702653851481662,-0.9912616703009426,2.823721250039327,161.78731014865846,-0.15482871028637923,-2.978549960325706,-0.949902852385462,-2.3285458932775702,-0.6748078970234036,2.3560108669721256,1.6116347742091615,-1.1048155070475953,-0.5159473976859063
liouville,60,18204.10205102551,4.732950594551163,-0.9786009596856602,-2.709803827550647,-155.26032262704842,0.6915205055540561,-2.881860974074883,-0.9082185864275126,-1.639110424130171,1.6076235469658704,0.8201414663468019,-2.1572272335967253,-0.08918812197654014,0.8580124940918621
liouville,61,17368.684342171087,4.768518010973952,-0.39809418950395253,-2.1677808997103636,-124.20469646247622,1.7484370113535608,-2.366967396115662,-0.5621511707108694,-0.4144757553166694,1.2430111686230485,-0.21510745170753523,-0.2818113705147408,0.7330617751359205,0.10645403828731295
liouville,62,15482.741370685344,4.788479047612624,-0.9023875335125714,1.6500836904271117,94.54283130484498,-1.747888251114374,2.885213365638101,-0.07920431658955575,-0.01143292376341242,-0.6215131860141022,-0.914800192593778,0.08964351775388543,0.22985598714706562,0.036787196922935354
liouville,63,16843.42171085543,4.791057892093276,-0.8927542173997135,-2.3354599458473464,-133.81199811890474,2.072693245833107,-1.875032115499133,-0.692294300106015,-0.894751596490923,0.0829721621101132,0.45582737852073185,-0.5727663549648997,0.3365121548168507,0.4978760888316664
liouville,64,10950.47523761881,4.861505030974676,-0.8366641992936481,-3.0491591345976663,-174.7039494762088,-0.26735696240624335,2.7818021721914237,-0.9957310630495144,-1.0057041259238024,0.20394756344972856,0.9983938439044987,-0.3006658778439662,-0.31516975126974806,-0.02123647391715585
liouville,65,10415.2076038019,4.888293428007888,-0.8797562061943329,2.8440501423653006,162.95206988111266,-2.9540803409626983,0.48505482385158705,-0.9560598412284127,-0.5731154739228883,-1.7866760809173003,0.012771021587139598,0.9929897803275989,0.19184276408949738,0.35291248488735727
liouville,66,18169.084542271135,4.961208252391514,-0.8917095510908305,3.1090032695708576,178.1327658387839,0.4089900244892273,-2.7000132450816303,-0.9994690130224831,-1.5098197908428215,0.5384394423552995,2.0271662171120894,-0.6493016229215128,-0.9097464190415764,0.8501620755002766
liouville,67,11230.615307653827,4.971899020600217,-0.9931359712193545,2.5114965752139398,143.89815402131927,-1.2828905511695194,2.4887981807961266,-0.8079709005112804,-1.8028068010441136,-1.899475426092067,0.38348227695533604,2.9516538988744667,0.9575189987087905,-1.658478331011996
liouville,68,10380.190095047525,5.042570666751245,-0.9863458061598296,-2.403259011086516,-137.69659841204128,1.1031221308391963,-2.776804165253874,-0.739591137656031,-1.024996983744438,0.9191525443348662,0.06424429162327643,-0.6310655234266677,0.01979459289820333,0.07342320668943308
liouville,69,19144.57228614307,5.048575421562681,-0.5135764956320632,-2.0579565557038455,-117.91222506310986,0.5577195282232315,2.615676083927077,-0.4681183705614098,-0.7806834064855738,2.0255448990894096,-1.2774926607038404,-1.4690606574822649,0.12683501446444181,0.6600489821037886
liouville,70,10170.085042521261,5.0494217532986125,-0.9948748963206303,2.7955298525551355,160.17206205423858,-0.27878973904794613,-3.0743195916030817,-0.9407154854017078,-1.5931290727700878,-0.5829871733037909,1.1806897708990318,0.9881715057176582,-0.5514259351848665,-0.40170867951329303
liouville,71,14167.083541770886,5.105824779754837,-0.9983885837375309,2.543762671404323,145.74686515439137,-1.220436577119754,2.5189860586555093,-0.8265589549315651,-1.773830366092205,-1.034872944794139,0.7482539598698862,1.569657241234415,0.0565852314977315,-0.31494032255468246
liouville,72,14972.486243121562,5.1347680192368745,-0.9988187593561938,-2.9074001918819246,-166.58176035035999,0.027667500428071982,2.9350676923099965,-0.9727020538419805,-2.016376269929915,0.025901813596353337,2.059612037317426,-0.51941072147027,-1.3619246874258046,0.055205204102990034
liouville,73,18484.24212106053,5.165946320729344,-0.872582314410921,2.5756529292390704,147.5740423359064,-0.14387947340437757,-2.719532402643448,-0.8440850842969315,-2.2634970370426113,-0.6650529504567149,1.2410070055294207,1.4175719146799823,-0.13868606142144776,-0.06354623954777433
liouville,74,10505.252626313157,5.202416687855841,-0.8475497525134226,-2.881721795359689,-165.11049660497247,1.3042009183413827,-2.097262593478514,-0.966423169913367,-0.9066124604584661,1.1803585640214977,0.41816874755808187,-1.0027245703809888,0.2914929159853083,0.38405582787908926
liouville,75,12111.055527763881,5.216292933435315,-0.9620767703493346,2.5630066038926183,146.84946126720538,-1.1149562010201695,2.6052225022667983,-0.8372366921172523,-1.6531923321090067,-0.2728922395683347,1.5103588315597054,1.385144508753726,-0.40024961892610667,-1.3303522359763207
liouville,76,11055.52776388194,5.27393585702971,-0.7807747463165757,2.8548964847596983,163.57351952346545,0.4817471467959689,-2.3731493379637296,-0.9591833819132988,-2.0872560124432717,-0.7525001145414322,1.019845014726347,0.7478303114221887,-2.4219614213447422,0.33076703755312814
liouville,77,10345.172586293147,5.297643469951893,-0.8310505572191526,2.8306853604012,162.18632428045711,-0.1804911010517194,-3.0111764614529193,-0.9520564003293297,-1.9368730083728565,0.5506340490120131,3.2124328845641825,0.10902271406555127,-1.0275092450400896,0.09945473251265859
liouville,78,14692.346173086544,5.315048709868725,-0.9459383533021971,2.585466355758978,148.13631025805887,0.012782692732193457,-2.572683663026784,-0.8493064062301429,-1.8055142366406465,-0.34058476657977105,1.2611382091220056,1.1574925255926833,-0.3234448454873046,-0.05674175432992376
liouville,79,12496.248124062031,5.324157949583351,-0.9178363915753801,2.6122459357063956,149.67066716617907,-0.9408862712340599,2.7300531002391306,-0.8631371422690994,-0.5830170400637065,-1.3399828807847045,-0.29272644983973606,2.449127037236684,1.0196152391964752,-1.7382190274837344
liouville,80,18644.32216108054,5.354306142132311,-0.986257873559665,2.9451582900140685,168.74514001577262,-0.5078861800263419,2.830140837139176,-0.9807687287819264,-2.3487306812296147,-0.8698217984186617,2.4300930660566107,1.4936187574284328,-0.645651185720077,-0.7538581920740463
liouville,81,18129.064532266133,5.3557875948662765,-0.9653381670884296,2.0603995150063286,118.05219632066435,-2.3503491472821723,1.8724366448910854,-0.47027573104832837,-1.8379881754499472,-2.3016380137719223,-1.5704436803151238,3.639802319103188,2.1513311686567063,0.2282303393840819
liouville,82,15727.863931965983,5.368800957771026,-0.8603110163878892,1.8521408059933313,106.11985124737649,-1.995464701839843,2.435579799346412,-0.27764751744663013,-0.4362077803630399,-1.10471819530203,-0.6286420401504884,0.48528951372983675,0.4677811757773338,0.022752947061139943
liouville,83,13796.898449224613,5.372162199207151,-0.9755085824277958,-1.9207015884915182,-110.048094724637,2.032640006035656,-2.3298437126524116,-0.3428088113397161,-0.9626048784442807,1.9172168250044834,-1.7330999790585937,-1.8396750391717254,1.4493203190477586,0.005029379636592644
liouville,84,14222.111055527765,5.4104585369966465,-0.989556920248011,2.2040282826651936,126.28151852418242,-2.0451771981015234,2.033979826412869,-0.5917531856801658,-1.202008288525723,-2.0486153928733173,-1.0355339119307863,2.4025721676924876,1.2097615573278182,-0.0681002102134014
