function_class,peak_t,N,D_magnitude,R_comp
zeta,1223.7577220300655,10000,7.409403002093909,0.007540789105412986
zeta,1223.7577220300655,20000,7.395586876332248,0.004219097483200696
zeta,1223.7577220300655,50000,7.5499638591029266,0.003443882693962229
zeta,1223.7577220300655,100000,7.59505457057127,0.0022783888781325082
zeta,1223.7577220300655,200000,7.658078717068194,0.001187240226261947
zeta,1223.7577220300655,500000,7.01312402646114,0.001221304736248544
zeta,1223.7577220300655,1000000,6.851179352607283,0.0010998087044577641
zeta,1223.7577220300655,2000000,6.63401191432536,0.0011176112413635957
zeta,1223.7577220300655,5000000,9.07639370506932,0.0008664805036511819
zeta,1223.7577220300655,10000000,9.760523376627335,0.0008660019385084933
zeta,3390.387371930943,10000,7.5214686747366075,0.003403478109095629
zeta,3390.387371930943,20000,7.5236319422802564,0.004717942701445872
zeta,3390.387371930943,50000,7.54837957753739,0.00624576508199212
zeta,3390.387371930943,100000,7.550651079991332,0.003404835880842116
zeta,3390.387371930943,200000,7.548546406667393,0.0017776605095422943
zeta,3390.387371930943,500000,7.393516997647989,0.0007252782374839856
zeta,3390.387371930943,1000000,7.372895286442365,0.0002373301218049272
zeta,3390.387371930943,2000000,7.361892435380931,0.0005509656405477982
zeta,3390.387371930943,5000000,8.036204309328069,0.0002862488424861904
zeta,3390.387371930943,10000000,8.18157799034604,0.0002290267945324688
zeta,2773.6892599944213,10000,7.434567715305002,0.006493583596320582
zeta,2773.6892599944213,20000,7.423913765203497,0.0030821816273625675
zeta,2773.6892599944213,50000,7.479824964501167,0.0014486289589724873
zeta,2773.6892599944213,100000,7.504501711956235,0.0017127070514206678
zeta,2773.6892599944213,200000,7.541690539713727,0.0007869379139997833
zeta,2773.6892599944213,500000,7.281875395871234,0.0002820110244011653
zeta,2773.6892599944213,1000000,7.1943686804153755,0.00016145060930338752
zeta,2773.6892599944213,2000000,7.064741317101986,0.0004693473077400932
zeta,2773.6892599944213,5000000,8.090976371754154,0.0004077341165115256
zeta,2773.6892599944213,10000000,8.414982372078663,0.00025835194773138966
zeta,2601.7778394103466,10000,7.1962421328693775,0.011057864187852274
zeta,2601.7778394103466,20000,7.18536580798713,0.00382226438582673
zeta,2601.7778394103466,50000,7.313792204933104,0.0023447477158313815
zeta,2601.7778394103466,100000,7.34617693981659,0.0019794526900060506
zeta,2601.7778394103466,200000,7.387764493829629,0.00139578031179736
zeta,2601.7778394103466,500000,6.958091071990785,0.0004187369366355694
zeta,2601.7778394103466,1000000,6.844552665882587,0.00016334806559068133
zeta,2601.7778394103466,2000000,6.694743086171179,0.0004936025118304487
zeta,2601.7778394103466,5000000,8.053201451148146,0.0003482942748498251
zeta,2601.7778394103466,10000000,8.430489929759437,0.00037249906132295847
zeta,3128.4271119933055,10000,7.190417607323716,0.0067277188881491425
zeta,3128.4271119933055,20000,7.199169687527815,0.0018237422309364214
zeta,3128.4271119933055,50000,7.275627647716464,0.0026328457704949564
zeta,3128.4271119933055,100000,7.320698069586536,0.001395201930582253
