function,T0,sigma,J,X,lambda_min,trace_M_zeros,trace_M_arith,trace_residual,trace_residual_rel,abs_lambda_min,lambda_over_tr,reliable,rho_RvM,tr_over_J,H1_rel_err,source,tr_Mz,tr_Ma,n_zeros_used
zeta,120.0,1.0,20,50000000,-1.2451265940870108e-10,9.756924788743907,9.75692478859479,1.4911982759713283e-10,1.5283486428958143e-11,1.2451265940870108e-10,1.2761465533929844e-11,True,0.4694457559611164,0.4878462394371953,0.0391961866571928,r12_sigma1_X5e7,,,
zeta,120.0,1.0,24,50000000,-1.1262165652145153e-07,11.094413005287718,11.094412900182782,1.0510493630988549e-07,9.47368159629458e-09,1.1262165652145153e-07,1.01512046169342e-08,False,0.4694457559611164,0.4622672085536549,0.0152915375553125,r12_sigma1_X5e7,,,
zeta,120.0,1.0,28,50000000,-3.502701029650406e-05,12.574563273061118,12.57453794022956,2.533283155869981e-05,2.0146092558913065e-06,3.502701029650406e-05,2.785544876261709e-06,False,0.4694457559611164,0.4490915454664685,0.043357960395181,r12_sigma1_X5e7,,,
Lchi,30.0,1.0,4,50000000,-2.1859974540644312e-14,2.1600998305669084,2.1600998305669874,-7.904787935331117e-14,3.659454911978091e-14,2.1859974540644312e-14,1.0119890863982551e-14,True,0.5049601551718529,0.5400249576417271,0.0694407313344171,r12_sigma1_X5e7,,,
Lchi,30.0,1.0,8,50000000,-2.6438240265081893e-14,3.57806708301986,3.5780670830200143,-1.5454304502782184e-13,4.319176847220782e-14,2.6438240265081893e-14,7.388972775426064e-15,True,0.5049601551718529,0.4472583853774825,0.1142699462588939,r12_sigma1_X5e7,,,
Lchi,30.0,1.0,12,50000000,-3.3960802573104465e-14,5.474291254711705,5.4742912547119325,-2.273736754432321e-13,4.153481516854483e-14,3.3960802573104465e-14,6.203689389722279e-15,True,0.5049601551718529,0.4561909378926421,0.0965803277342015,r12_sigma1_X5e7,,,
Lchi,30.0,1.0,16,50000000,-4.751531861312092e-14,7.683678419794008,7.683678419794317,-3.090860900556437e-13,4.022631780885097e-14,4.751531861312092e-14,6.1839285843504564e-15,True,0.5049601551718529,0.4802299012371255,0.0489746640035607,r12_sigma1_X5e7,,,
Lchi,30.0,1.0,20,50000000,-9.461642193926885e-13,10.68088020449351,10.680880204493366,1.4388490399142034e-13,1.3471259038266064e-14,9.461642193926885e-13,8.858485455109137e-14,True,0.5049601551718529,0.5340440102246755,0.0575963365721886,r12_sigma1_X5e7,,,
Lchi,30.0,1.0,24,50000000,-8.337161937639823e-10,12.343894824470915,12.343894824088546,3.8236969146510086e-10,3.0976421696908786e-11,8.337161937639823e-10,6.754077263451709e-11,True,0.5049601551718529,0.5143289510196215,0.0185535348716378,r12_sigma1_X5e7,,,
Lchi,30.0,1.0,28,50000000,-2.6386589503144825e-07,14.332880345205083,14.332880252479391,9.272569201357329e-08,6.469438785526016e-09,2.6386589503144825e-07,1.8409830311582965e-08,False,0.5049601551718529,0.5118885837573244,0.0137207431408395,r12_sigma1_X5e7,,,
