function,GRH,t,P_t,reS0,reS1,reS2,reS3,reS4,reS5,reS6,reS7,imS0,imS1,imS2,imS3,imS4,imS5,imS6,imS7
F1,True,96076.90000031317,3.434411885693466,1.0,4.796383143477985,7.831191484580739,4.601077489536662,3.1481435625795022,0.8520281805242383,-0.05621523897854192,-0.0006638542752120084,0.0,-0.0955140114198954,-1.2150614396359984,-2.9034841551601662,0.2788725208518239,-0.011422753975819443,0.04488031280189119,0.0005366956127385383
F1,True,68756.40000021376,3.5451059767294737,1.0,3.9813118787880497,6.812305649462083,6.178434027991168,3.7441033077386776,0.443578923178668,-0.07862417045027616,-0.0010751781100843375,0.0,-0.6683608295008907,-2.0897312102873267,-1.6104352449919148,1.3380618469881773,1.391879756873993,0.15626695680210945,0.0006800092760723506
F1,True,62482.90000019093,3.7324257920156554,1.0,4.031150823340154,5.913012251804111,6.019743865507585,3.0253270574448954,0.7261869114106987,0.040015906736388496,-0.00024454898497280105,0.0,0.8311555789361842,1.2340839781092483,0.5685540212635575,1.0699733426764804,1.7317085288075997,0.39149870741600445,0.005153842436282408
F1,True,46628.700000133256,3.432538876929712,1.0,4.4138450693120115,7.696955383752844,5.949758431810583,2.8192777042745405,0.4689944637070723,-0.02136840425190717,0.001858134215702618,0.0,0.7210168670058272,0.8215579397579073,0.8121745258107321,-1.7826998871408533,-1.4420414447444727,-0.2781224203149469,-0.0033060911189899795
F1,True,91427.10000029622,3.185419190936186,1.0,3.9738430473296176,7.0241430479204015,6.495060086800206,2.5386843579999634,0.2833134373514394,0.007813079094661826,0.0013870763255366659,0.0,-0.7070613531036125,-1.8053025249212282,0.18323356357472587,2.920140691163205,1.4772294337130385,0.16978627605449534,-0.0007356626602450362
F1,True,53726.10000015907,3.778854587674164,1.0,3.854365211652816,5.873056927314677,4.861349506486839,3.4811158838957166,1.9565142545288359,0.3075283108460951,0.0016236491838853635,0.0,1.429059116370186,2.7934012462672513,2.8443439949229603,1.1915181718719026,-1.4633350657314022,-0.32935994771925436,-0.003247565655385912
F1,True,64278.20000019747,3.5894926780387038,1.0,4.2101905216213,7.183827554000231,5.1630099699067316,2.9410858584802066,1.1776455578318004,0.12472512240361411,0.001848351924052865,0.0,-1.2467017382490373,-1.9765563181013042,-0.26913791748087085,-0.5583510141769354,-0.4662428701683313,-0.1005775601242071,-0.0019130448046184292
F1,True,55756.700000166464,3.7553291151477093,1.0,3.7765429743293635,6.3680888367816095,4.41667939777573,3.4462473584063757,2.2184499752604596,0.33784440693408974,0.002374667744559039,0.0,0.6692794774717588,1.442348663259538,1.1766688823974065,0.7222985847652756,0.21652882263715661,0.02825580746042506,0.0005246996982477401
F1,True,57832.90000017401,3.758166371546046,1.0,4.421369017817965,6.69489472854686,4.745236191477697,3.3923500433743694,1.6343593507160297,0.21625264278386308,-0.0016083597686791613,0.0,-0.1386080881467355,0.44200659562752886,0.5344980860273284,0.32162083942213315,0.055077556677222146,0.060212178745728345,0.0026223445701773454
F1,True,88327.00000028496,3.7115805305072214,1.0,3.841091917274596,6.80294774016884,5.43709825045228,3.692309275885787,1.3560715576898539,0.1229169161884239,0.001051278094755144,0.0,-0.3244050001791581,0.2785147433581141,0.5191489228770628,-0.8346518014209987,-0.7551358465624075,-0.09823641382460958,0.0002016061979871808
F1,True,92360.10000029964,3.578727802026876,1.0,4.0153904650333825,6.72864198079895,5.230303054069057,2.8435730845706435,1.2997416539394069,0.18096724249538348,0.0014406357115750025,0.0,0.15964249146432924,-1.0822744620260625,-1.8243200392453292,-1.907220822130682,-0.5678363930064335,0.06807596675135948,0.002917773012190575
F1,True,89876.80000029059,3.56882601766275,1.0,4.473816600511004,6.309529011920722,4.848713543550103,3.965349082655648,1.2749810842593154,0.08029600758375552,0.0003685691381432257,0.0,0.2911114364710364,2.230953489220223,1.8294834385574263,-1.5378551624421384,-1.4557830626373578,-0.24502338322627862,-0.0032519982831503767
F1,True,68927.90000021437,3.4966308076409534,1.0,4.642497463301077,7.69334414032073,5.018505301935693,2.3119466561066395,0.5066208116837249,-0.04629462017793848,-0.003859032439193864,0.0,1.0545655547846755,1.9047299879928228,1.8875439287856233,1.1511026186167042,0.1137697427431256,-0.10563252513993453,-0.003435399392963886
F1,True,53445.70000015805,3.618329263295358,1.0,4.217812141536758,6.753750235514705,4.383609357989334,2.8562402136117377,2.2291162142172727,0.36996410647579253,0.0015324438946909646,0.0,-0.029439842904274698,0.47116724549249267,0.6184950867922462,-0.5831972180322257,0.6837724586382593,0.24014189241310777,0.007085684139689528
F1,True,85879.50000027605,3.5282490012084398,1.0,4.434590949222781,6.362699671337116,6.162267051553984,2.683737392204497,0.7594786735092318,0.011250335289878774,0.0014256466582903793,0.0,-1.2069785015927632,-2.8637765532943322,-1.9053702898658198,0.24450093880301088,0.4330957461009628,0.000892998535727469,0.0015927235318330618
F1,True,82951.2000002654,3.668412778157452,1.0,4.907646770201054,6.903938611057379,5.140164863874504,2.8986079762601036,0.9132862330908695,0.1229318508293141,-0.00048625898470456045,0.0,0.512834578437861,1.3414445989197914,0.26468477308939126,0.060983111676042166,-0.13379421739040936,0.002155911082677463,0.0007009258864235091
