orig_index	refined_dps80	seconds
489	463.25890552361494211973312537356460316893956761219524799129242780315512515647519	1.782
497	469.42423226408933829892273813061044466942611661989341521695713734023080979704926	1.810
505	474.79276748137518721885538996312181517816089396935733352311704687589252175663929	1.911
513	480.87773585946418219367386252895599926535979778709515305810273040459571494333648	1.873
521	486.42937671994965719193604225520896844318930145314056196666030099778169428751416	1.897
529	492.15407482735607030693225269869447060841409729882091369194713336437994949319851	2.070
537	498.05900270155147993759624116060654649537703474912339058528433193457549379921942	2.249
545	503.69246526130777098678520667823564078625256413454841008516500117870407031728780	2.216
553	509.65892709547170432917633722912042674538393822942679829195191383938873621869760	2.129
561	515.28184012249016326240287927071705442257377783679320778084787820396010714326697	2.179
569	521.11538217446974104025312555078108362631818548369406212360151425216167535425154	2.288
577	526.39663984080745636359120066711565858577000398943520430090278325652666429713414	2.301
585	532.62858051671879808218609786318799647258614392953732522602001057009796849657145	2.351
593	538.07137818148125875721028026790257422545002168187446255132067154233725748117117	2.437
601	543.68917809168471262083322875077193847013826291725917779003234557782805498560303	2.673
609	549.01703259212193817445310860145341404298672972184866502392776372289276978560267	2.619
617	554.50057525982718537375970319635862736603937457378658693285530622209230914384790	2.708
625	560.46748996560049353268313371641725272740941491593849955102167268308382008529017	2.696
633	566.07147114213846119542030429008697508207830377300058341160117271983071217220576	2.624
641	571.75668723904029242008155181750008125842451272264467208800481398787721410397728	2.878
649	577.26008130893554908867060940305234187121969631740772948495727925481087231883813	2.921
657	583.01800454952287946112736073262455190872033830754165670086807089218875847552661	4.143
665	588.28032870345948514166416690079821075856092370473472537230621921582328104944824	3.070
673	593.86118570508673874223832645285364149460272837408371525266091133494983556729869	3.038
681	599.08898580798097149980360783644802219590476361696629540981706903896030327316464	3.102
689	604.80846011304979339052287200301194163959047295082687509945463485779699391902052	3.369
697	610.22844969289697246827007238214326156698670939144151916515724961387846490099149	3.227
705	615.74447481438875503788940455950832771637755181942746586540501695290911261970547	3.258
713	621.22662522884639508913061789534249859390034604947535834884297188255962679188235	3.360
721	626.62898726371479332208072031396271643787057239788727869976733662742908991356853	3.457
729	632.32904164654375411399514398255315368125629773962290344508837076207090580511469	3.709
737	637.80915957659534616998152876257241906142041992565724618497637621453845630791729	3.637
745	643.05405914735106912896980325627174053078246745701856157611616043883880242808461	3.784
753	648.73239632722245109751547903811220279753392229382222656803743906366914250706553	3.981
761	653.91895663604365082246693115925444834569254736453086681009566500284173543213746	3.727
769	659.46985376696733322631832869594210022824766910110800539043075600038784180228659	4.012
777	665.01779464023219440544640719196325034234960868028215550870223919946362025668166	4.009
785	670.08089989011069464515152337707090576827585912787596105258747924269893843848918	4.141
793	675.38114822851835124043216823246231406769003536673673241044876632136229830631256	4.016
801	680.88531940076229381707917725593580870472333460289419361346937108774771979621063	4.089
809	686.02686216256620467496015260585608135839741609711675098133693814308768936125574	4.431
817	691.52837644606895404946561360210764118955617885100029510879222125249372765543894	4.433
825	696.84649865307641394994814198998288461077033685252239530717654871373156049524002	4.461
833	702.44630336275563307667178687450898677845982097663558580091086534941414738734713	4.537
841	707.51348641832619265704387347193669732533228471284652406296187982462511234827705	4.536
849	712.67200439847970544398476954828094680520362147191868770369421330601710062672134	4.888
857	718.10990040276375445522287102923959280048881217280882177689037222423787417927382	4.971
865	723.81026374760459994956666683959705926832535188297434174120863353084539339965425	7.049
873	728.85704029331496967774674206323016430642340809583801170241555475120685829042561	5.015
881	734.19268070742662866532594135375120879777055679423962704402084114255992705874632	5.022
889	739.69500918453486285848827727359195845530203616117292911168789067721451795422161	5.143
897	744.52141451370739000107272387058414058949806355691182390739475835344502679575431	5.330
905	749.95392085650909662735426042286636581961982321099232692387015732496716430258610	5.491
913	755.06954234808914905348139915275195305263002085782129533407800254057025277520251	5.239
921	760.58685207910575819228353460268517493054062708987315132903322781888680218472213	5.452
929	765.70305829871356234381573800229422538230539285628893270182541382945992360636544	5.526
937	771.05113040862701772073619121707948465295251086680703430354922037843824682402521	6.067
945	775.78419640265041340021512632187653060519066671110560945921993226928060150921662	6.097
953	781.05459212797277713303063756211122236443399134378903023376621378410183255015122	5.871
961	786.40611201167099229584738813273750901702532433409484012316263014124903150935091	5.931
969	791.84546018460341498550149173673148796205261373657694632136396271231912823234618	6.142
977	797.24157272069499826080655104713667124990019332939530142440111620645660072487276	8.707
985	802.30351268702110052269255631603887611091501879285979620215296001774978130335592	6.434
993	807.09690158650817337767668884820516505567353909508788375042046561406297196805635	6.621
1001	812.24985134188818197766608419206622886724424825363715241671978910683008636226692	9.607
1009	817.55681644086229348679725265927472752081319275406637082418597591533232643964137	8.400
1017	823.13474124726090592148184427959251117033242868800564232725730431875662684757540	6.972
1025	827.73069166977690026424132981040872448183233963456042646142613409496046366781331	6.918
1033	833.16041476948355036009705451445784259959042893244677445714840384576643008580926	6.969
1041	838.08818453836387121737433347868460050604873167165138017723088611981183038221364	7.035
1049	843.04158901386766767274319103120311354223869701477741949735061304022627757395496	7.178
1057	848.61619276545000772574590619825616194630009656451770258212022744813970839471756	7.074
1065	853.40752136325595560687871850445520221555745460313051781477725552064620749446382	7.309
1073	858.77237319949808633100184024673735756245725721943698172852033294977379291456806	7.825
1081	863.72151249216135129974346110700452328719756338059138748305477596112785514040063	7.852
1089	869.05874677398722373406168452741546284534834927714668063164789100594158082331619	7.776
1097	873.99906568824910713209709172126674682161395654635088930984684672248062590888345	7.959
1105	878.93786194707522251608749491645385474479780727527444072317545544944298549826150	7.953
1113	884.19695526782639808171047206246676162820707625175125557271674106669287166877679	8.456
1121	889.21104514280926192905819778295187329318303799393324842936740313320163906940041	11.960
1129	894.45263316901408249921278188980112887379319781978869383066692573170096845492828	8.545
1137	899.43075929952211670219663037555122798154270716048208395476531746240541953549916	8.786
1145	904.38673263838658124242226333211106917929562226198482334227247891378296304028130	8.580
1153	909.59999273962717494445755989413914415434689142187161255868767692359568909357502	8.783
1161	914.71327555960788392837593872313411801002395632957744492285337776035362344223028	9.036
1169	919.48147760229086226215848945940888992896335087650248415826757671489779162375724	9.359
1177	924.58186017066308553277328188514746668580835081070176139625710897593957602450988	9.915
1185	929.49518210520844856962877325167086389107378180641938742207787474753115774853262	9.657
1193	934.57501194151004548598282134713885259653528768013682189999656350539818837750648	9.295
1201	939.68154963763642988312948948241316253120636922528529024299622774683748457897995	9.845
1209	944.52788841976677993732588946546865371937513074080015125331798527621952421755794	9.882
1217	949.91106386137837768240935625501333057510603254755195818471188086984994592696671	9.961
1225	954.79918975582789521860863248941387138717108448709477092645960379553361212361140	9.845
1233	959.85242959553763908676949178197568194864864332957705738012095767818541964107198	10.176
1241	964.84866820841839345839239222410946712596296268145421752412889011536667507519137	10.296
1249	969.78613708403008597116516503869836551239887756040205960736001614132432293445918	10.565
1257	974.62952276778900189667278084982159754730746460714339495905932611820710375027143	10.721
1265	979.88149796147875085428492031752813263350912693062707592709346149250270749221714	10.939
1273	984.58391888597919720095185713365162011366483338334792174376983762749250308577641	10.833
