orig_index	refined_dps80	seconds
1281	989.42629411579484467400297941113462234779086222290233612071210279451122283161214	11.258
1289	994.61548989938251852431965821533865075370559081124936120641573374702721275567256	11.040
1297	999.41630482411118039241011745672400950736853054931712535252930804189769543537366	11.501
1305	1004.6273659433738829605274642830268894134907093984352035009120488937162455059673	11.596
1313	1009.4236950015121875280856957174610543623621152313438496920492286150656450609045	11.731
1321	1014.3773189200947277359319556345240514788955448907053727492412842698419295921035	11.844
1329	1019.4418127066374650432969556739959805840568260098904843517837074765109323237911	11.929
1337	1024.3368928051764194680698140415887102270284677318750234012745283950561156516044	12.363
1345	1029.1519679591901098592047529965890909407100515393786036694121397545943889135085	12.667
1353	1033.8877182198386200322755712535251070861963530207914842523391436812235766173483	12.366
1361	1038.7282290389320201626914680061843254323349056266206486716267899148523183084261	12.695
1369	1044.0013399870179222516532987921116213173483126170499235478731889901861387499147	12.589
1377	1049.0927025762091575967202733639299072075781937597862440158199647649034242461740	12.602
1385	1053.5153800950367857329462235981036852292756219354807453409348472113519752396623	13.325
1393	1058.9470676912825121435292628412807570588844096762701814765885784366586691654109	13.745
1401	1063.6128134590058615012027643360211566501702384265529632276196968481969653820370	13.758
1409	1068.2971915215004484586074287401855516381240364570107419206781614390927458649259	18.981
1417	1073.3426736298245109991851265700442659487578243321728416587339464752122943214525	13.523
1425	1078.2501797513685560896605942573687464019724103608007965643253831040701955038636	13.666
1433	1083.1942612787934666085978053760261282273893938278069505531063388196203433389202	14.387
1441	1088.0912123995215555372615174701446693243452975376739724448219890130443735783546	14.658
1449	1092.8192845072375120750053070968029650413022427686167953981625069452852199177355	14.358
2	17.442776978234473313551525137127262718708866524275272068938570762442661986293838	0.045
10	35.196995841210072594219919084147896387838275558206160592647320040245862169696596	0.051
18	48.359052478023669542644974476320894669509813630344022137700954910028213189743880	0.068
26	59.785938003317141362180103320441770904142342348786026057597793167575156880543107	0.078
34	71.114653414246470493880147095186921445114001834170691853224140222063901790821872	0.099
42	80.560192068097504753063128092545880023375043218649240983041521264070382222360508	0.115
50	90.451032896162602316793119908677963479348139032009615476936261601707341767652697	0.116
58	99.746648900304140317734652706633261587276187957847491553944786024214516488400387	0.140
66	108.47543790163686141481174491554067009984567509289947080825206214900872227271161	0.162
74	117.11654084727239354653185306999201124395818805088958667903851300054555078334112	0.172
82	125.94289344930039077060625435324598818215126424882959382892031692274771857834252	0.229
90	134.34729668877155836336447988983358086122019528344947972653283781652211509114156	0.200
98	142.14115198901853518039491760358539975631493039306868279579360539901403592683358	0.210
106	150.27507429697810218186255024428654236867785560512281414476690186665587483957483	0.226
114	157.91275288651465836290514240187771108241389107069738541928047470051198803337782	0.267
122	165.61012289579166883320837607581245781623544100580192821425829246980445772371311	0.398
130	173.52425286894492569960998396458281858664709312434128332746063256635671049232183	0.306
138	180.76367930804288091199207052137601270184989423488156824841488790211605705265630	0.351
146	188.53687252767748635363193542897514793021561299180215766047563936262227919795003	0.350
154	195.40712791894840274912462596829562669180240396936427251535159410363000161444434	0.341
162	203.15111215277240715735370451870301091221693303019916850410817210846513969179412	0.348
170	209.75452537378765345116788662209619409862977545056059620507168991740959643636660	0.400
178	217.13749845039274066649768895857412323222366424242093269991370859046432911289071	0.408
186	224.48851530011807030319108622582699158587315260243321618129002679628155399133991	0.439
194	231.35676943021722065600056540385960402878431753593294843829467816417104177984580	0.445
202	237.64508882751726324583286683285943774615005800810470228717756735287107107772849	0.524
210	245.08901571054066056881307139909439915566571593201639889647670776376571361921055	0.537
218	252.20174182979515628440514307537728345313612789942483991606590653843782052846704	0.513
