Function,Peak_Index,t_value,Peak_Magnitude,M_coh,R_comp,CAS,Class
"L(s,χ₄) mod5",36,4229.0,12.26152979651677,1.942182212450083,0.0107584350287956,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",37,2588.0,12.242309320166424,1.403520706811499,0.0045389404063637,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",38,7193.0,12.216609051663031,1.6456967392631894,0.0260725535592264,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",39,4709.0,12.18799701886986,1.5263060235911603,0.0196609886625336,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",40,5579.0,12.179577607070252,1.6947637499284471,0.0111709189113799,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",41,2062.0,12.134447733482082,1.5545738736202994,0.0088918091559743,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",42,7610.0,12.132463566179194,1.2774655622499966,0.019689020894502,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",43,5162.0,12.011902640758288,1.629552186951775,0.0133616869235817,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",44,9359.0,11.899248081743933,1.253769331336737,0.0136601510146663,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",45,2851.0,11.866463253980282,1.4559807380862722,0.0036453087861403,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",46,8770.0,11.802958793580292,1.522782983749604,0.0085403148322894,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",47,8045.0,11.7521953265688,1.5060500890416255,0.0180470672222734,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",48,5207.0,11.69305079026469,2.016540705669162,0.0163046463058492,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",49,9233.0,11.66861666889658,1.713619068995703,0.0235936664049959,4.3979356657055035,Multiplicative
f_rand,0,2207.0,21.12694662150313,1.4873806103847709,0.0654912035825145,1.0767689304486086,Multiplicative
f_rand,1,8716.0,18.94976478530507,2.079120424186545,0.0466717613662724,1.0767689304486086,Multiplicative
f_rand,2,3512.0,18.38329092488852,2.020781157576989,0.0450219844436447,1.0767689304486086,Multiplicative
f_rand,3,9992.0,17.298589232696386,1.980262073472888,0.0414137376358794,1.0767689304486086,Multiplicative
f_rand,4,7393.0,16.64493195459158,1.956129210147576,0.0408671797124946,1.0767689304486086,Multiplicative
f_rand,5,9985.0,16.6114734662646,2.009769727802231,0.0376564913532562,1.0767689304486086,Multiplicative
f_rand,6,7131.0,16.28760562980991,1.9064014733680457,0.0374316816878654,1.0767689304486086,Multiplicative
f_rand,7,1681.0,16.231648842258057,1.9370540342617089,0.0370986232950031,1.0767689304486086,Multiplicative
f_rand,8,9369.0,16.094934406201467,1.7717679255420986,0.0382727905895613,1.0767689304486086,Multiplicative
f_rand,9,1962.0,15.850697684147756,1.9132653800275528,0.0371449436423068,1.0767689304486086,Multiplicative
f_rand,10,2797.0,15.427146285908636,1.928400542298623,0.037689934816529,1.0767689304486086,Multiplicative
f_rand,11,9730.0,15.325807834160422,2.01834390897073,0.0352362542039983,1.0767689304486086,Multiplicative
f_rand,12,6033.0,14.666604170304296,1.621626603476969,0.0370586506635401,1.0767689304486086,Multiplicative
f_rand,13,7412.0,14.376223438774312,1.620992347842135,0.0377577167069895,1.0767689304486086,Multiplicative
f_rand,14,9757.0,14.347165880754222,2.049931883438219,0.0319924717122104,1.0767689304486086,Multiplicative
f_rand,15,5381.0,14.177321051969813,1.8654261182610616,0.0321328799452286,1.0767689304486086,Multiplicative
f_rand,16,6085.0,14.103760749550547,2.062375320514465,0.0318960397285407,1.0767689304486086,Multiplicative
f_rand,17,4674.0,13.984565724962954,1.9193500290602203,0.034042466105269,1.0767689304486086,Multiplicative
f_rand,18,7521.0,13.829383852004032,1.9869801870684445,0.0329190174030702,1.0767689304486086,Multiplicative
f_rand,19,3185.0,13.566931589713406,2.014655002806086,0.0309032285386078,1.0767689304486086,Multiplicative
f_rand,20,5924.0,13.256054656539527,1.916712072697104,0.0276933228245078,1.0767689304486086,Multiplicative
f_rand,21,1139.0,13.241867354705889,1.0582719183504234,0.0426826056515287,1.0767689304486086,Multiplicative
f_rand,22,4128.0,13.094782849962913,1.6168701535076702,0.0336404573075875,1.0767689304486086,Multiplicative
f_rand,23,5978.0,12.798191594554629,1.944343798454936,0.0269223001748069,1.0767689304486086,Multiplicative
f_rand,24,5245.0,12.68205923860068,1.966306151035648,0.0283958813493321,1.0767689304486086,Multiplicative
f_rand,25,9395.0,12.595026152061594,2.063070551292073,0.0282039578557703,1.0767689304486086,Multiplicative
f_rand,26,3305.0,12.585245256496114,1.923251371204909,0.0339678344057297,1.0767689304486086,Multiplicative
f_rand,27,1516.0,12.502277465696876,1.8695361614656187,0.0307047076771718,1.0767689304486086,Multiplicative
f_rand,28,5823.0,12.4838081858485,2.0696527803640423,0.0303368066512386,1.0767689304486086,Multiplicative
f_rand,29,3667.0,12.441906284990257,2.0173931971891106,0.0262704848608294,1.0767689304486086,Multiplicative
f_rand,30,1700.0,12.432762263008206,1.813277347643828,0.0300698027689855,1.0767689304486086,Multiplicative
f_rand,31,1955.0,12.35240272948611,2.062257972059859,0.0267037056122229,1.0767689304486086,Multiplicative
f_rand,32,8814.0,12.350773080135076,2.075583188148482,0.0263460569110289,1.0767689304486086,Multiplicative
f_rand,33,8271.0,12.346256333059827,1.9511286160735537,0.0260152622786657,1.0767689304486086,Multiplicative
f_rand,34,7040.0,12.18027564875033,1.893854578235215,0.027534851607797,1.0767689304486086,Multiplicative
f_rand,35,3902.0,12.159412715164397,2.1140360524429864,0.0274463154720944,1.0767689304486086,Multiplicative
f_rand,36,7212.0,12.026677692514658,1.920758853223386,0.0269388695977797,1.0767689304486086,Multiplicative
f_rand,37,9333.0,11.904634247684806,1.9810619927541104,0.0285021422779909,1.0767689304486086,Multiplicative
f_rand,38,9785.0,11.901416089565764,1.7484957823447898,0.025802188222153,1.0767689304486086,Multiplicative
f_rand,39,3476.0,11.886053976829256,2.0334072927337443,0.0269742128433744,1.0767689304486086,Multiplicative
f_rand,40,2352.0,11.7634881238457,1.82772956233757,0.0238944942292143,1.0767689304486086,Multiplicative
f_rand,41,3133.0,11.375623153390356,2.17685954166284,0.0252991418971455,1.0767689304486086,Multiplicative
f_rand,42,1099.0,11.316502421584024,1.8822046615607195,0.023419350807373,1.0767689304486086,Multiplicative
f_rand,43,6279.0,11.29609046583866,2.085090136849711,0.0256044693073282,1.0767689304486086,Multiplicative
f_rand,44,2957.0,11.2714890176626,1.843310114611636,0.0262770221020259,1.0767689304486086,Multiplicative
f_rand,45,2126.0,11.256156351676411,1.7501328248374113,0.0263222784664005,1.0767689304486086,Multiplicative
f_rand,46,8287.0,11.19119745550372,2.124099114994348,0.025063468754312,1.0767689304486086,Multiplicative
