n,b_zeta_W1,b_delta_W1,b_zeta_W2,b_delta_W2
124,1354.9943656494975,1354.9943656494975,1354.864717113563,1354.8647170006486
125,1355.1210505257222,1355.1210505257222,1354.7045546769502,1354.7045548235499
126,1355.2201102393897,1355.2201102393897,1354.525019617985,1354.5250195738042
127,1355.2850073602287,1355.2850073602287,1354.3361627722054,1354.336162673782
128,1355.3109288685007,1355.3109288685007,1354.1490958349686,1354.1490959832897
129,1355.2952918969086,1355.2952918969086,1353.9754161153205,1353.97541605524
130,1355.2381218495095,1355.2381218495095,1353.8265876110363,1353.8265875277734
131,1355.1422300450386,1355.1422300450386,1353.7132816523524,1353.7132818001883
132,1355.013136126508,1355.013136126508,1353.6446776531166,1353.6446775787344
133,1354.8587146110883,1354.8587146110883,1353.6277290813505,1353.6277290138105
134,1354.6885887850751,1354.6885887850751,1353.6664129934773,1353.666413138803
135,1354.5133384290846,1354.5133384290846,1353.7610039384647,1353.761003851191
136,1354.3436198854472,1354.3436198854472,1353.9074435363962,1353.9074434852064
137,1354.1893102119482,1354.1893102119482,1354.0969110553328,1354.0969111961624
138,1354.0587792769368,1354.0587792769368,1354.3157285701993,1354.3157284713318
139,1353.9583673191619,1353.9583673191619,1354.5457426887597,1354.5457426545843
140,1353.8921065987658,1353.8921065987658,1354.7652972854341,1354.7652974197265
141,1353.8616814057718,1353.8616814057718,1354.9508366360194,1354.9508365269885
142,1353.866578208296,1353.866578208296,1355.079057708026,1355.0790576912927
143,1353.9043448089162,1353.9043448089162,1355.1293866283818,1355.1293867541262
144,1353.9708623473641,1353.9708623473641,1355.0864297416126,1355.0864296242416
145,1354.060544792336,1354.060544792336,1354.9419932029186,1354.941993203414
146,1354.1664217154157,1354.1664217154157,1354.696310433925,1354.6963105494544
147,1354.2801280417973,1354.2801280417973,1354.3582622855417,1354.3582621620694
148,1354.3919033292304,1354.3919033292304,1353.9445785906676,1353.9445786073552
149,1354.4907646641461,1354.4907646641461,1353.478206408927,1353.4782065132085
150,1354.565027269107,1354.565027269107,1352.9861595632744,1352.9861594360582
151,1354.6032792676504,1354.6032792676504,1352.4971964084125,1352.4971964396723
152,1354.5957714372457,1354.5957714372457,1352.0396165802988,1352.0396166729038
153,1354.535997007576,1354.535997007576,1351.639358495626,1351.6393583667902
154,1354.422082141853,1354.422082141853,1351.3184613213482,1351.3184613654564
155,1354.2575630393494,1354.2575630393494,1351.0938633775036,1351.093863458303
156,1354.0512351940145,1354.0512351940145,1350.9764630709483,1350.976462942236
157,1353.8160036914378,1353.8160036914378,1350.9703728913053,1350.9703729467983
158,1353.5669562576916,1353.5669562576916,1351.0723449743703,1351.0723450432026
159,1353.3191130061914,1353.3191130061914,1351.2714236807578,1351.2714235536168
160,1353.0853946141572,1353.0853946141572,1351.5489652668052,1351.5489653325615
161,1352.8752705915351,1352.8752705915351,1351.879229082123,1351.8792291386333
162,1352.6943383993914,1352.6943383993914,1352.2307562508488,1352.2307561265907
163,1352.5448145881114,1352.5448145881114,1352.5686807788875,1352.568680853979
164,1352.4266689384226,1352.4266689384226,1352.8579515524464,1352.8579515961603
165,1352.3389666549504,1352.3389666549504,1353.067201909148,1353.067201789071
166,1352.2809439874827,1352.2809439874827,1353.172748241626,1353.1727483250418
167,1352.2524414425407,1352.2524414425407,1353.1620230688893,1353.1620230995259
168,1352.2535324099767,1352.2535324099767,1353.035739732067,1353.035739617432
169,1352.2834549804406,1352.2834549804406,1352.8082832852615,1352.8082833757067
170,1352.3392008254561,1352.3392008254561,1352.5061815057595,1352.506181523568
171,1352.4142596710444,1352.4142596710444,1352.1649151498077,1352.1649150416954
172,1352.4980115356523,1352.4980115356523,1351.8246404511142,1351.8246405470632
173,1352.5760972682328,1352.5760972682328,1351.5255259999196,1351.5255260056717
174,1352.6318269001495,1352.6318269001495,1351.3033403574934,1351.3033402567048
175,1352.6483916069258,1352.6483916069258,1351.1857322237834,1351.185732323748
176,1352.611430356117,1352.611430356117,1351.1894219104881,1351.189421905039
177,1352.5114425636864,1352.5114425636864,1351.318357773566,1351.3183576807678
178,1352.345643062805,1352.345643062805,1351.5628286984897,1351.562828801229
179,1352.1190565695244,1352.1190565695244,1351.8995630549607,1351.899563038736
180,1351.8448329866885,1351.8448329866885,1352.2929494754778,1352.2929493914949
181,1351.543843442634,1351.543843442634,1352.6976204401349,1352.6976205446028
182,1351.2435790517343,1351.2435790517343,1353.0626532630863,1353.062653235961
183,1350.9762873620796,1350.9762873620796,1353.337456574562,1353.3374565005106
184,1350.7762391017668,1350.7762391017668,1353.4789530117134,1353.4789531167635
185,1350.676080428473,1350.676080428473,1353.45900256129,1353.4590025231694
