n,b_zeta_W1,b_delta_W1,b_zeta_W2,b_delta_W2
372,1359.0563229592146,1359.0563229592146,1366.3012127022555,1344.071596424462
373,1362.5798826577836,1362.5798826577836,1362.6283806943502,1343.4442137150638
374,1366.0518217932433,1366.0518217932433,1357.8425483603605,1342.4272515298128
375,1369.0890454414398,1369.0890454414398,1353.3504059230283,1341.6861367392771
376,1370.6332477424294,1370.6332477424294,1350.321935612876,1341.863293267238
377,1369.59693821264,1369.59693821264,1349.1173026058932,1343.1161561370925
378,1365.792803453193,1365.792803453193,1349.1798176306172,1344.9365806982962
379,1360.2361892326276,1360.2361892326276,1349.390245256554,1346.3685890917864
380,1354.5828126601525,1354.5828126601525,1348.707297252207,1346.542661242992
381,1350.2847046437118,1350.2847046437118,1346.7692036963804,1345.2244807012896
382,1348.015917477782,1348.015917477782,1344.0857962336313,1342.997888887299
383,1347.5107019768657,1347.5107019768657,1341.6883878616563,1340.9312582119092
384,1347.7920774073755,1347.7920774073755,1340.4885604587625,1339.9577170128327
385,1347.7167822687748,1347.7167822687748,1340.7627068450213,1340.3720421901332
386,1346.6020603139339,1346.6020603139339,1342.032964517324,1341.7137974579052
387,1344.5735068744154,1344.5735068744154,1343.3695346319003,1343.067486091173
388,1342.4157644751147,1342.4157644751147,1343.940079317121,1343.6093592282145
389,1341.0391730050846,1341.0391730050846,1343.4978828303658,1343.093017426146
390,1340.901828677526,1340.901828677526,1342.5050716781154,1341.9700036674901
391,1341.719896593619,1341.719896593619,1341.804081839677,1341.0598523288588
392,1342.6370569767778,1342.6370569767778,1342.060867190446,1340.9950128309501
393,1342.7817185224937,1342.7817185224937,1343.3519933695993,1341.8138310156392
394,1341.8758973012577,1341.8758973012577,1345.1486669697304,1342.9525174663042
395,1340.4622624524602,1340.4622624524602,1346.697158582228,1343.62661001127
396,1339.561939180855,1339.561939180855,1347.5743857317032,1343.3679638125968
397,1339.9894677906054,1339.9894677906054,1348.0801203111566,1342.3828710768903
398,1341.7668730494183,1341.7668730494183,1349.1680942616385,1341.476102307903
399,1344.0051667347043,1344.0051667347043,1351.8753267194127,1341.5663044387547
400,1345.386844462108,1345.386844462108,1356.548125321607,1343.1306456487723
401,1345.0224514056015,1345.0224514056015,1362.313894925446,1345.9610028422505
402,1343.0973339845807,1343.0973339845807,1367.20392711244,1349.347921219804
403,1340.7851507930818,1340.7851507930818,1369.1601325885247,1352.5206949189871
404,1339.4856293381372,1339.4856293381372,1367.5008748534103,1355.0917844219377
405,1339.9578930905568,1339.9578930905568,1363.5113727453331,1357.278067156093
406,1341.9034871660858,1341.9034871660858,1359.3412547306416,1359.6768482349587
407,1344.2208326304929,1344.2208326304929,1356.305243170599,1362.5979149932846
408,1345.7970850299914,1345.7970850299914,1354.2248929646983,1365.4439396839011
409,1346.3508564103029,1346.3508564103029,1352.1161787865199,1366.8332128998834
410,1346.6913246773718,1346.6913246773718,1349.3562046693899,1365.6305656653622
411,1348.1354395815267,1348.1354395815267,1346.3173104762934,1362.0651390846397
412,1351.4809653471405,1351.4809653471405,1344.0439209854937,1357.738501058687
413,1356.258766676192,1356.258766676192,1343.3508201666307,1354.3947125253417
414,1360.8436528946481,1360.8436528946481,1344.1008505704756,1352.6366329445036
415,1363.5276953360794,1363.5276953360794,1345.1899477723232,1351.6715032887303
416,1363.8503076603256,1363.8503076603256,1345.266351697498,1350.1399015125369
417,1362.9375657896405,1362.9375657896405,1343.708939861817,1347.3070896949946
418,1362.3765743574243,1362.3765743574243,1341.1223870712777,1343.696794278799
419,1362.6677547169513,1362.6677547169513,1338.919481870408,1340.695390709858
420,1362.7382341401408,1362.7382341401408,1338.315674309379,1339.50613845593
421,1360.981328347959,1360.981328347959,1339.5093529249734,1340.29884178419
422,1356.8494544715343,1356.8494544715343,1341.5942102027946,1342.123021575083
423,1351.479929608017,1351.479929608017,1343.2138588664673,1343.5767444769122
424,1346.861430900711,1346.861430900711,1343.5068331470657,1343.7623902298192
425,1344.4333883354025,1344.4333883354025,1342.6786475221704,1342.8622957283676
426,1344.2220806657838,1344.2220806657838,1341.7602423704188,1341.8953595728783
427,1344.9833059582168,1344.9833059582168,1341.7314905352152,1341.8360407509306
428,1345.1968906354678,1345.1968906354678,1342.7158705218692,1342.8049365875256
429,1344.2410646118967,1344.2410646118967,1343.8858135453713,1343.9722167793843
430,1342.8361706353137,1342.8361706353137,1344.1377888862053,1344.2328753126376
431,1342.3582572141254,1342.3582572141254,1342.9991328759775,1343.1150696670725
432,1343.576388546741,1343.576388546741,1341.0318580719759,1341.1859399599907
433,1345.826313486535,1345.826313486535,1339.3765229639157,1339.5969790271047
434,1347.3196330790686,1347.3196330790686,1338.8272644841568,1339.1594505721382
435,1346.487366144881,1346.487366144881,1339.2647595160238,1339.7764483417407
436,1343.3177616751334,1343.3177616751334,1339.888219355934,1340.672898312968
437,1339.4537746011545,1339.4537746011545,1339.9172251892376,1341.0975240234122
438,1336.9404282293629,1336.9404282293629,1339.146934936858,1340.8882380546693
439,1336.7465239928172,1336.7465239928172,1338.046462863595,1340.5939573419862
440,1338.1862170365578,1338.1862170365578,1337.4033948778806,1341.1383031715084
441,1339.5594477534796,1339.5594477534796,1337.7361356007868,1343.2112448597936
442,1339.5280779866305,1339.5280779866305,1338.9304448166065,1346.8168179153326
443,1338.1737865706546,1338.1737865706546,1340.3956951446,1351.2908489820018
444,1336.8257015064464,1336.8257015064464,1341.5394173786112,1355.7005751057436
445,1336.812031204305,1336.812031204305,1342.1904668874313,1359.3955692454022
446,1338.2478310507838,1338.2478310507838,1342.7454148349277,1362.3604873526767
447,1339.872430502265,1339.872430502265,1343.9242558794062,1364.851288607497
448,1340.0840482676288,1340.0840482676288,1346.2878820672906,1366.4827345103631
449,1338.3541612087984,1338.3541612087984,1349.8693120917567,1365.9583352238294
450,1335.7869718512209,1335.7869718512209,1354.033542581594,1362.2039296860567
451,1334.280927510175,1334.280927510175,1357.6649904555352,1355.8914249520874
452,1335.0279366144189,1335.0279366144189,1359.9239743044723,1349.4273419994934
453,1337.6097006383318,1337.6097006383318,1360.973572496586,1345.141549207875
454,1340.3626837503177,1340.3626837503177,1361.5447908458034,1343.6023051661534
455,1341.7111574010949,1341.7111574010949,1361.7704821647321,1343.5929240415358
456,1341.4328652387617,1341.4328652387617,1360.8999013528237,1343.4224898880184
457,1340.7781876835588,1340.7781876835588,1358.3071699096945,1342.3197527746631
458,1341.2870568050498,1341.2870568050498,1354.569485575221,1340.8710479355227
459,1343.3756876885427,1343.3756876885427,1351.2066366098109,1340.2353385055312
460,1346.009422976689,1346.009422976689,1349.2409356676526,1340.875800905593
461,1347.777663937497,1347.777663937497,1348.244455174103,1342.0123807893915
462,1348.418741506459,1348.418741506459,1346.8975205415181,1342.2935232387351
463,1349.3369325418587,1349.3369325418587,1344.3836618749986,1341.033114020534
464,1352.4413275732595,1352.4413275732595,1341.2267514137357,1338.8669313305381
465,1358.1862360434864,1358.1862360434864,1338.7761126273615,1337.1826045334176
466,1364.5147432380297,1364.5147432380297,1337.9000631087813,1336.859393812072
467,1367.9271920872147,1367.9271920872147,1338.265443686357,1337.5930601945356
468,1366.3826747301816,1366.3826747301816,1338.7990643968062,1338.3589000765176
469,1361.3619615230923,1361.3619615230923,1338.6507907120144,1338.356462354525
470,1356.32750466445,1356.32750466445,1337.8117187877497,1337.6140297759553
471,1353.2400822696607,1353.2400822696607,1337.03612862705,1336.9072903338274
472,1351.2501812660105,1351.2501812660105,1337.0912956261195,1337.0136961466255
473,1348.5231552239113,1348.5231552239113,1337.9672308833642,1337.9288153408245
474,1344.7097632210798,1344.7097632210798,1338.8692413909437,1338.8627044482907
475,1341.3936272395672,1341.3936272395672,1338.947811335353,1338.970690935614
476,1340.2889196837111,1340.2889196837111,1338.0341504657042,1338.0893824945156
477,1341.2868878071456,1341.2868878071456,1336.7771395860575,1336.8748253848814
478,1342.3580178655263,1342.3580178655263,1336.05071041773,1336.2108714292083
479,1341.4358587234972,1341.4358587234972,1336.2373514231124,1336.4918042111256
480,1338.494441485066,1338.494441485066,1337.1032419697283,1337.4944079308643
481,1335.666970532853,1335.666970532853,1338.1156200697887,1338.693772012362
482,1335.2117172379894,1335.2117172379894,1338.8109459119985,1339.639603308798
483,1337.3866692451077,1337.3866692451077,1339.1425708346783,1340.3225487922412
484,1340.2493331178644,1340.2493331178644,1339.4753104136882,1341.177710217666
485,1341.5012436382988,1341.5012436382988,1340.157837414759,1342.6318697304037
486,1340.6429975544904,1340.6429975544904,1341.2868912047516,1344.8098300723213
487,1339.348665810745,1339.348665810745,1342.8021496259423,1347.5782357868363
488,1339.6929697321252,1339.6929697321252,1344.6609658387993,1350.7355756214797
489,1342.0950450817415,1342.0950450817415,1347.1331150048468,1354.3523930893116
490,1345.073088579685,1345.073088579685,1350.8617853263763,1358.7201694535497
491,1347.0078756700743,1347.0078756700743,1356.201822733794,1363.4510444687933
492,1348.1267372199459,1348.1267372199459,1362.1810900737873,1366.706311737232
493,1350.5403860159656,1350.5403860159656,1366.3068517800314,1366.1956063416437
494,1355.9309310841581,1355.9309310841581,1366.4658699693996,1361.7121902346719
495,1363.037442778411,1363.037442778411,1363.201338131734,1355.76926949234
496,1367.7935883182445,1367.7935883182445,1358.8039297771631,1350.895675229945
497,1366.8865754232966,1366.8865754232966,1354.5962036417834,1347.449419241105
498,1361.395985110544,1361.395985110544,1350.3605288870524,1344.3822829634857
