n,lambda_zeta,lambda_delta,abs_diff,rel_diff
100,116.33544062876071,116.33563531718647,0.00019468842576486622,1.6735091620629914e-06
101,118.03054611478318,118.0307427404202,0.00019662563701672298,1.6658877171127132e-06
102,119.73359962675669,119.7337981893165,0.00019856255981665072,1.6583695841069348e-06
103,121.44416419626313,121.44436469545447,0.00020049919133668936,1.6509578098184052e-06
104,123.16178056696005,123.16198300248877,0.00020243552872045711,1.6436554245040154e-06
105,124.88596950516354,124.88617387673268,0.00020437156913999388,1.6364654088027393e-06
106,126.6162342395657,126.61644054687544,0.00020630730973891787,1.6293906620897582e-06
107,128.3520630162284,128.3522712589761,0.00020824274767505813,1.6224339740353733e-06
108,130.09293175439743,130.09314193227752,0.00021017788009203286,1.6155979979667757e-06
109,131.83830678815795,131.83851890086214,0.0002121127041903037,1.6088852273499936e-06
110,133.58764767850994,133.587861725727,0.00021404721707085628,1.6022979728333802e-06
111,135.3404100800783,135.34062606149425,0.00021598141594836306,1.595838344368626e-06
112,137.0960486463938,137.0962665616917,0.000217915297895388,1.589508231980106e-06
113,138.8540199574841,138.85423980634425,0.00021984886015502525,1.5833092928986937e-06
114,140.61378545340466,140.61400723550452,0.00022178209985668218,1.5772429363277071e-06
115,142.374814357313,142.37503807232716,0.00022371501415818784,1.5713103133306867e-06
116,144.1365865717512,144.13681221935138,0.00022564760018894958,1.565512307151954e-06
117,145.8985955319469,145.89882311180205,0.00022757985513521817,1.559849526347125e-06
118,147.6603510001737,147.6605805119499,0.00022951177618324436,1.55432229863096e-06
119,149.42138178552514,149.42161322888558,0.0002314433604340138,1.5489306662029167e-06
120,151.181238373852,151.18147174845708,0.00023337460507377727,1.54367438436158e-06
121,152.93949545308743,152.9397307585947,0.0002353055072603638,1.5385529196579654e-06
122,154.69575431973612,154.6959915558003,0.0002372360641800242,1.533565450604985e-06
123,156.44964515293066,156.44988431920362,0.00023916627296216575,1.52871086878068e-06
124,158.2008291431544,158.20107023928517,0.00024109613076461756,1.5239877823045542e-06
125,159.94900046349622,159.94924348913096,0.00024302563474520866,1.5193945197592673e-06
126,161.69388807212934,161.69413302691143,0.00024495478209018984,1.5149291356078901e-06
127,163.43525733559548,163.43550421916544,0.00024688356995739014,1.5105894161529857e-06
128,165.17291146341603,165.1731602754115,0.0002488119954762169,1.5063728868842154e-06
129,166.9066927455454,166.90694348560126,0.0002507400558613426,1.5022768214789557e-06
130,168.63648358521792,168.63673625296613,0.00025266774821375293,1.4982982498331749e-06
131,170.36220732081557,170.36246191588535,0.000254595069776542,1.4944339697190252e-06
132,172.08382883149488,172.08408535351248,0.00025652201759385207,1.4906805557251947e-06
133,173.8013549224485,173.80161337103743,0.000258448588937199,1.4870343735382314e-06
134,175.51483448683908,175.51509486162004,0.0002603747809644119,1.4834915904725765e-06
135,177.22435844261943,177.22462074321018,0.0002623005907480547,1.4800481889343708e-06
136,178.93005944364035,178.93032366965588,0.0002642260155312215,1.476699981840937e-06
137,180.6321113656406,180.63237751669308,0.0002661510524717414,1.4734426257853508e-06
138,182.33072856890252,182.3309966446012,0.0002680756986990218,1.4702716366194764e-06
139,184.0261649405392,184.0264349404906,0.00026999995139931343,1.4671824057549278e-06
140,185.7187127205481,185.71898464435586,0.00027192380775886704,1.464170216213119e-06
141,187.40870111691336,187.40897496417827,0.00027384726490709,1.4612302591876598e-06
142,189.0964947161616,189.09677048648163,0.00027577032003023305,1.4583576519711323e-06
143,190.78249169686765,190.78276938983794,0.0002776929702861253,1.4555474552001805e-06
144,192.46712185465853,192.46740146987136,0.0002796152128325957,1.4527946910524648e-06
145,194.1508444482762,194.15112598532107,0.00028153704488431686,1.4500943618574952e-06
146,195.8341458772219,195.83442933568546,0.00028345846354227433,1.4474414677407096e-06
147,197.5175372024145,197.51782258188052,0.0002853794660211406,1.444831026465695e-06
148,199.20155152214855,199.201838822198,0.00028730004945032306,1.442258091139311e-06
149,200.88674121642748,200.88703043663853,0.00028922021104449414,1.4397177697899916e-06
150,202.57367507347223,202.57396621342016,0.0002911399479330612,1.4372052431169376e-06
151,204.26293531285947,204.2632283721168,0.0002930592573306967,1.434715783760927e-06
152,205.95511452032557,205.9554094984619,0.0002949781363383863,1.4322447734565733e-06
153,207.65081250977644,207.65110940635864,0.0002968965821992242,1.4297877220453734e-06
154,209.35063312847038,209.35093194306242,0.00029881459204261773,1.4273402835101377e-06
155,211.05518102168435,211.05548175384737,0.00030073216302639594,1.424898273383291e-06
156,212.76505837343697,212.76536102272928,0.0003026492923083879,1.4224576846504071e-06
157,214.4808616400175,214.48116620599464,0.00030456597713168776,1.4200147034231343e-06
158,216.2031782931623,216.20348477537692,0.0003064822146257029,1.4175657224156348e-06
159,217.93258358972483,217.9328919877268,0.0003083980019766841,1.4151073552051653e-06
160,219.6696373846052,219.66994769794152,0.0003103133363140387,1.4126364481165476e-06
161,221.41488100353754,221.4151932317524,0.0003122282148524391,1.4101500921586686e-06
162,223.16883419208224,223.169148334717,0.0003141426347497145,1.4076456324512174e-06
163,224.93199215683302,224.9323082134262,0.00031605659319211554,1.4051206774167822e-06
164,226.70482271443134,226.70514068451865,0.00031797008730904963,1.4025731058645389e-06
165,228.4877635634802,228.48808344659457,0.00031988311437203265,1.4000010739444272e-06
166,230.28121969387385,230.2815414895453,0.00032179567145362853,1.3974030182809095e-06
167,232.08556094740604,232.0858846551618,0.00032370775576850974,1.394777660648465e-06
168,233.90111974279668,233.90144536216118,0.00032561936450292706,1.3921240089016503e-06
169,235.7281889774827,235.72851650797747,0.0003275304947862878,1.3894413570435324e-06
170,237.5670201176622,237.56734955880606,0.0003294411438616862,1.3867292846394276e-06
171,239.41782148716388,239.41815283847274,0.0003313513088585296,1.3839876530506926e-06
172,241.2807567647389,241.28109002572586,0.0003332609869630687,1.3812166019025515e-06
173,243.15594369834977,243.15627886852513,0.00033517017536155436,1.3784165431602775e-06
174,245.04345304395983,245.04379012283107,0.0003370788712402373,1.3755881540722765e-06
175,246.94330773521634,246.9436467222881,0.00033898707175694653,1.372732368679631e-06
176,248.8554822892753,248.8558231840494,0.0003408947740979329,1.369850368422541e-06
177,250.7799024528411,250.78024525481652,0.0003428019754210254,1.3669435711080913e-06
178,252.71644509129595,252.71678979996892,0.0003447086729693183,1.3640136194729605e-06
179,254.66493832257945,254.6652849374433,0.00034661486384379714,1.361062367387011e-06
180,256.625161896251,256.6255104167962,0.00034852054523071274,1.358091866968265e-06
181,258.59684781693755,258.5971982426519,0.0003504257143731593,1.3551043538675614e-06
182,260.579681210138,260.58003354050646,0.0003523303684573875,1.352102231536846e-06
183,262.5733014271316,262.57365566163617,0.0003542345045843831,1.3490880552556446e-06
184,264.5773033845301,264.5776595226501,0.0003561381199688185,1.3460645165440217e-06
185,266.59123913282167,266.5915971740335,0.0003580412118253662,1.3430344259999562e-06
186,268.61461964709014,268.61497959086745,0.00035994377731185523,1.340000696107884e-06
187,270.64691683196173,270.6472786777754,0.0003618458136429581,1.3369663245327845e-06
188,272.68756573173334,272.68792947905126,0.0003637473179196604,1.3339343763019637e-06
189,274.73596693558517,274.7363325838725,0.0003656482873566347,1.3309079675118216e-06
190,276.7914891667753,276.79185671549453,0.0003675487192253968,1.3278902481135808e-06
191,278.8534720437609,278.85384149237154,0.00036944861062693235,1.3248843843298254e-06
192,280.92122900029926,280.921600348258,0.00037134795871907045,1.3218935430425405e-06
193,282.99405035074824,282.99442359750896,0.00037324676071648355,1.3189208757352826e-06
194,285.0712064860245,285.0715816310384,0.00037514501389068755,1.3159695029005986e-06
195,287.15195118498224,287.15232822769764,0.0003770427153995115,1.3130424983831015e-06
196,289.2355250253576,289.2359039652199,0.00037893986228709764,1.3101428749247711e-06
197,291.3211588778819,291.32153971433377,0.00038083645188180526,1.3072735717128156e-06
198,293.40807746670674,293.408460199188,0.00038273248128462,1.3044374394500063e-06
199,295.4955029789058,295.4958876068536,0.0003846279478239012,1.3016372294889314e-06
200,297.5826587055243,297.58304522837284,0.00038652284854379104,1.2988755804022785e-06
