n,a_zeta_W1,a_delta_W1,a_zeta_W2,a_delta_W2
70,2734.384197237379,2734.384197237379,2734.386859486665,2734.386859168299
71,2734.413489719866,2734.413489719866,2734.275732238793,2734.2757325611533
72,2734.43259788721,2734.43259788721,2734.1640554018127,2734.164055371863
73,2734.441693568855,2734.441693568855,2734.0560798270308,2734.0560795383813
74,2734.441062932845,2734.441062932845,2733.956495478733,2733.9564958190854
75,2734.4311180705854,2734.4311180705854,2733.8703189940447,2733.870318914987
76,2734.4124121694936,2734.4124121694936,2733.8027457564267,2733.802745502815
77,2734.3856585282497,2734.3856585282497,2733.758969810289,2733.7589701618917
78,2734.351753201934,2734.351753201934,2733.743978430877,2733.743978304761
79,2734.3118004262033,2734.3118004262033,2733.7623315554292,2733.7623313413633
80,2734.267139164149,2734.267139164149,2733.817939053494,2733.817939409358
81,2734.219368176354,2734.219368176354,2733.9138504452994,2733.913850275359
82,2734.1703660028375,2734.1703660028375,2734.0520717699937,2734.0520715988805
83,2734.1223012840082,2734.1223012840082,2734.2334226997095,2734.2334230528645
84,2734.0776281121307,2734.0776281121307,2734.4574438356467,2734.4574436262305
85,2734.0390608233774,2734.0390608233774,2734.722359859752,2734.722359733669
86,2734.009523071875,2734.009523071875,2735.0250995231495,2735.0250998669944
87,2733.992067414874,2733.992067414874,2735.3613690786055,2735.3613688349724
88,2733.989764142964,2733.989764142964,2735.725772357201,2735.725772276823
89,2734.0055617028256,2734.0055617028256,2736.1119686471766,2736.1119689757984
90,2734.0421255260394,2734.0421255260394,2736.512858920632,2736.512858648585
91,2734.101666842705,2734.101666842705,2736.9207915109373,2736.9207914756716
92,2734.185777297141,2734.185777297141,2737.327779578705,2737.327779887087
93,2734.29528790945,2734.29528790945,2737.725724044662,2737.725723750169
94,2734.4301712087367,2734.4301712087367,2738.106636625895,2738.1066366341643
95,2734.5895025852556,2734.5895025852556,2738.462857919166,2738.4628582032174
96,2734.7714910188397,2734.7714910188397,2738.787265152647,2738.78726484152
97,2734.9735809880954,2734.9735809880954,2739.073463577548,2739.0734636271404
98,2735.192617848455,2735.192617848455,2739.3159549862016,2739.315955242647
99,2735.4250599840907,2735.4250599840907,2739.5102770631806,2739.510276740903
100,2735.6672142825573,2735.6672142825573,2739.6531086180958,2739.653108706489
101,2735.9154682161998,2735.9154682161998,2739.7423383640553,2739.742338590212
102,2736.166492557905,2736.166492557905,2739.7770985908046,2739.7770982624934
103,2736.417393180925,2736.417393180925,2739.7577692753575,2739.7577693999356
104,2736.665797453715,2736.665797453715,2739.68596203782,2739.6859622313905
105,2736.9098690128762,2736.9098690128762,2739.5644959159267,2739.564495586414
106,2737.148252751648,2737.148252751648,2739.3973772703444,2739.397377428493
107,2737.3799586018713,2737.3799586018713,2739.1897935299985,2739.1897936888845
108,2737.6041975450266,2737.6041975450266,2738.9481245945817,2738.948124268553
109,2737.8201862479027,2737.8201862479027,2738.679966684292,2738.679966873356
110,2738.0269382016904,2738.0269382016904,2738.3941520523304,2738.394152174568
111,2738.2230599052477,2738.2230599052477,2738.1007358010834,2738.100735483234
112,2738.406571130062,2738.406571130062,2737.8109104567857,2737.810910673912
113,2738.574769081507,2738.574769081507,2737.536803117713,2737.5368032015595
114,2738.7241573937204,2738.7241573937204,2737.2911124553534,2737.291112150452
