n,a_zeta_W1,a_delta_W1,a_zeta_W2,a_delta_W2
48,2731.8453458080453,2731.8453458080453,2733.945726095677,2733.94572641902
49,2731.992774633786,2731.992774633786,2734.0631904369807,2734.0631900928706
50,2732.1414708473926,2732.1414708473926,2734.177146636704,2734.177146685151
51,2732.2909070575097,2732.2909070575097,2734.286763853449,2734.286764144354
52,2732.4405091326453,2732.4405091326453,2734.3911464519424,2734.3911460904233
53,2732.5896587111824,2732.5896587111824,2734.4893392394724,2734.4893393387943
54,2732.7376971028348,2732.7376971028348,2734.5803356344895,2734.5803358879334
55,2732.883930612398,2732.883930612398,2734.6630892156163,2734.6630888439126
56,2733.027637261275,2733.027637261275,2734.7365290999055,2734.736529247338
57,2733.168074819723,2733.168074819723,2734.799579583421,2734.7995797952276
58,2733.304489996471,2733.304489996471,2734.8511844398445,2734.851184065143
59,2733.436128566937,2733.436128566937,2734.890336207784,2734.890336399777
60,2733.5622461623443,2733.5622461623443,2734.9161106963224,2734.9161108631606
61,2733.682119395475,2733.682119395475,2734.9277067909957,2734.9277064203566
62,2733.7950569708846,2733.7950569708846,2734.924491435732,2734.924491668063
63,2733.9004104236506,2733.9004104236506,2734.906049386252,2734.9060495056133
64,2733.9975841557803,2733.9975841557803,2734.8722369619745,2734.872236602258
65,2734.086044495724,2734.086044495724,2734.823238554335,2734.823238822194
66,2734.1653275946896,2734.1653275946896,2734.7596240734565,2734.7596241436418
67,2734.235046091388,2734.235046091388,2734.68240483935,2734.68240449716
68,2734.2948946190413,2734.2948946190413,2734.5930846738333,2734.593084971871
69,2734.344654387489,2734.344654387489,2734.4937021793203,2734.4937021994465
