function,N,t,t_region,D_real,D_imag,D_magnitude
zeta,10000,91.0,peak_85.7,4.753841520069276,-2.271297952906673,5.268567508233391
zeta,10000,91.5,peak_85.7,2.572851557913409,-2.01437481005829,3.267609372990417
zeta,10000,92.0,peak_85.7,-0.992239776413355,-0.9421447835381247,1.368275033406999
zeta,10000,10.0,general,-7.107154432224395,-5.10509158108551,8.75063450126658
zeta,10000,20.0,general,4.931656212940302,-3.2368378990550775,5.899012848552881
zeta,10000,30.0,general,-0.5585799494958835,2.7203668789963675,2.777122164457167
zeta,10000,40.0,general,-1.1043520304715104,-2.668919865601846,2.8883778589739126
zeta,10000,50.0,general,1.8368922062620228,-0.23380132079167681,1.8517116500767863
zeta,10000,100.0,general,2.163638414046044,-0.8690390417342033,2.3316432065807113
zeta,10000,150.0,general,-0.5124909324820391,0.42763758048132083,0.6674734872009734
zeta,10000,200.0,general,5.037837366021542,-2.9658441610917445,5.846027447281176
zeta,100000,80.0,peak_85.7,-1.8585448441086554,-1.4040453842803147,2.329277222376444
zeta,100000,80.5,peak_85.7,2.1370678937872523,-1.5143933447058588,2.6192453846758386
zeta,100000,81.0,peak_85.7,5.770949954122505,-2.7045643336955387,6.373266949381968
zeta,100000,81.5,peak_85.7,6.679746053451329,-3.6617633871186697,7.617579565835948
zeta,100000,82.0,peak_85.7,5.084805121652264,-2.4728958271011354,5.65424238044986
zeta,100000,82.5,peak_85.7,3.1435373124669588,0.6841727138039791,3.217129020910708
zeta,100000,83.0,peak_85.7,2.107905117433734,3.4330894911510623,4.028568906988583
zeta,100000,83.5,peak_85.7,1.1248108399455894,3.907622770071759,4.066290095264034
zeta,100000,84.0,peak_85.7,-0.8670643240012591,2.674761074738921,2.8117872161481685
zeta,100000,84.5,peak_85.7,-3.0562562178733166,1.430340373825801,3.374400043605595
zeta,100000,85.0,peak_85.7,-3.5674075893704793,0.5563519782874845,3.610529660928226
zeta,100000,85.5,peak_85.7,-1.9771938315949742,-0.9320621159239344,2.185871733574003
zeta,100000,86.0,peak_85.7,0.13511397821888707,-3.1994105130160175,3.202262234406725
zeta,100000,86.5,peak_85.7,1.3561431361210796,-4.668646563132138,4.8616236934890225
zeta,100000,87.0,peak_85.7,2.072393869083496,-3.9223501119350854,4.436174787946485
zeta,100000,87.5,peak_85.7,3.210657158765488,-1.6333702803995407,3.6022517768785334
zeta,100000,88.0,peak_85.7,4.207472532075641,0.4182889324992961,4.228213658180297
zeta,100000,88.5,peak_85.7,3.5742973978490653,1.7802470449426264,3.9931042347148353
zeta,100000,89.0,peak_85.7,1.3755561421747333,3.4579485375215637,3.7215000723393996
zeta,100000,89.5,peak_85.7,-0.29697775842932167,5.497147035175441,5.505163150655923
zeta,100000,90.0,peak_85.7,0.008194312492173766,5.9099415986448,5.909947279472928
zeta,100000,90.5,peak_85.7,1.0399023524971986,3.085927172733802,3.256431086042823
zeta,100000,91.0,peak_85.7,0.6127598740226861,-1.5347152443059766,1.6525209663775682
zeta,100000,91.5,peak_85.7,-1.1357806105263675,-4.62098398314643,4.758517685975696
zeta,100000,92.0,peak_85.7,-1.7444607051874665,-4.695625484966574,5.0091957285587005
zeta,100000,10.0,general,29.091676387033814,-15.564804745130145,32.99376883234055
zeta,100000,20.0,general,-12.402830487924678,-10.292821669362015,16.117455817512955
zeta,100000,30.0,general,-1.910103054806898,9.80277314428489,9.9871344738266
zeta,100000,40.0,general,8.376156753232232,-3.274425886661863,8.99343465212036
zeta,100000,50.0,general,-4.369691611195307,-4.317802539450255,6.143095599665831
zeta,100000,100.0,general,5.840408159819346,0.28165671493690203,5.847195736278499
zeta,100000,150.0,general,-1.7573074908411734,1.1899771214711468,2.122304211698044
zeta,100000,200.0,general,4.902875500872474,-4.739390792352331,6.819091820740469
zeta,1000000,80.0,peak_85.7,-6.769357968928376,12.319720376887673,14.057016663438779
zeta,1000000,80.5,peak_85.7,2.6298880331360794,14.828509756590785,15.059914098962864
zeta,1000000,81.0,peak_85.7,11.427128310163503,10.508618498182583,15.524507211415292
zeta,1000000,81.5,peak_85.7,15.115927418673659,1.8648052558215176,15.230520686068143
zeta,1000000,82.0,peak_85.7,12.750622321392006,-6.400333206517921,14.26683688619296
zeta,1000000,82.5,peak_85.7,6.763998726959331,-11.10169271307434,12.999971533577886
zeta,1000000,83.0,peak_85.7,0.01911584716502087,-11.891384557226054,11.891399921937161
zeta,1000000,83.5,peak_85.7,-6.02650139350547,-9.50896592091482,11.257848459232466
zeta,1000000,84.0,peak_85.7,-10.340216841535435,-4.2222366763671415,11.16903607663763
zeta,1000000,84.5,peak_85.7,-11.071210399404707,3.218291142635577,11.529488175398487
zeta,1000000,85.0,peak_85.7,-6.790774013745166,10.05740795904501,12.135323092543459
zeta,1000000,85.5,peak_85.7,1.1383776102915042,12.626376912207183,12.67759036697162
zeta,1000000,86.0,peak_85.7,8.684566760294729,9.47736481051679,12.854654548669833
zeta,1000000,86.5,peak_85.7,12.259637847895934,2.716795385817465,12.557057670089817
zeta,1000000,87.0,peak_85.7,11.206013112620655,-4.152856965829354,11.950771977527788
zeta,1000000,87.5,peak_85.7,6.969228941542079,-8.975869119840986,11.363818834183459
zeta,1000000,88.0,peak_85.7,0.9067799733670374,-11.013522603972362,11.050788662729447
zeta,1000000,88.5,peak_85.7,-5.847002980631132,-9.410795305565902,11.07928301555523
zeta,1000000,89.0,peak_85.7,-10.883700157510397,-3.490383425053876,11.429685278802854
zeta,1000000,89.5,peak_85.7,-10.939408457392702,5.022217669492326,12.037164438414717
zeta,1000000,90.0,peak_85.7,-5.028771854128906,11.641030832774693,12.680778572725341
zeta,1000000,90.5,peak_85.7,3.633947305293043,12.486930846422162,13.004961167991846
zeta,1000000,91.0,peak_85.7,10.106700122218454,7.79284298834182,12.76220158128678
zeta,1000000,91.5,peak_85.7,11.98546558878807,1.146020089948284,12.040130706374747
zeta,1000000,92.0,peak_85.7,10.346662774274192,-4.419809449453961,11.25113977044254
zeta,1000000,10.0,general,-0.9525032124092535,99.7286935656849,99.73324211459251
zeta,1000000,20.0,general,-5.798780699137168,48.530497490219844,48.87571016614409
zeta,1000000,30.0,general,-7.010747018545194,32.02504330724679,32.78344052397602
zeta,1000000,40.0,general,-6.292068616029095,22.93170678652408,23.779262049355797
zeta,1000000,50.0,general,-7.217189778570057,19.01354259327891,20.337222776139505
zeta,1000000,100.0,general,-4.0845289292748665,7.332695235045752,8.393556813660462
zeta,1000000,150.0,general,-6.067506188958778,2.832382662749943,6.696045318044042
zeta,1000000,200.0,general,-0.39573461323971193,-2.8198757539042414,2.8475085867426277
L_chi4,10000,80.0,peak_85.7,0.3469727802262006,-0.030385568344920184,0.34830072205142365
L_chi4,10000,80.5,peak_85.7,0.05097069252061574,-0.10711416571177326,0.11862316802446467
L_chi4,10000,81.0,peak_85.7,0.47134697389011776,0.6941809265712064,0.8390799298104027
L_chi4,10000,81.5,peak_85.7,1.002029915683111,-0.06814653618817333,1.004344513759272
L_chi4,10000,82.0,peak_85.7,-0.116125889026544,0.23486926153721116,0.2620091451023039
L_chi4,10000,82.5,peak_85.7,1.0645978887232967,1.6028474061911773,1.9241851449920007
L_chi4,10000,83.0,peak_85.7,2.2873440728576355,-0.142715848656742,2.2917920326885617
L_chi4,10000,83.5,peak_85.7,0.37038341401159214,-0.7473484641132753,0.8340944791732852
L_chi4,10000,84.0,peak_85.7,0.6139435753839962,0.9175080883021062,1.1039691145385682
L_chi4,10000,84.5,peak_85.7,1.516608421075861,-0.10675569709149944,1.5203611024160373
L_chi4,10000,85.0,peak_85.7,-0.10041278518468717,0.20915518008757064,0.23200994975649264
L_chi4,10000,85.5,peak_85.7,1.518316683606501,2.188407615401393,2.6635340138366277
L_chi4,10000,86.0,peak_85.7,3.4604726677611586,-0.31761030920679095,3.4750176104354438
L_chi4,10000,86.5,peak_85.7,0.7240116344224238,-1.6121899295075468,1.7672999789465789
L_chi4,10000,87.0,peak_85.7,0.6129867465096956,0.8292573665290428,1.031222833018754
L_chi4,10000,87.5,peak_85.7,2.451803078535324,-0.3102095433175059,2.471349488979765
L_chi4,10000,88.0,peak_85.7,0.5151570633635689,-1.2770825882478372,1.3770717981061011
L_chi4,10000,88.5,peak_85.7,0.6991133791614634,0.8653754803781389,1.1124901073547824
L_chi4,10000,89.0,peak_85.7,2.7011029731855625,-0.47211241153296024,2.742051677280236
L_chi4,10000,89.5,peak_85.7,0.7621628655356252,-2.210820520670386,2.3385079876320183
L_chi4,10000,90.0,peak_85.7,-0.5327171645129907,-0.589188584873928,0.7943115043309537
L_chi4,10000,90.5,peak_85.7,0.0796870693938364,-0.018874616638636182,0.08189188104954959
L_chi4,10000,91.0,peak_85.7,-0.11838677641922898,0.4310706574829363,0.4470316997414249
L_chi4,10000,91.5,peak_85.7,0.9748560318262595,0.9405737541967648,1.3546303074536008
L_chi4,10000,92.0,peak_85.7,1.1194763078567547,-0.3526407269351129,1.1737046843844137
L_chi4,10000,10.0,general,0.07006574387754144,0.25541319026404075,0.26484921413130214
L_chi4,10000,20.0,general,0.003124339637464747,1.2454778624782692,1.2454817812483683
L_chi4,10000,30.0,general,-0.6790479241151388,0.6763865318243468,0.9584387427887332
L_chi4,10000,40.0,general,0.21204175513804843,1.7301629917666015,1.7431080528758913
L_chi4,10000,50.0,general,3.6294107534963573,-3.2081744186697194,4.844069107496485
L_chi4,10000,100.0,general,0.21061517047462977,0.544845298707942,0.584136242291303
L_chi4,10000,150.0,general,3.450792183504709,-2.0163926710568636,3.9967244210264274
L_chi4,10000,200.0,general,0.11163960340720219,-0.4545141215762426,0.4680240247691787
L_chi4,100000,80.0,peak_85.7,0.3470050445662144,-0.030388856320107994,0.3483331502209409
L_chi4,100000,80.5,peak_85.7,0.05097145234607984,-0.10708095377802195,0.11859350579302208
L_chi4,100000,81.0,peak_85.7,0.471314196027478,0.6941790907424701,0.8390599986896469
L_chi4,100000,81.5,peak_85.7,1.002035247456585,-0.06817800727219936,1.0043519690930007
L_chi4,100000,82.0,peak_85.7,-0.11609557928121308,0.2348789427253608,0.26200439168919243
L_chi4,100000,82.5,peak_85.7,1.0645839352738997,1.602877213330292,1.924202254508799
L_chi4,100000,83.0,peak_85.7,2.2873146180228403,-0.14273306302346578,2.291763707082611
L_chi4,100000,83.5,peak_85.7,0.3704028351291738,-0.7473766905985377,0.8341283941466998
L_chi4,100000,84.0,peak_85.7,0.6139691858628745,0.9175295250783668,1.1040011732691475
L_chi4,100000,84.5,peak_85.7,1.5165842814082873,-0.10673355288559096,1.5203354675617722
L_chi4,100000,85.0,peak_85.7,-0.10043169424389449,0.20912767161123594,0.23199333663326638
L_chi4,100000,85.5,peak_85.7,1.5183472825077837,2.188391136491959,2.663537917240027
L_chi4,100000,86.0,peak_85.7,3.4604870353860546,-0.31757786292567586,3.4750289525549864
L_chi4,100000,86.5,peak_85.7,0.7239786321268783,-1.6121783953524522,1.7672759372032183
L_chi4,100000,87.0,peak_85.7,0.6129792946210887,0.8292241973706317,1.0311917305424514
L_chi4,100000,87.5,peak_85.7,2.4518369653741314,-0.31021222178537666,2.471383444008649
L_chi4,100000,88.0,peak_85.7,0.5151554130294076,-1.2770474123384374,1.37703855898584
L_chi4,100000,88.5,peak_85.7,0.6990772856961032,0.8653705712138785,1.1124636069999168
L_chi4,100000,89.0,peak_85.7,2.7011105452796906,-0.47214806847431673,2.7420652757338178
L_chi4,100000,89.5,peak_85.7,0.7621966883064674,-2.2108098131348126,2.3385088884839695
L_chi4,100000,90.0,peak_85.7,-0.5327320369444846,-0.5891570433902045,0.7942980831925172
L_chi4,100000,90.5,peak_85.7,0.07965724569571114,-0.01889412236775829,0.08186736011301887
L_chi4,100000,91.0,peak_85.7,-0.118363342367961,0.43104191723914836,0.4469977798979722
L_chi4,100000,91.5,peak_85.7,0.9748833876865712,0.9405997508708887,1.3546680445502592
L_chi4,100000,92.0,peak_85.7,1.119448636004449,-0.3526160538696829,1.1736708780994989
L_chi4,100000,10.0,general,0.07006216502447393,0.25541124963418826,0.2648463958743148
L_chi4,100000,20.0,general,0.0031317556785175936,1.245474539280268,1.24547847668638
L_chi4,100000,30.0,general,-0.6790494544384368,0.6763980531412729,0.9584479578289281
L_chi4,100000,40.0,general,0.2120291454744085,1.7301526919322157,1.7430962956563532
L_chi4,100000,50.0,general,3.629430384127711,-3.208179552173742,4.844087215587178
L_chi4,100000,100.0,general,0.21059292034732363,0.5448111231443257,0.5840963430823685
L_chi4,100000,150.0,general,3.450752962077748,-2.016349741711795,3.99666889874425
L_chi4,100000,200.0,general,0.11171032305022939,-0.4544751487492629,0.4680030524544164
L_chi4,1000000,80.0,peak_85.7,0.3470045303943247,-0.03038974362851699,0.3483327154201753
L_chi4,1000000,80.5,peak_85.7,0.05097142398147122,-0.10708200386897289,0.11859444175547867
L_chi4,1000000,81.0,peak_85.7,0.47131466738930183,0.6941781658310514,0.8390594982555474
L_chi4,1000000,81.5,peak_85.7,1.0020360982462082,-0.06817855031901854,1.00435285478366
L_chi4,1000000,82.0,peak_85.7,-0.11609457318121377,0.2348789354322302,0.26200393934425104
L_chi4,1000000,82.5,peak_85.7,1.0645848273965293,1.6028777492033033,1.9242031944714015
L_chi4,1000000,83.0,peak_85.7,2.28731515340673,-0.14273212645677194,2.291764183097145
L_chi4,1000000,83.5,peak_85.7,0.37040286334206374,-0.7473756075535827,0.8341274362698342
L_chi4,1000000,84.0,peak_85.7,0.613968690972681,0.9175304580225808,1.1040016734107945
L_chi4,1000000,84.5,peak_85.7,1.5165833887320483,-0.1067330274447889,1.5203345402001212
