class,j,k,M_jk,C_jk,diag,pred,resid
F5p,3,2,13.00689879228617,0.0007542025348878163,False,8.389517374187996,4.617381418098175
F5p,3,3,12.174452654880024,3.571354825080834e-05,True,8.38875602702054,3.785696627859485
F5p,3,4,7.421385985568952,4.252159177853357e-06,False,8.388722688945911,-0.9673367033769598
F5p,3,5,1.9017228708865712,5.874726097557076e-07,False,8.388718805659195,-6.486995934772624
F5p,3,6,0.0762444661494004,-1.616392608589064e-08,False,8.388718166015478,-8.312473699866077
F5p,3,7,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5p,4,0,1.9751475738295505,0.0007115296683319121,False,8.389472155866374,-6.414324582036823
F5p,4,1,4.259514571767117,-0.00014229019142725908,False,8.388567405280302,-4.129052833513185
F5p,4,2,7.864173345788738,8.979755268677084e-05,False,8.388813337159382,-0.5246399913706439
F5p,4,3,7.421385985568952,4.252159177853357e-06,False,8.388722688945911,-0.9673367033769598
F5p,4,4,5.473509695936574,5.062744689165208e-07,True,8.38871871961755,-2.9152090236809762
F5p,4,5,1.5006373950784018,6.994620169822121e-08,False,8.388718257262111,-6.88808086218371
F5p,4,6,0.0664561504978475,-1.9245241658313104e-09,False,8.388718181104265,-8.322262030606417
F5p,4,7,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5p,5,0,0.5145303635560281,9.830398479686855e-05,False,8.38882235100387,-7.874291987447842
F5p,5,1,1.0387914792139372,-1.9658622032727183e-05,False,8.388697351876193,-7.349905872662255
F5p,5,2,1.980184026611752,1.2406309458340842e-05,False,8.388731329494806,-6.408547302883054
F5p,5,3,1.9017228708865712,5.874726097557076e-07,False,8.388718805659195,-6.486995934772624
F5p,5,4,1.5006373950784018,6.994620169822121e-08,False,8.388718257262111,-6.88808086218371
F5p,5,5,0.5061072558886681,9.663673426942963e-09,True,8.388718193383705,-7.882610937495036
F5p,5,6,0.02665044449225108,-2.658896779140842e-10,False,8.388718182861838,-8.362067738369587
F5p,5,7,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5p,6,0,0.021573111747657768,-2.7047700910955753e-06,False,8.388715317032784,-8.367142205285125
F5p,6,1,0.03725303784107181,5.408941765295233e-07,False,8.388718756302337,-8.351465718461265
F5p,6,2,0.07685192347664489,-3.4135152133594267e-07,False,8.3887178214303,-8.311865897953655
F5p,6,3,0.0762444661494004,-1.616392608589064e-08,False,8.388718166015478,-8.312473699866077
F5p,6,4,0.0664561504978475,-1.9245241658313104e-09,False,8.388718181104265,-8.322262030606417
F5p,6,5,0.02665044449225108,-2.658896779140842e-10,False,8.388718182861838,-8.362067738369587
F5p,6,6,0.0021490266057811454,7.315781245685167e-12,True,8.38871818315134,-8.386569156545558
F5p,6,7,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5p,7,0,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5p,7,1,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5p,7,2,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5p,7,3,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5p,7,4,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5p,7,5,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5p,7,6,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5p,7,7,0.0,0.0,True,8.388718183143588,-8.388718183143588
F5m,0,0,1.0,1.0,True,9.44836861845645,-8.44836861845645
F5m,0,1,1.8875609279052767,-0.21879752587632215,False,8.156869289603366,-6.269308361698089
F5m,0,2,3.653496270802785,0.12589127568498246,False,8.522118928225272,-4.8686226574224865
F5m,0,3,3.1829138695596053,0.004798282645129751,False,8.393802685437254,-5.210888815877649
F5m,0,4,1.941317106253115,0.0006049195815634085,False,8.38935918644152,-6.448042080188406
F5m,0,5,0.5037065539799065,9.976621695022994e-05,False,8.388823900458808,-7.885117346478902
F5m,0,6,0.021081337417242618,-3.144572140900842e-06,False,8.388714850996351,-8.367633513579108
F5m,0,7,0.0,0.0,False,8.388718183143588,-8.388718183143588
F5m,1,0,1.8875609279052767,-0.21879752587632215,False,8.156869289603366,-6.269308361698089
F5m,1,1,4.617712938796228,0.04787235732959986,True,8.439446147427352,-3.821733208631124
F5m,1,2,7.407145460517358,-0.027544699649288153,False,8.359530430169658,-0.9523849696522992
