Lag,Riemann_zeta_ACF,L_chi5_ACF,Validated_L_DH_ACF
383,0.99617,-0.249025,0.00147
384,0.99616,-0.2490375,-0.00292
385,0.99615,0.99615,0.03327
386,0.99614,-0.2490375,0.00658
387,0.99613,-0.24905,0.00381
388,0.99612,-0.2490125,-0.00254
389,0.99611,-0.249025,0.00029
390,0.9961,0.9961,0.01334
391,0.99609,-0.249025,0.00325
392,0.99608,-0.2490375,-0.00068
393,0.99607,-0.249,0.00123
394,0.99606,-0.2490125,0.00296
395,0.99605,0.99605,-0.00109
396,0.99604,-0.2490125,-0.0023
397,0.99603,-0.249025,0.00053
398,0.99602,-0.2489875,0.00384
399,0.99601,-0.249,0.00329
400,0.996,0.996,-0.00128
401,0.99599,-0.249,-0.00119
402,0.99598,-0.2490125,0.00134
403,0.99597,-0.248975,0.00051
404,0.99596,-0.2489875,-0.00114
405,0.99595,0.99595,-0.00517
406,0.99594,-0.2489875,-0.0032
407,0.99593,-0.249,0.00155
408,0.99592,-0.2489625,-0.00402
409,0.99591,-0.248975,-0.00127
410,0.9959,0.9959,-0.00692
411,0.99589,-0.248975,0.00119
412,0.99588,-0.2489875,-0.00316
413,0.99587,-0.24895,-0.00285
414,0.99586,-0.2489625,-0.00632
415,0.99585,0.99585,0.00655
416,0.99584,-0.2489625,0.00584
417,0.99583,-0.248975,-0.00185
418,0.99582,-0.2489375,0.00172
419,0.99581,-0.24895,-0.00415
420,0.9958,0.9958,0.03782
421,0.99579,-0.24895,0.00151
422,0.99578,-0.2489625,-0.00232
423,0.99577,-0.248925,0.00987
424,0.99576,-0.2489375,-0.00132
425,0.99575,0.99575,0.00625
426,0.99574,-0.2489375,-0.0016
427,0.99573,-0.24895,-0.00697
428,0.99572,-0.2489125,0.0025
429,0.99571,-0.248925,0.00367
430,0.9957,0.9957,-0.0005
431,0.99569,-0.248925,-0.00045
432,0.99568,-0.2489375,-0.0017
433,0.99567,-0.2489,-0.00115
434,0.99566,-0.2489125,0.00046
435,0.99565,0.99565,-0.00601
436,0.99564,-0.2489125,0.00042
437,0.99563,-0.248925,-0.00153
438,0.99562,-0.2488875,0.0011
439,0.99561,-0.2489,0.00361
440,0.9956,0.9956,-0.0093
441,0.99559,-0.2489,0.00101
442,0.99558,-0.2489125,-0.00064
443,0.99557,-0.248875,-0.00249
444,0.99556,-0.2488875,-0.00176
445,0.99555,0.99555,0.00103
446,0.99554,-0.2488875,0.00192
447,0.99553,-0.2489,0.00035
448,0.99552,-0.2488625,0.0005
449,0.99551,-0.248875,-0.00157
450,0.9955,0.9955,0.00378
451,0.99549,-0.248875,-0.00503
452,0.99548,-0.2488875,0.00072
453,0.99547,-0.24885,-0.00303
454,0.99546,-0.2488625,0.0
455,0.99545,0.99545,0.02841
456,0.99544,-0.2488625,-0.00224
457,0.99543,-0.248875,0.00115
458,0.99542,-0.2488375,0.00502
459,0.99541,-0.24885,-0.00089
460,0.9954,0.9954,-0.00162
461,0.99539,-0.24885,-0.00407
462,0.99538,-0.2488625,-0.00012
463,0.99537,-0.248825,-0.00277
464,0.99536,-0.2488375,0.0021
465,0.99535,0.99535,-0.00409
466,0.99534,-0.2488375,0.00356
467,0.99533,-0.24885,-0.00723
468,0.99532,-0.2488125,-0.00136
469,0.99531,-0.248825,-0.00063
470,0.9953,0.9953,-0.00506
471,0.99529,-0.248825,0.00113
472,0.99528,-0.2488375,0.00178
473,0.99527,-0.2488,0.00159
474,0.99526,-0.2488125,0.00446
475,0.99525,0.99525,0.00495
476,0.99524,-0.2488125,0.00442
477,0.99523,-0.248825,0.00343
478,0.99522,-0.2487875,0.00332
479,0.99521,-0.2488,0.00073
480,0.9952,0.9952,0.00318
481,0.99519,-0.2488,-0.00069
482,0.99518,-0.2488125,-0.00368
483,0.99517,-0.248775,0.00475
484,0.99516,-0.2487875,-0.00128
485,0.99515,0.99515,0.00145
486,0.99514,-0.2487875,-0.00342
487,0.99513,-0.2488,-0.00405
488,0.99512,-0.2487625,0.00078
489,0.99511,-0.248775,0.00095
490,0.9951,0.9951,-0.01652
491,0.99509,-0.248775,-0.00061
492,0.99508,-0.2487875,0.00176
493,0.99507,-0.24875,0.00191
494,0.99506,-0.2487625,0.00834
495,0.99505,0.99505,-0.01543
496,0.99504,-0.2487625,0.0037
497,0.99503,-0.248775,-0.00545
498,0.99502,-0.2487375,-0.00568
499,0.99501,-0.24875,0.00157
500,0.995,0.995,0.0023
