function,GRH_label,t,log_cond,absSk_0,logSk_norm_0,absSk_1,logSk_norm_1,absSk_2,logSk_norm_2,absSk_3,logSk_norm_3,absSk_4,logSk_norm_4,absSk_5,logSk_norm_5,absSk_6,logSk_norm_6,absSk_7,logSk_norm_7,pc1_frac,entropy,ratio_21
F5p,0,70748.02000009821,23.943197570933172,1.0,-11.971598785465586,1.3751144839672194,-11.653061796746266,4.629467615495884,-10.439156909833628,4.360122923811805,-10.499098534968027,1.2750865121237591,-11.728584756511214,0.2769159094979356,-13.255640180165967,0.01459255732138933,-16.198842438151665,0.0,-39.60261990139513,0.9027370634073856,0.433296017311361,0.05961153363494299
F5p,0,70933.69000009852,23.948439464365606,1.0,-11.974219732181803,2.6838584355934914,-10.986964258281626,3.838886520164327,-10.629037376339168,4.014180034154753,-10.584386631255974,1.5019750311585456,-11.5674388027077,0.2813493791866246,-13.242377771836427,0.006770724649883217,-16.969366891433786,0.0,-39.60524084811135,0.9027370634073856,0.433296017311361,0.05961153363494299
F5p,0,71164.90000009889,23.95494790907409,1.0,-11.977473954536045,1.9150603643474897,-11.327724810548242,3.2752020906601733,-10.79109438028152,3.1443376629525184,-10.831870686578718,2.703392174585956,-10.98296660912965,0.7231648671704773,-12.301592005306704,0.060424231184957294,-14.783839030453569,0.0,-39.608495070465594,0.9027370634073856,0.433296017311361,0.05961153363494299
F5p,0,71305.75000009913,23.958902409060943,1.0,-11.979451204529472,2.4141346681301057,-11.098110297109926,3.3928562939053877,-10.757779073322231,3.1386956510981823,-10.835643888650965,2.8029162249891177,-10.948790820418397,1.186370066215497,-11.80855292377548,0.10975090237267396,-14.18899320950754,0.0,-39.61047232045902,0.9027370634073856,0.433296017311361,0.05961153363494299
F5p,0,71400.25000009927,23.961551211881094,1.0,-11.980775605939547,2.334853238694971,-11.132826569601871,3.2409497041840134,-10.804909200511544,4.1581029740161375,-10.555716651535494,2.0218336167336726,-11.276770775209354,0.30114942547486057,-13.18092431320213,0.013874006772563428,-16.258513811739753,0.0,-39.6117967218691,0.9027370634073856,0.433296017311361,0.05961153363494299
F5p,0,71785.90000009991,23.972324626279654,1.0,-11.986162313138827,1.9227086722358138,-11.332427354506654,4.911419408166145,-10.39459932794404,2.9959859593121925,-10.888888933973409,1.4262872557159774,-11.631087569837598,0.0956222341148324,-14.333512224672456,0.009503113103594698,-16.642298151975325,0.0,-39.617183429068376,0.9027370634073856,0.433296017311361,0.05961153363494299
F5p,0,72157.6000001005,23.982653701956675,1.0,-11.991326850977337,2.692878511680907,-11.000716150798524,3.7458557229787517,-10.670676762652846,3.896790505597121,-10.631173583932277,1.987742391284386,-11.304327332988805,0.4525841639315936,-12.78410838647482,0.02468535284955706,-15.69287206422351,0.0,-39.62234796690689,0.9027370634073856,0.433296017311361,0.05961153363494299
F5p,0,72406.8100001009,23.989549181884588,1.0,-11.994774590941294,1.9954432711403178,-11.303908374232963,4.2737137289124165,-10.542291415953196,3.4134247889927862,-10.767058466707462,2.6270660232434375,-11.028906947991162,0.9595304512531533,-12.03608581839439,0.09379692049848179,-14.361397844947113,0.0,-39.62579570687084,0.9027370634073856,0.433296017311361,0.05961153363494299
F5p,0,72483.76000010103,23.991673543938926,1.0,-11.995836771968463,2.7879952154874887,-10.970513995181522,3.766200180947116,-10.669770188354786,3.9366428899671413,-10.625508470251416,1.4100240195328593,-11.652230032594085,0.1724421391718728,-13.753530295832558,0.03720064502452639,-15.287265950426955,0.0,-39.62685788789801,0.9027370634073856,0.433296017311361,0.05961153363494299
F5p,0,72809.83000010156,24.00065041752072,1.0,-12.00032520875936,2.3930963558969265,-11.127737134912245,4.227424489183081,-10.55873226894263,3.8937202569698126,-10.64096014389509,2.734529998857227,-10.994365634506346,0.6481351031883326,-12.433981320545648,0.051549414102028616,-14.96553964294977,0.0,-39.631346324688906,0.9027370634073856,0.433296017311361,0.05961153363494299
F5p,0,73847.71000010324,24.02895846979113,1.0,-12.014479234894566,1.1637866730767203,-11.862800172934206,4.917447604773209,-10.421689618521437,3.9589161049895076,-10.638508957955814,1.7147278570157751,-11.475224850824526,0.3052102865247466,-13.201233510822576,0.003341805620634619,-17.71572324768366,0.0,-39.645500350824115,0.9027370634073856,0.433296017311361,0.05961153363494299
F5p,0,73907.38000010332,24.030573845701195,1.0,-12.015286922849597,0.8654709882450602,-12.159768348002364,4.628029665606093,-10.48315570351225,2.5093933040531833,-11.095245910456043,2.8534530147822457,-10.96675707781132,1.009614972822021,-12.005717879705061,0.07737594615298414,-14.574366242741391,0.0,-39.646308038779146,0.9027370634073856,0.433296017311361,0.05961153363494299
F5p,0,74002.15000010349,24.033136764073497,1.0,-12.016568382035748,2.993983862578289,-10.919963485973915,3.3470175698961486,-10.808498710374923,3.033553831668587,-10.906833568064767,2.057155616042559,-11.295244122285943,0.3577292744973505,-13.044547177179158,0.01884713090111592,-15.987962965493795,0.0,-39.6475894979653,0.9027370634073856,0.433296017311361,0.05961153363494299
F5p,0,74233.45000010385,24.039378184831158,1.0,-12.019689092414579,2.2232780691942744,-11.220706377898992,3.2249496849160018,-10.848771743865672,3.472538821695283,-10.77480311707756,2.128514676152095,-11.264264691084877,0.49107082200248237,-12.730856013671874,0.0274133746728988,-15.616413350314188,0.0,-39.65071020834412,0.9027370634073856,0.433296017311361,0.05961153363494299
F5p,0,74373.85000010408,24.04315727352393,1.0,-12.021578636760966,1.436228032126102,-11.65955838199691,5.40133111729979,-10.33493321036481,3.507735792966416,-10.766607880662102,2.023412054243178,-11.316793414569787,0.27298995783225266,-13.31989890572929,0.012143084403403781,-16.43257409282745,0.0,-39.65259975269051,0.9027370634073856,0.433296017311361,0.05961153363494299
