function,name,d,q,GRH,t,|M|,log_abs_S0_norm,log_abs_S0,abs_S0,log_abs_S1_norm,log_abs_S1,abs_S1,log_abs_S2_norm,log_abs_S2,abs_S2,log_abs_S3_norm,log_abs_S3,abs_S3,log_abs_S4_norm,log_abs_S4,abs_S4,log_abs_S5_norm,log_abs_S5,abs_S5,log_abs_S6_norm,log_abs_S6,abs_S6,log_abs_S7_norm,log_abs_S7,abs_S7
F1,zeta,1,1,True,89259.90000028834,11.862906401967654,0.0,0.0,1.0,0.582408237707981,1.417321091782582,4.126052306184457,0.7553334868980073,1.8381437847158357,6.284861371232629,0.687721548181498,1.6736065742252315,5.331361114896513,0.628695531033379,1.5299636556477374,4.618008980704606,0.2692082380435324,0.6551324125536077,1.9253974472907351,-0.6431833028304239,-1.5652204106374912,0.20904193302947113,-2.1373275187745784,-5.201298979437548,0.00550940316917853
F1,zeta,1,1,True,57551.900000172995,11.853035032007321,0.0,0.0,1.0,0.6416097888156106,1.5362016004114838,4.646905900637007,0.8224780791581433,1.9692532182815747,7.165323557220697,0.7561372496368202,1.8104138578793438,6.112976812412612,0.49547074488251136,1.1863019618990343,3.274947904373056,0.2799985949334424,0.670398577371667,1.9550163906603395,-0.3297314725201275,-0.7894736405541743,0.454083743658142,-2.072030441698991,-4.9610472535263455,0.00700558736351968
F1,zeta,1,1,True,86948.90000027994,11.820244299156258,0.0,0.0,1.0,0.6466473356666872,1.5721605563627559,4.817044454923706,0.8565440804664514,2.0824717644695836,8.024278548445745,0.7055206007928734,1.7152961113252614,5.558321150545459,0.46996914103177145,1.1426119083535256,3.1349458723994688,0.10758227625401982,0.2615592796279185,1.2989539407959432,-0.5885393329058821,-1.4308855446048097,0.23909709732282927,-2.597234645463543,-6.3145236050602085,0.0018098277480428481
F1,zeta,1,1,True,73234.30000023005,11.794641107480372,0.0,0.0,1.0,0.571941077343526,1.381832796083897,3.982193491840505,0.8434662651909985,2.0378486417601116,7.674081728039082,0.7364467554962273,1.7792851739918571,5.925619117645475,0.41681788007387793,1.0070488718093975,2.7375103386448285,0.3507998032369219,0.8475465256386935,2.333913624399598,-0.33327790846342703,-0.8052129185475498,0.446992743380898,-2.1443242544748897,-5.18077420498305,0.005623650870053024
F1,zeta,1,1,True,66725.70000020636,11.777090944857672,0.0,0.0,1.0,0.6239563867927987,1.5022977144085121,4.491998551475394,0.8582383446878117,2.0663776041616195,7.896168202623871,0.7442404527007583,1.7919052592917692,6.000874804149612,0.43249252663153964,1.0413108159642661,2.8329280288775194,0.15003016943238495,0.36122713927029715,1.4350893890182475,-0.30967285639887965,-0.7455983049932,0.4744503489909208,-2.0359701525324247,-4.90199855550018,0.007431715523128801
F1,zeta,1,1,True,52656.90000015518,11.734993508009042,0.0,0.0,1.0,0.6554402711616745,1.563978489094054,4.777791875762863,0.8609142158752333,2.0542700438557833,7.801141302739909,0.7513413070665406,1.7928126999844165,6.006322713591899,0.4421551712113461,1.0550483500054415,2.8721140172726605,0.14116943453417308,0.3368513785973302,1.400530899403329,-0.6902246590316269,-1.6469792395491487,0.19263092249936598,-2.4741468690161272,-5.903684366452595,0.0027293702707392132
F1,zeta,1,1,True,91707.60000029724,11.731457402925015,0.0,0.0,1.0,0.6190525419624535,1.5079643335992727,4.517525253415216,0.8363235840234309,2.03721986514634,7.669257961611006,0.6868335298079586,1.6730736017772667,5.32852040338985,0.5357021649348066,1.3049292320046704,3.687428132574413,0.10741500743826912,0.2616546886258237,1.2990778786020565,-0.8336006011344778,-2.0305868884614764,0.13125846446060133,-2.6498008353655673,-6.454710836346401,0.0015730940974086
F1,zeta,1,1,True,51106.800000149546,11.720513410480333,0.0,0.0,1.0,0.6693321125844123,1.5952843533607786,4.929730658317234,0.8771851558467969,2.0906807365323474,8.090420735127319,0.69870850107975,1.6652999585345847,5.287258970376381,0.3066966756521715,0.7309800302371884,2.077115246255063,0.2175711957848377,0.5185586017042824,1.6796049243867888,-0.6577764605965107,-1.5677426435539643,0.2085153449531153,-2.2479106128996635,-5.357664096925005,0.004711899803720681
F1,zeta,1,1,True,97735.70000031918,11.691036511609616,0.0,0.0,1.0,0.6546560763802454,1.5983290770084453,4.944763199182504,0.8414120167316841,2.0542897875821944,7.801295327859992,0.7523841568563736,1.836930135336498,6.2772383798852545,0.4152498247047805,1.0138237358432594,2.756119565292244,-0.2789171671680438,-0.6809704124743721,0.5061256033800317,-0.9624278598191772,-2.3497474297916976,0.0953932526668531,-2.1636897558222254,-5.282603148629877,0.005079191677626674
F1,zeta,1,1,True,60652.00000018427,11.669438341021019,0.0,0.0,1.0,0.6872035847369302,1.6486481498238756,5.199945526315096,0.9037001234361283,2.1680380742904974,8.741117783077595,0.7555438890381831,1.8126011889917262,6.126362550967962,0.26886040047877047,0.6450143911573379,1.9060144588285162,-0.6056644241707303,-1.45303015656629,0.2338605792026386,-1.0966872909847625,-2.631027418038762,0.07200444555600423,-3.012974755465064,-7.228331409192339,0.0007257308011670627
F1,zeta,1,1,True,40800.600000112056,11.656076609462412,0.0,0.0,1.0,0.639168804853944,1.5099755034738598,4.526619906493209,0.8585821958289842,2.028318768962466,7.601296075194687,0.7906237197343028,1.8677733334263382,6.473865199272298,0.5421306983104727,1.2807322070686002,3.5992741749630857,0.10282273977365146,0.24290894217492254,1.2749525244286957,-0.3527363200849684,-0.8333060037802158,0.43461008604420553,-2.159530883550116,-5.101686296941646,0.006086474303904063
F1,zeta,1,1,True,30775.00000007558,11.653806428101621,0.0,0.0,1.0,0.6472936374300318,1.5117437677271068,4.534631247658538,0.9234841309944084,2.1567821756576224,8.64328030470263,0.8458100618772417,1.9753756499143904,7.209327328413494,0.18111818969869967,0.42299858776013627,1.5265321401353928,-0.018460026634377503,-0.04311309211596126,0.957803063966554,-0.6815917659245927,-1.591846489271254,0.203549412710631,-2.3275788889464213,-5.4360226577049975,0.004356777250330154
F1,zeta,1,1,True,45079.00000012762,11.652787955186156,0.0,0.0,1.0,0.661367972293099,1.5686021220301603,4.799933780215094,0.8957010376496519,2.124382502966452,8.367728844741357,0.7702076098738163,1.8267429658907488,6.213615706555668,0.2787553563660065,0.6611391265393968,1.9369975634773924,0.027173175813453618,0.06444808794640619,1.0665702089576456,-0.7482045477298226,-1.7745571156286584,0.16955852769470695,-2.693741637257953,-6.388892455365597,0.0016801159747411396
F1,zeta,1,1,True,79851.10000025411,11.638332436361937,0.0,0.0,1.0,0.6358335697098844,1.5410908260825305,4.669681303930979,0.812455802164606,1.969175965158125,7.164770034976311,0.7166723130794477,1.737022358693677,5.680404009823928,0.4895126332261515,1.186447938979585,3.2754260066022267,0.1828970979422481,0.4432937378322491,1.5578298607083856,-0.6288019635852619,-1.524048090046706,0.21782831114336437,-2.357921518034568,-5.714972271318844,0.003296241920828414
F1,zeta,1,1,True,84700.80000027176,11.631953467280296,0.0,0.0,1.0,0.6015104654888677,1.4610345413263286,4.310416526503652,0.8104734290615601,1.9685936365608392,7.160598999066581,0.6353347482444519,1.5431917909118917,4.6795024534471334,0.5717191039266764,1.3886730268178025,4.009525987870397,0.25019970923502455,0.607720793561056,1.8362414523773327,-0.5840655773837635,-1.4186619051820593,0.24203766966122167,-2.379107369734995,-5.778715823143375,0.0030926844129873063
F1,zeta,1,1,True,41452.800000114425,11.605183918539018,0.0,0.0,1.0,0.6626515839682702,1.5664404525212667,4.789569116242746,0.8904019330233547,2.104818943521457,8.205617194938092,0.7517492266003334,1.7770581512029169,5.912437312370344,0.2896491204330107,0.6847008446978943,1.9831784684332738,0.0014281529801988626,0.0033760073237513338,1.0033817124548579,-0.8151608447702473,-1.9269567197181352,0.1455905979653847,-2.6063926151740637,-6.161245104270125,0.0021096249327820765
F1,zeta,1,1,True,54624.10000016234,11.590884369528432,0.0,0.0,1.0,0.6787354427318004,1.621850280743975,5.062448607336906,0.9010574553791221,2.1530926410609434,8.611449379747704,0.7051796115676713,1.6850390873839804,5.392661713269106,0.31336609822593625,0.7487938044576301,2.114448040030236,-0.1547717762565464,-0.36982988211522005,0.6908518468961529,-0.9909561269016269,-2.367907098164369,0.09367657713850519,-2.153990581814978,-5.146998388320386,0.005816838439333226
F1,zeta,1,1,True,81229.50000025913,11.583196253177032,0.0,0.0,1.0,0.4977617354601787,1.2071956992321464,3.344093646719643,0.7458533959687906,1.8088795255400807,6.103604666232288,0.6973055222129082,1.6911388873393864,5.425656399134662,0.6024539097282027,1.46110019513073,4.310699531037233,0.35616298162202276,0.8637835916461297,2.3721188651094343,-0.4137557767390766,-1.0034604081209624,0.36660862819954587,-2.0711560291818953,-5.023067208160557,0.006584300286277399
