t,function,GRH_label,feat_xi,feat_A_log_peak,feat_B_curvature,feat_C_roughness
98800.75000014358,F10,1,0.32653149062991005,1.8622748568686969,2.8609382045183738,6.691754787681837
99109.72000014408,F10,1,0.32653149062991005,1.9157904594638033,2.1103152668317033,5.377475210771662
99180.82000014419,F10,1,0.32653149062991005,1.8139077863748974,2.004399423978842,4.751803534389358
99362.08000014449,F10,1,0.32653149062991005,1.8366634914953162,2.8435162198539805,6.5004936125678405
99472.15000014467,F10,1,0.32653149062991005,1.8320873333947205,2.5671411406731357,6.062479709137876
99878.50000014532,F10,1,0.32653149062991005,1.911079956764525,2.7164971811835374,6.434439857491203
99933.04000014541,F10,1,0.32653149062991005,1.8508091562625881,2.514347578799165,5.97069395879895
18116.110000013123,F11,1,0.15938010521719825,1.632943092776594,1.7990785005604557,3.6703151737025377
19385.110000015175,F11,1,0.15938010521719825,1.6160462869178116,1.4914959100138403,3.143008392073807
19865.53000001595,F11,1,0.15938010521719825,1.6203610740749044,1.6891289229710722,3.50396419016766
21415.690000018458,F11,1,0.15938010521719825,1.6494420301983146,1.8264373227790782,3.8139837090834994
21587.140000018735,F11,1,0.15938010521719825,1.6515116861667967,1.7713173595845002,3.748055255470533
24034.870000022693,F11,1,0.15938010521719825,1.59999864060824,1.7821816154689505,3.55849565682102
25041.79000002432,F11,1,0.15938010521719825,1.637157037969813,1.7965674204192164,3.6779703730061017
26065.270000025976,F11,1,0.15938010521719825,1.70807636982549,1.884337364270456,4.18228287185487
27243.73000002788,F11,1,0.15938010521719825,1.6181813159712517,1.716776970614523,3.4991287081175564
27860.68000002888,F11,1,0.15938010521719825,1.6503056512454173,1.7149932833785289,3.616263380512201
28513.090000029933,F11,1,0.15938010521719825,1.6409131028698072,1.827760702331464,3.718651609827498
29691.28000003184,F11,1,0.15938010521719825,1.6439549982198565,1.890843971867906,3.9160339827485133
30063.07000003244,F11,1,0.15938010521719825,1.655077825921933,1.8184788804823067,3.7683427636281346
31241.440000034345,F11,1,0.15938010521719825,1.7654191338137615,1.8639763385002581,4.341774731316555
32419.90000003625,F11,1,0.15938010521719825,1.600155861368721,1.8945814282240536,3.754914878387798
33036.850000037244,F11,1,0.15938010521719825,1.642711324840103,1.8500654144660413,3.8373789161156013
33688.990000038306,F11,1,0.15938010521719825,1.5954607368991442,1.6708949588270312,3.2854522884567596
