t,function,GRH_label,feat_xi,feat_A_log_peak,feat_B_curvature,feat_C_roughness,q,d,norm_amplitude,norm_curvature,norm_roughness,norm_xi
89691.40000012885,F6,1,0.3450952512951729,2.5329419698395093,1.8506355660123923,8.59353941343301,3,1,2.2538645025795985,0.4673774414665323,2.170295728643329,0.3450952512951729
89817.22000012905,F6,1,0.3450952512951729,2.457439529228985,2.0193677285595752,8.552869485177006,3,1,2.186632333941834,0.5098763585280772,2.159540279064783,0.3450952512951729
90234.28000012971,F6,1,0.3450952512951729,2.3461864119212037,2.170287302142188,8.321272132667454,3,1,2.08748614669103,0.5475766991828869,2.099507619526247,0.3450952512951729
90343.5400001299,F6,1,0.3450952512951729,2.376823768168457,1.7196461495154238,7.186766663765455,3,1,2.114704816722468,0.4337932603326913,1.8129142109867253,0.3450952512951729
90760.51000013058,F6,1,0.3450952512951729,2.3554868978444143,2.003637387347457,7.896725644733626,3,1,2.0955683905359224,0.5050602501432966,1.990540930523434,0.3450952512951729
90995.68000013096,F6,1,0.3450952512951729,2.515715080079457,1.8918036355467691,8.560530695193522,3,1,2.238024481735372,0.4766729828122472,2.1569752929216297,0.3450952512951729
91132.3000001312,F6,1,0.3450952512951729,2.402306440170165,1.9682107348572568,8.115142040567974,3,1,2.1370834828027614,0.4958062326123281,2.0442617911743746,0.3450952512951729
91350.19000013154,F6,1,0.3450952512951729,2.404361238495631,2.1619431189816103,8.581426172634929,3,1,2.138830714647832,0.5444010805822144,2.160897592680231,0.3450952512951729
91612.63000013196,F6,1,0.3450952512951729,2.410988635239053,1.8987630453413933,7.93410931993749,3,1,2.1446290102037775,0.4779104288710685,1.9969809277173454,0.3450952512951729
91893.43000013242,F6,1,0.3450952512951729,2.385265486972227,2.088973776503797,8.470061170322678,3,1,2.12164514926595,0.5255287831783002,2.1308361983056017,0.3450952512951729
92002.33000013258,F6,1,0.3450952512951729,2.3428690657760454,2.106331798830173,8.111053470336538,3,1,2.0838954285560125,0.5297954074313374,2.0401338860292153,0.3450952512951729
92139.1300001328,F6,1,0.3450952512951729,2.2997989473014573,1.9482054561565905,7.316079216795456,3,1,2.0455381732011246,0.48990645000369537,1.8397414839998227,0.3450952512951729
92374.2100001332,F6,1,0.3450952512951729,2.413923257092782,1.906690933245714,7.953271144436129,3,1,2.146958807778225,0.4792720315749728,1.9991600907084666,0.3450952512951729
92510.38000013342,F6,1,0.3450952512951729,2.357200857131859,2.1164096548741345,8.249146378824614,3,1,2.0964608154941695,0.5318625788004322,2.0730449116217207,0.3450952512951729
92791.00000013386,F6,1,0.3450952512951729,2.638179247916413,1.8442771345261308,9.445791606234897,3,1,2.3462468874744165,0.4632506301083902,2.3726200534309454,0.3450952512951729
93443.41000013491,F6,1,0.3450952512951729,2.4869922544863914,1.9028034459377297,8.539859812125721,3,1,2.211545456784477,0.47741767413942787,2.142670078554849,0.3450952512951729
93643.12000013524,F6,1,0.3450952512951729,2.4328097916741984,1.9834936606909217,8.339553100746214,3,1,2.163291194095474,0.497493674976238,2.0917006199578743,0.3450952512951729
94059.91000013592,F6,1,0.3450952512951729,2.3169354729923164,2.000085510832536,7.577286150835507,3,1,2.060109884225928,0.501300241803141,1.8991664901588665,0.3450952512951729
94341.25000013637,F6,1,0.3450952512951729,2.4471978061709194,2.000293279780519,8.640688082403003,3,1,2.1758306938010183,0.5011137955544946,2.1646665741188515,0.3450952512951729
94512.70000013664,F6,1,0.3450952512951729,2.392892484020898,2.0022469943696835,8.098218380800123,3,1,2.127486423404056,0.5014581745532388,2.028180248385345,0.3450952512951729
94821.58000013715,F6,1,0.3450952512951729,2.607133572625658,1.9422359289821955,9.590574419739092,3,1,2.317846091192317,0.4861758229894011,2.4006895052658113,0.3450952512951729
95238.73000013782,F6,1,0.3450952512951729,2.317826488059986,2.06097536319036,7.924798820862235,3,1,2.0604982328647967,0.5155379381301671,1.982330559196665,0.3450952512951729
95301.82000013792,F6,1,0.3450952512951729,2.388826547616477,2.036867931740863,8.173164835088292,3,1,2.1235936542146403,0.5094539308375378,2.0442419892487194,0.3450952512951729
95610.25000013842,F6,1,0.3450952512951729,2.513173403953004,1.9488516306694803,8.814880052207052,3,1,2.234020710011794,0.487188997430003,2.2036118642983666,0.3450952512951729
95891.05000013889,F6,1,0.3450952512951729,2.366256468658693,1.8657263240303024,7.575433073377352,3,1,2.103325740208459,0.46619108696905004,1.8928817872442263,0.3450952512951729
96171.67000013932,F6,1,0.3450952512951729,2.3740744852700217,2.00986214773972,7.993578099354605,3,1,2.1101781587727926,0.5019730472764252,1.996435806150999,0.3450952512951729
96199.84000013936,F6,1,0.3450952512951729,2.310547210466922,2.1271847671392874,7.921406690656983,3,1,2.0537029723586997,0.5312502038720167,1.9783184725528478,0.3450952512951729
96262.30000013948,F6,1,0.3450952512951729,2.3546935437903467,2.061683126993344,8.089460672861076,3,1,2.0929205879098,0.5148384502329889,2.0200802642791156,0.3450952512951729
96543.37000013993,F6,1,0.3450952512951729,2.353671302792932,1.928658361961282,7.623700827306341,3,1,2.0919162009023062,0.48139655773311335,1.9028892871002092,0.3450952512951729
96616.99000014004,F6,1,0.3450952512951729,2.337879645395349,2.051258277733807,7.869980504629091,3,1,2.0778558860239533,0.5119356569173493,1.9641230376971877,0.3450952512951729
96788.89000014032,F6,1,0.3450952512951729,2.36331848267314,1.9528967866432891,7.806238121689246,3,1,2.1004067453862576,0.48724969189221234,1.9476641805366852,0.3450952512951729
97069.69000014078,F6,1,0.3450952512951729,2.320966494091789,2.0648656516877595,7.812535557382867,3,1,2.0626724918363117,0.5149488271857136,1.9483379072786973,0.3450952512951729
97269.2200001411,F6,1,0.3450952512951729,2.6107827018823127,1.8594490944795008,9.296491209940818,3,1,2.320161089490212,0.46356946772567403,2.317659297424871,0.3450952512951729
97550.20000014156,F6,1,0.3450952512951729,2.3043205553645865,1.945241047487104,7.38641320346109,3,1,2.04772039120789,0.48473556397478756,1.840623903426172,0.3450952512951729
97967.08000014225,F6,1,0.3450952512951729,2.467186678690453,2.1173770765741105,8.918495229285107,3,1,2.19230377611191,0.527272896025913,2.2208990830046207,0.3450952512951729
98293.15000014276,F6,1,0.3450952512951729,2.309386193092757,2.1900079737953457,8.076776153671572,3,1,2.0519778397377135,0.5450718438954498,2.010231617185868,0.3450952512951729
98338.42000014284,F6,1,0.3450952512951729,2.4598293246335814,2.0354277627708948,8.77346338330559,3,1,2.1856365373136577,0.5065612818259326,2.1834706879746966,0.3450952512951729
98819.2000001436,F6,1,0.3450952512951729,2.484091320869604,2.0048219806000707,8.898374630548785,3,1,2.207025455685508,0.49855817603288854,2.2128435683530707,0.3450952512951729
98990.92000014387,F6,1,0.3450952512951729,2.532873459454897,1.915727177560428,8.903398495033485,3,1,2.250305438273688,0.4762708594958347,2.2134828504461006,0.3450952512951729
99145.45000014412,F6,1,0.3450952512951729,2.310316559683673,2.143544822580832,7.692114370060524,3,1,2.052526913971682,0.5327769322377677,1.9118709594179037,0.3450952512951729
99716.77000014506,F6,1,0.3450952512951729,2.453789194900005,1.9969943520636853,8.579733784863667,3,1,2.1797945521067206,0.4958996236494162,2.1305452118726818,0.3450952512951729
14735.530000007657,F7,1,0.1706099142888822,1.9071878661748312,1.4964992360849976,4.172170851004955,7,1,1.724505253880931,0.44331637663012174,1.2359456120993808,0.1706099142888822
20563.30000001708,F7,1,0.1706099142888822,1.9013452601630223,1.7863274435866203,4.769070872098378,7,1,1.7093098357905898,0.49990093343268294,1.3346170038018526,0.1706099142888822
21661.03000001885,F7,1,0.1706099142888822,1.948559499860455,1.6678673225314191,4.733329709925266,7,1,1.7502112962676724,0.46268982974163697,1.3130921674707114,0.1706099142888822
23772.70000002227,F7,1,0.1706099142888822,1.9000534859943388,1.7213927859406395,4.603929417970841,7,1,1.7039756684233636,0.47017817240992504,1.2575091154822966,0.1706099142888822
24967.5400000242,F7,1,0.1706099142888822,1.928526237076517,1.6584257718595607,4.527634599823492,7,1,1.7280965083898068,0.4493070319386074,1.2266440248743955,0.1706099142888822
26065.270000025976,F7,1,0.1706099142888822,1.9109438014893148,1.627034769227338,4.492618777920833,7,1,1.7111198414340663,0.4376771541399519,1.208527708531934,0.1706099142888822
27786.79000002876,F7,1,0.1706099142888822,1.894374081827835,1.7444825169471472,4.629666998131552,7,1,1.6944954332213378,0.46435549414061955,1.232349012236635,0.1706099142888822
29039.410000030784,F7,1,0.1706099142888822,2.0368392639108377,1.6515274732825882,5.070889548107691,7,1,1.8206133348982485,0.4364464321966694,1.3400755888947258,0.1706099142888822
29891.17000003216,F7,1,0.1706099142888822,1.908783371353571,1.7679829430036071,4.823604232257015,7,1,1.7053471045671427,0.4650197611888432,1.268717719834401,0.1706099142888822
