function,t,M,R_comp,peak_mag
f_rand,1758.0,0.8351957556937132,0.0156545722305372,14.33090797623436
f_rand,5710.0,1.985483640260027,0.0074618569383826236,14.220003195813014
f_rand,7758.0,1.7656308234171187,0.015999695131599278,14.130176157822378
f_rand,2856.0,2.003313195387955,0.001920647224269578,14.059960947088042
f_rand,3354.0,1.6786802929143816,0.005719440777306359,13.773207128513
f_rand,9754.0,1.6641490331318227,0.0036100905269348727,13.574010125311169
f_rand,6808.0,1.9163724013701,0.005557921500445013,13.572871205661498
f_rand,3852.0,1.7582722623982305,0.005127108396336564,13.364796556178758
f_rand,7638.0,1.6389767973837432,0.005365376640752211,13.358837932049063
f_rand,6472.0,1.7156006890193425,0.008759969413933139,13.230266107992076
L_DH,4858.0,1.9236583010137287,0.10413705868330243,5.807709618671219
L_DH,8810.0,1.9972046474777505,0.10223568064938442,5.477986275414814
L_DH,7722.0,2.1087894781651637,0.10314723897258121,5.432717453531243
L_DH,3294.0,1.8308651258948423,0.09827748844621793,5.280225448143652
L_DH,7824.0,2.072079579347631,0.10079022009381927,5.170608779835828
L_DH,5494.0,1.9058614335804307,0.10370337687429741,5.147203774967521
L_DH,8272.0,1.8919284379345473,0.09712607676239224,5.067736305947131
L_DH,7242.0,2.0782078480515405,0.10288631645908881,5.023481877560479
L_DH,2854.0,2.1096573013743773,0.10258394288420375,5.021468421876314
L_DH,8422.0,1.9697020811871175,0.10483018642676761,4.993453627477399
L_DH,9286.0,2.054458260380286,0.10137688672684039,4.937398026980662
L_DH,9708.0,1.8372019117594116,0.10811154479916252,4.903699499088937
L_DH,9952.0,1.9429802221498673,0.1018870577322949,4.894239794143572
L_DH,5846.0,1.9655204466684815,0.10258875876246797,4.856218287502089
L_DH,4470.0,1.9252097289498233,0.1017148038454363,4.79593140462745
L_DH,6870.0,2.051102089247974,0.1044473629736191,4.7787164137780564
L_DH,7758.0,2.0286734015332284,0.10535884977542466,4.773309454435831
L_DH,8406.0,1.5898359293211886,0.10480886615265135,4.769981619078114
L_DH,7504.0,2.004265079297243,0.10034259033490123,4.763121026663562
L_DH,8844.0,1.6872474062590181,0.10266382255297717,4.740071866166637
L_DH,8616.0,1.7774955642729624,0.09987998986504651,4.727420407835294
L_DH,8084.0,1.7555945644078854,0.10008444251518105,4.688812272236757
L_DH,4218.0,1.7770323072574918,0.10217142325471064,4.6811724601422515
L_DH,3132.0,1.7177941259046883,0.0956154341636808,4.647560890324412
L_DH,4418.0,2.0961846090008986,0.10276268083995986,4.647242839329055
L_DH,3878.0,2.1005114092594783,0.09810857994990291,4.633834138465492
L_DH,8946.0,1.9592629992657937,0.10242730779554678,4.630025272704412
L_DH,3482.0,1.9542274431273228,0.10249152793179105,4.6134586648551155
L_DH,5018.0,2.0185394140235173,0.10361687791733439,4.584199324822496
L_DH,7698.0,1.9464672738056406,0.10161500435088651,4.54557113288881
L_DH,2982.0,2.0631587603279833,0.09996093362592569,4.520210190728059
L_DH,1098.0,2.0596273510329803,0.10110454361747846,4.503896932995209
L_DH,3110.0,2.1459838736413093,0.09662038079508001,4.465205198716545
L_DH,6294.0,1.7565618559754959,0.09916413360820688,4.464199606545521
L_DH,8938.0,1.8843746015422462,0.09831664973906197,4.452629658564516
L_DH,7434.0,2.064840811390851,0.09659903488626126,4.447186513857956
L_DH,2602.0,2.0189482753497496,0.10473661868589842,4.44292248354881
L_DH,9868.0,1.6075805026241206,0.10096159701358409,4.435694369006303
L_DH,9260.0,1.3860298824661037,0.09171403323573596,4.4324182927073466
L_DH,7974.0,1.613819733044067,0.10376071400932932,4.425255412135514
L_DH,9008.0,1.9623757708669338,0.09835136283275293,4.414683496368968
L_DH,7444.0,2.0415163522099355,0.09581158397453765,4.379929206627473
L_DH,9986.0,1.8250786719676972,0.10439915199797414,4.363229888352013
L_DH,5628.0,1.8815812430076175,0.09943738493331102,4.336515634525469
L_DH,8142.0,1.6006216159595301,0.09348960082050656,4.33108126668529
L_DH,9310.0,1.9630840258360547,0.09851575204991073,4.330237193209372
L_DH,3770.0,1.6838802851195969,0.103754537366623,4.315224319511508
L_DH,7246.0,1.4060802396032384,0.09473543923931795,4.308613978046351
L_DH,3100.0,1.7043124583552927,0.09922869171404218,4.306265498377801
L_DH,5744.0,1.6507785225231055,0.10175076234819741,4.294193057149175
