Function,Type,t_value,N,R_comp
Zeta,Peak,1549.8436705982706,3000000,0.6403217341610025
Zeta,Peak,1549.8436705982706,10000000,0.7496260538294418
Zeta,Peak,2030.786335327527,10000,0.9636946810963448
Zeta,Peak,2030.786335327527,30000,0.9311790387179901
Zeta,Peak,2030.786335327527,100000,0.9449646537013516
Zeta,Peak,2030.786335327527,300000,0.8952383536939544
Zeta,Peak,2030.786335327527,1000000,0.49177118572429074
Zeta,Peak,2030.786335327527,3000000,0.6813098170469932
Zeta,Peak,2030.786335327527,10000000,0.3063348400100137
Zeta,Peak,1721.7550911823453,10000,0.9523634847378096
Zeta,Peak,1721.7550911823453,30000,0.9753546919627762
Zeta,Peak,1721.7550911823453,100000,0.5769346567325128
Zeta,Peak,1721.7550911823453,300000,0.6145364818831603
Zeta,Peak,1721.7550911823453,1000000,0.45441668318845957
Zeta,Peak,1721.7550911823453,3000000,0.3572144567484117
Zeta,Peak,1721.7550911823453,10000000,0.281373653342501
Zeta,Random,2498.16047538945,10000,0.24142559724722348
Zeta,Random,2498.16047538945,30000,0.2571427066549472
Zeta,Random,2498.16047538945,100000,0.2431599455217052
Zeta,Random,2498.16047538945,300000,0.24559059658599208
Zeta,Random,2498.16047538945,1000000,0.02771769848967677
Zeta,Random,2498.16047538945,3000000,0.04831936461806652
Zeta,Random,2498.16047538945,10000000,0.18043739903808315
Zeta,Random,4802.857225639665,10000,0.5206300594192148
Zeta,Random,4802.857225639665,30000,0.5661787690483685
Zeta,Random,4802.857225639665,100000,0.19765810015177263
Zeta,Random,4802.857225639665,300000,0.36498442546189575
Zeta,Random,4802.857225639665,1000000,0.40753301986291884
Zeta,Random,4802.857225639665,3000000,0.38520569529706145
Zeta,Random,4802.857225639665,10000000,0.19081157710846636
Zeta,Random,3927.9757672456203,10000,0.41227440835894985
Zeta,Random,3927.9757672456203,30000,0.651743537854279
Zeta,Random,3927.9757672456203,100000,0.2567034172740442
Zeta,Random,3927.9757672456203,300000,0.20229139182479378
Zeta,Random,3927.9757672456203,1000000,0.42596285153989294
Zeta,Random,3927.9757672456203,3000000,0.48403677660554756
Zeta,Random,3927.9757672456203,10000000,0.3924475977857469
Zeta,Random,3394.6339367881465,10000,0.2772420984463174
Zeta,Random,3394.6339367881465,30000,0.23119413368443142
Zeta,Random,3394.6339367881465,100000,0.1464507262849659
Zeta,Random,3394.6339367881465,300000,0.442771415946462
Zeta,Random,3394.6339367881465,1000000,0.2963396039803329
Zeta,Random,3394.6339367881465,3000000,0.3358592116740831
Zeta,Random,3394.6339367881465,10000000,0.39069697087047783
Zeta,Random,1624.0745617697462,10000,0.9351833895508908
Zeta,Random,1624.0745617697462,30000,0.8160663857474431
Zeta,Random,1624.0745617697462,100000,0.841473532806868
Zeta,Random,1624.0745617697462,300000,0.7531577349374846
Zeta,Random,1624.0745617697462,1000000,0.4884288016253207
Zeta,Random,1624.0745617697462,3000000,0.38972554082618927
Zeta,Random,1624.0745617697462,10000000,0.3582841644796833
Zeta,Random,1623.9780813448106,10000,0.9651663032579518
Zeta,Random,1623.9780813448106,30000,0.9208796066011711
Zeta,Random,1623.9780813448106,100000,0.9416192517691533
Zeta,Random,1623.9780813448106,300000,0.8834895527953037
Zeta,Random,1623.9780813448106,1000000,0.724682217097519
Zeta,Random,1623.9780813448106,3000000,0.8002797128027845
Zeta,Random,1623.9780813448106,10000000,0.5048638080775691
Zeta,Random,1232.3344486727979,10000,0.38903158848020736
Zeta,Random,1232.3344486727979,30000,0.44195168515025585
Zeta,Random,1232.3344486727979,100000,0.12149921483839769
Zeta,Random,1232.3344486727979,300000,0.13065084551466866
Zeta,Random,1232.3344486727979,1000000,0.22629350861510591
Zeta,Random,1232.3344486727979,3000000,0.4138378359394077
Zeta,Random,1232.3344486727979,10000000,0.3152231072550134
Zeta,Random,4464.704583099741,10000,0.03371834809404253
Zeta,Random,4464.704583099741,30000,0.09318985453637503
Zeta,Random,4464.704583099741,100000,0.09851019189115452
Zeta,Random,4464.704583099741,300000,0.1503519336677698
Zeta,Random,4464.704583099741,1000000,0.14698898806622399
Zeta,Random,4464.704583099741,3000000,0.11837878996481764
Zeta,Random,4464.704583099741,10000000,0.1126765071922906
Zeta,Random,3404.4600469728352,10000,0.05762816621915338
Zeta,Random,3404.4600469728352,30000,0.18516925815115562
Zeta,Random,3404.4600469728352,100000,0.11098571990935065
Zeta,Random,3404.4600469728352,300000,0.12655417733807384
Zeta,Random,3404.4600469728352,1000000,0.36844064284438455
Zeta,Random,3404.4600469728352,3000000,0.12522629020015102
Zeta,Random,3404.4600469728352,10000000,0.35507275221248247
Zeta,Random,3832.290311184182,10000,0.36917066633637535
Zeta,Random,3832.290311184182,30000,0.13494787416147108
Zeta,Random,3832.290311184182,100000,0.3389374803916222
Zeta,Random,3832.290311184182,300000,0.21496530323138036
Zeta,Random,3832.290311184182,1000000,0.25618295884212494
Zeta,Random,3832.290311184182,3000000,0.09335267906770495
Zeta,Random,3832.290311184182,10000000,0.07444349261556801
