r_center,obs_count_riemann,gue_count_N1000,gue_count_N600,z_obs_vs_GUE_N1000,surmise_density
0.77,13504,4598,13175,2.911018861780752,0.6652461902376913
0.79,13253,4697,13090,0.5673667480433665,0.6573172090365103
0.81,13264,4527,12617,2.749837014619635,0.6488140365900217
0.8300000000000001,13152,4588,12653,1.4851551694204388,0.6398091413163061
0.85,12761,4548,12532,0.23397061425347598,0.6303700294516366
0.87,12526,4369,12250,1.4574248952519946,0.620559371328504
0.89,12259,4315,12069,0.9320275478605065,0.6104351585824808
0.91,12105,4313,12023,0.2435761768026577,0.6000508846431262
0.93,11823,4184,11622,0.6178184081322077,0.5894557420244848
0.95,11815,4239,11338,-0.1465039669893235,0.5786948309585878
0.97,11429,3958,11162,1.775788253624259,0.5678093748198859
0.99,11099,3924,10856,0.6503174484606616,0.5568369385794691
1.01,11100,3989,10851,-0.23081802403561816,0.5458116472153836
1.03,10861,3687,10710,2.7652154072031956,0.5347644015992886
1.05,10680,3715,10183,1.487304721215047,0.5237230898898352
1.07,10361,3642,10176,0.9266407542499783,0.512712792898647
1.09,10320,3627,10013,0.9331492322208701,0.5017559822643094
1.11,9913,3539,9583,0.11936363719972122,0.4908727105811947
1.1300000000000001,9865,3376,9501,2.238780297818973,0.4800807928906572
1.15,9469,3295,9326,1.3819999675921442,0.4693959791586154
1.17,9436,3175,9102,3.0009000267111765,0.4588321175418034
1.19,9061,3211,8818,0.4738448319028101,0.44840130839029735
1.21,8851,3147,8591,0.30910853009165135,0.4381140490510054
1.23,8695,3071,8489,0.6230917466049698,0.4279793696298335
1.25,8357,2992,8271,-0.023846116623076632,0.4180049599428308
1.27,8352,2865,8017,1.9523379214559895,0.40819728794198923
1.29,8149,2824,7881,1.4689694513400704,0.398561709942289
1.31,7952,2731,7747,1.852766305589159,0.38910257300545836
1.33,7769,2733,7477,0.7678201263968543,0.37982330985482665
1.35,7513,2773,7273,-1.393420557937865,0.3707265267063807
1.37,7235,2599,7128,-0.16887139840331783,0.3618140844052086
1.3900000000000001,7273,2449,7081,2.603828938511757,0.3530871732552366
1.4100000000000001,7044,2476,6902,0.7647301647294621,0.344546381924631
1.43,6933,2407,6647,1.2785255369988104,0.33619176080038826
1.45,6493,2321,6446,0.04387482166215804,0.32802288015424036
1.47,6517,2233,6285,1.7701699063065588,0.3200388834687241
1.49,6348,2275,6091,-0.06162084778256977,0.3122385362576424
1.51,6133,2177,6209,0.3235049383822848,0.30462027069962316
1.53,6040,2041,5952,2.2382633620545596,0.2971822263874286
1.55,5879,2068,5762,0.6703819019405491,0.28992228747939824
1.57,5776,2027,5514,0.7549309819815573,0.28283811652311136
1.59,5562,1975,5554,0.29487375185817877,0.275927185205299
1.61,5444,1940,5426,0.15735242426289778,0.2691868022662815
1.6300000000000001,5313,1885,5253,0.31942168801261955,0.26261413880194195
1.6500000000000001,5245,1847,5191,0.5930918065123995,0.2562062511615065
1.67,4977,1771,5002,0.20302337216136584,0.24996010163527344
1.69,4889,1663,4894,1.7861419511249923,0.24387257711294363
1.71,4848,1732,4785,0.05801185108851581,0.23794050588038868
1.73,4673,1640,4695,0.6773213027628773,0.23216067271055385
1.75,4640,1665,4588,-0.097180832508796,0.22652983239273558
1.77,4432,1549,4311,0.7987615099276133,0.22104472183369253
1.79,4421,1522,4232,1.3014397054241746,0.21570207085392823
1.81,4181,1470,4089,0.5811803824389129,0.21049861179300053
1.83,4108,1475,4064,-0.11158758732878943,0.20543108802886073
1.85,4136,1458,4062,0.4924315111441114,0.20049626150795236
1.87,3982,1475,3956,-1.133194235607369,0.19569091937511043
1.8900000000000001,3798,1344,3863,0.3515881701115884,0.19101187978514264
1.9100000000000001,3751,1297,3822,1.0649722739280572,0.18645599697132906
1.93,3684,1358,3631,-0.9349302858853464,0.1820201656399184
1.95,3571,1318,3493,-0.9598725102907814,0.17770132475398978
1.97,3489,1209,3452,0.963583430952652,0.17349646076477301
1.99,3316,1126,3370,1.520030699746516,0.1694026103436386
2.01,3333,1176,3320,0.4153828396238604,0.16541686266346886
2.0300000000000002,3223,1153,3188,0.008155996060508357,0.1615363612739588
2.05,3239,1111,3155,1.2178317455733136,0.15775830561157794
2.0700000000000003,3035,1096,3062,-0.25882886723472276,0.15407995218138232
2.09,2924,1134,3100,-2.300693404951089,0.15049861544463444
2.1100000000000003,2977,1077,2921,-0.307347702039244,0.14701166844319288
2.13,2759,978,2932,0.25388943297740607,0.14361654318889902
2.1500000000000004,2888,999,2847,0.9236018917787508,0.14031073084366075
2.17,2791,939,2802,1.635050457736332,0.13709178171362937
2.1900000000000004,2735,963,2728,0.43148387886414424,0.1339573050787357
2.21,2653,923,2704,0.7366966958538544,0.1309049688769155
2.2300000000000004,2462,929,2550,-1.377788811747178,0.1279324992605645
2.25,2514,909,2577,-0.26820586174237016,0.12503768004113827
2.2700000000000005,2394,895,2431,-1.117213408884495,0.12221835203631246
2.29,2364,803,2396,1.2754471107961136,0.1194724123327591
2.31,2391,846,2409,0.2820310053965573,0.11679781347633818
2.33,2279,794,2316,0.6489714525641046,0.11419256260036803
2.3499999999999996,2241,805,2277,-0.09321490611228894,0.11165472050159193
2.37,2192,778,2256,0.19595716003148453,0.10918240067250683
2.3899999999999997,2178,764,2187,0.47396653306303255,0.10677376829785226
2.41,2116,767,2027,-0.3053497340288401,0.1044270392222643
2.4299999999999997,2044,745,2036,-0.42961731323957497,0.10214047889537874
2.45,1989,713,1947,-0.04031246519377808,0.09991240130000761
2.4699999999999998,1970,704,2013,0.03063061318059667,0.09774116786841863
2.49,1919,657,2008,0.9781446401559514,0.09562518639119633
2.51,1975,684,1916,0.737094584079264,0.09356290992267587
2.5300000000000002,1843,655,1874,0.15056718243884015,0.09155283568648244
2.55,1758,602,1876,0.9320296200388032,0.08959350398430838
2.5700000000000003,1682,648,1789,-1.596906601804907,0.08768349711068234
2.59,1745,625,1744,-0.019463152389557353,0.08582143827615468
2.6100000000000003,1698,645,1743,-1.2911301108203312,0.08400599054101374
2.63,1605,565,1661,0.3350101606282181,0.08223585576137674
2.6500000000000004,1641,564,1659,0.8265507068191892,0.08050977354924502
2.67,1506,612,1620,-2.6549418133125924,0.07882652024789366
2.6900000000000004,1607,531,1590,1.5926028978483813,0.0771849079237563
2.71,1504,555,1578,-0.6191640870633723,0.07558378337578961
2.7300000000000004,1483,487,1502,1.6450983904594896,0.07402202716313043
2.75,1340,508,1481,-1.1079883891050912,0.07249855265171674
