c_center,observed_count,expected_GUE,z_local_detrend
0.0965,105,143.2667703418181,-1.3810464063467927
0.0975,112,146.14198785044286,-0.9783167868072633
0.0985,116,149.04239392525864,-0.8488534868536138
0.0995,125,151.96785797078533,-0.2874093717928716
0.1005,129,154.9182493915427,-0.18833324921894978
0.1015,123,157.8934375920506,-0.8932605115517759
0.10250000000000001,150,160.8932919768289,1.2234948820267055
0.10350000000000001,144,163.9176819503974,0.4376464028790163
0.10450000000000001,131,166.96647691727583,-0.8834894116648319
0.1055,136,170.03954596962043,-0.6698434371134917
0.1065,146,173.13675101522188,-0.08892380112417689
0.1075,135,176.2579467775053,-1.2475370001823542
0.1085,146,179.4029876675322,-0.599945705325988
0.1095,142,182.57172809636393,-1.0968824386009772
0.1105,148,185.76402247506212,-0.8181948453716117
0.1115,160,188.97972521468813,-0.030964798325165153
0.1125,156,192.21869072630352,-0.5753042898748812
0.1135,184,195.48077342096965,1.3554227588295762
0.1145,160,198.7658277097481,-0.6746779763131875
0.1155,151,202.07370800370026,-1.5942139804901045
0.1165,150,205.4042687138877,-1.8636450749997135
0.11750000000000001,177,208.75736425137183,-0.025031308716088652
0.11850000000000001,174,212.13284902721404,-0.4572696648035968
0.1195,170,215.53057745247585,-0.9414016450642295
0.1205,183,218.95040366761305,-0.17711946495832803
0.1215,179,222.39217558914856,-0.6717377790619694
0.1225,203,225.8557349096727,0.811334804234067
0.1235,201,229.3409230511699,0.47393671668666215
0.1245,208,232.84758143562465,0.7178141321501812
0.1255,215,236.37555148502162,0.9503206621447167
0.1265,200,239.9246746213451,-0.35192043133996304
0.1275,203,243.49479226657965,-0.36682175586349686
0.1285,223,247.08574584270994,0.8275023786083779
0.1295,221,250.69737677172031,0.45672965409510996
0.1305,214,254.32952647559523,-0.2906383519768142
0.1315,237,257.9820363763193,1.0394201457929217
0.1325,237,261.65474789587694,0.8255203217493846
0.1335,244,265.3475024562529,1.0838391957946436
0.1345,227,269.0601414794313,-0.26829554014106227
0.1355,220,272.79250616221464,-0.9995277449559538
0.1365,219,276.5444325222125,-1.270584930915635
0.1375,231,280.3157513978422,-0.7132645161729687
0.1385,264,284.10629340233857,1.2268835130241718
