bootstrap_sample,xi_estimate
268,-0.16639922026423798
269,-0.23515747752107688
270,-0.16004360616660918
271,-0.18992435491211346
272,-0.1542406165207103
273,-0.21923178816780695
274,-0.03416752624737973
275,-0.13570782245149027
276,-0.15000217523154266
277,-0.028044868738357178
278,-0.1262389768215453
279,-0.19529580316302175
280,-0.17666279907190108
281,-0.10569133747026258
282,-0.18767799884305064
283,-0.08485956578327555
284,-0.2272985702105955
285,-0.18450281665719137
286,-0.22908564633754855
287,-0.1004497352752755
288,-0.1677725551496096
289,-0.2837619583516459
290,-0.09736409283781894
291,-0.15425277637125626
292,-0.17866881165141715
293,-0.17752336504746724
294,-0.23515437680863463
295,-0.19261818266207514
296,-0.27241841237641257
297,-0.054639855283071484
298,-0.059855507967007754
299,-0.14757082089704293
300,-0.10355966054709687
301,-0.18270847539413232
302,-0.06733156668726961
303,-0.11715241162180298
304,-0.2561874975291295
305,-0.10633111756202669
306,-0.1867717587978454
307,-0.028537762078091805
308,-0.13448982236954612
309,-0.21329688296290328
310,-0.05671388512922797
311,-0.16676410280142728
312,-0.0727976476095803
313,-0.10856394242396519
314,-0.1391144610462766
315,-0.16186426770610016
316,-0.016348072259594622
317,-0.20564667335190703
318,-0.1118918949288078
319,-0.1120058570712973
320,-0.07931759967938301
321,-0.14025088238508254
322,-0.17228879347397225
323,-0.14185149773459782
324,-0.15486456020425918
325,-0.12627901572043254
326,-0.09572217859097121
327,-0.14794896114137546
328,-0.13566034355244633
329,-0.14924755954122923
330,-0.20152248199483672
331,-0.19947969788512873
332,-0.2600091124789682
333,-0.13974722870836048
334,-0.16923250052339534
335,-0.18080674173312591
336,-0.18586478406079715
337,-0.18448048618515564
338,-0.1234786738853928
339,0.020374543955988977
340,-0.15736045995800507
341,-0.2056169634344938
342,-0.24734512685011184
343,-0.10094406777176779
344,-0.13753622354483558
345,-0.2218727190351532
346,-0.1471771514090804
347,-0.2535131789282046
348,-0.08168152633301033
349,-0.17730281014306876
350,-0.12902103325097725
351,-0.1867543905505004
352,-0.08515073956306382
353,-0.02919639760969737
354,-0.18697151066259815
355,-0.20168122377473957
356,-0.14478645931085818
357,0.009339094178516479
358,-0.06159077594055666
359,-0.21085394627504594
360,-0.1309579440238003
361,-0.13410426899250585
362,-0.01341682565453307
363,-0.09108946437627875
364,0.00954583997639346
365,-0.2226835409422326
366,-0.2316511743836667
367,-0.11486494086242377
368,-0.21790883482440043
369,-0.19641108796413745
370,-0.20300233580086502
371,-0.17701926739767104
372,-0.15366409802160347
373,-0.09321422655018138
374,-0.17927536419839687
375,-0.16065591790212724
376,-0.15267027538774203
377,-0.23711326635135732
378,-0.12972187623379694
379,-0.09033554471587976
380,-0.18385607273990087
381,-0.00906931753461247
382,-0.17042514777590692
383,-0.13513498511990174
384,-0.11734235307513491
385,-0.0641462719480789
386,-0.10072377540076953
387,-0.10190492911177183
388,-0.10752089422956188
389,-0.08981690976404677
390,0.09873720877786729
391,-0.1756556622892817
392,-0.05654444290918653
393,-0.07393657413762347
394,-0.15090128751411663
395,-0.007471806476086463
396,-0.1529305658864205
397,-0.11117636256193258
398,-0.14561651201555145
399,-0.1772684113986437
400,-0.16786920111023013
401,-0.13817500127717097
402,-0.10088829549846658
403,-0.25380485291359955
404,0.16508234130554594
405,-0.1330535778156704
406,-1.2424343650820284
407,-0.09938942064643579
408,-0.07638482476865516
409,-0.18834873673853758
410,-0.06926995843099026
411,-0.11466590278979838
412,-0.09843758554677026
413,-0.09616777320491399
414,-0.18274549060833306
415,-0.05948134364225395
416,-0.08951387540016872
417,-0.10520357334126218
418,-0.08211499546464816
419,-0.2568640452677664
420,-0.104315242087029
421,-0.22634719520732877
422,-0.06994448682465718
423,-0.1931158913841724
424,-0.15626765415434174
425,-0.09102449217942174
426,-0.11221193819794185
427,-0.2301776318996539
428,-0.19001694125067684
429,-0.1180096166182529
430,-0.09221022283317715
431,-1.082147007451995
432,-0.21634737516257668
433,0.019449544565913163
434,-0.08136573561276383
