t,R_comp
5345.0,2.582015718407684e-06
5346.0,9.060633197013127e-07
5347.0,1.4677253971847138e-06
5348.0,9.303441849284291e-07
5349.0,1.4174211389600902e-06
5350.0,7.834916057356299e-07
5351.0,8.530526642906353e-07
5352.0,3.902178498071115e-06
5353.0,2.0592513560613773e-06
5354.0,1.7712302430038671e-06
5355.0,3.5828271281954384e-06
5356.0,3.1888390662430878e-06
5357.0,1.8760504436381714e-06
5358.0,1.645023484085705e-06
5359.0,1.6206824248704852e-06
5360.0,6.584434330734647e-07
5361.0,1.5563766171648735e-06
5362.0,2.3283334071595225e-06
5363.0,1.3188969021337018e-06
5364.0,1.515522413600103e-06
5365.0,1.5295373454830548e-06
5366.0,5.556324260279315e-06
5367.0,2.603851521516411e-06
5368.0,2.0877685162824053e-06
5369.0,1.4658140103719368e-06
5370.0,4.3630281479230916e-06
5371.0,2.032946092039978e-06
5372.0,1.436729837456528e-06
5373.0,1.2326331133740798e-06
5374.0,2.033824951616264e-06
5375.0,1.8089679021704603e-06
5376.0,1.1988097032535413e-06
5377.0,1.4295804719423267e-06
5378.0,9.871727038970105e-07
5379.0,2.905303217914427e-06
5380.0,1.5817093992948978e-06
5381.0,1.7909426547536419e-06
5382.0,4.541585792713001e-06
5383.0,4.552202794338286e-07
5384.0,2.686745185216221e-06
5385.0,3.96421333420234e-06
5386.0,2.4699452197733035e-06
5387.0,3.1905730604790108e-06
5388.0,1.6177116686884425e-06
5389.0,1.9405980651059932e-06
5390.0,1.4788522770490578e-06
5391.0,9.346708350323175e-07
5392.0,2.2232659602443132e-06
5393.0,4.899867205991537e-07
5394.0,1.7121113090533187e-06
5395.0,1.4340248215142128e-07
5396.0,3.854855531853689e-06
5397.0,1.2009215811252612e-06
5398.0,2.362250163039316e-06
5399.0,2.908617807232827e-06
5400.0,1.7173592889516495e-06
5401.0,1.045756010530433e-06
5402.0,3.2745590662643386e-06
5403.0,2.9582090566132397e-06
5404.0,1.4446261426214266e-06
5405.0,8.837708521938135e-07
5406.0,2.902485249145549e-06
5407.0,1.0989736760786845e-06
5408.0,1.8731657890270964e-06
5409.0,2.508311446774803e-06
5410.0,2.221743730006677e-06
5411.0,5.363842505203745e-06
5412.0,2.3164167057460957e-06
5413.0,2.2606141906989293e-06
5414.0,1.0199487490540698e-06
5415.0,1.2185630086772496e-06
5416.0,4.133062579871198e-06
5417.0,1.7802985664236317e-06
5418.0,2.546852349986455e-06
