n,lambda_critical_only,lambda_offline_contrib,lambda_total
114,217.62457935875156,4.8053293838656685,222.42990874261724
115,219.83695635520732,4.886321808744179,224.7232781639515
116,222.00005254651222,4.9678962388674615,226.9679487853797
117,224.12112717655177,5.050049600439948,229.1711767769917
118,226.20944068603686,5.132778801305387,231.34221948734225
119,228.2758609657237,5.216080731145798,233.4919416968695
120,230.3324035780953,5.299952261681518,235.6323558397768
121,232.3917240039249,5.384390246872354,237.77611425079726
122,234.4665818649339,5.469391523119806,239.93597338805367
123,236.5692982001299,5.554952909470346,242.12425110960024
124,238.71122718757246,5.641071207819754,244.35229839539224
125,240.90226319256905,5.727743203118483,246.63000639568753
126,243.15040270655027,5.814965663578044,248.96536837012832
127,245.461378667882,5.902735340878391,251.3641140087604
128,247.83838190539902,5.991048970376295,253.8294308757753
129,250.2818811222346,6.0799032713147,256.3617843935493
130,252.78954906829887,6.169294947033025,258.9588440153319
131,255.35629847841128,6.259220685178417,261.6155191635897
132,257.97442713516904,6.349677157917936,264.324104293087
133,260.63386721240204,6.440661022151644,267.07452823455367
134,263.3225300273666,6.5321689197265975,269.8546989470932
135,266.0267336319267,6.624197477651726,272.6509311095784
136,268.7316974466508,6.716743308313573,275.44844075496434
137,271.422085510918,6.809803009692887,278.2318885206109
138,274.0825779880437,6.903373165582058,280.98595115362576
139,276.69844940187795,6.997450345803365,283.6958997476813
140,279.2561317356867,7.092031106428037,286.3481628421148
141,281.74374100968555,7.187111989996097,288.9308529996817
142,284.15154725296094,7.282689525736988,291.43423677869794
143,286.47236985027524,7.378760229790945,293.8511300800662
144,288.70188299679364,7.4753206054311265,296.1772036022248
145,290.838819330253,7.572367143286454,298.4111864735395
146,292.8850636043588,7.669896321565179,300.5549599259239
147,294.84563237561326,7.767904606279132,302.61353698189237
148,296.7285399426705,7.866388451468659,304.5949283941392
149,298.544555040911,7.965344299428211,306.50989934033925
150,300.3068568935207,8.064768580932594,308.3716254744533
151,302.03060299845043,8.164657715463836,310.19526071391425
152,303.7324243448677,8.265008111438675,311.9974324563064
153,305.42986647734557,8.365816166436645,313.7956826437822
154,307.1407968576967,8.46707826742874,315.6078751251255
155,308.88280023602977,8.568790791006647,317.4515910270364
156,310.6725841864967,8.670950103612528,319.34353429010923
157,312.52541657263396,8.773552561769336,321.2989691344033
158,314.4546154971831,8.876594512311634,323.3312100094947
159,316.4711103079765,8.980072292616939,325.4511826005934
160,318.5830895504125,9.08398223083753,327.66707178125006
161,320.7957484802547,9.18832064613272,329.9840691263874
162,323.1111450025947,9.2930838489016,332.4042288514963
163,325.528168826302,9.398268141016198,334.9264369673182
164,328.04262437303936,9.50386981605505,337.5464941890944
165,330.64742371737185,9.6098851595372,340.257308876909
166,333.33288172141084,9.71631044915655,343.0491921705674
167,336.0871017197975,9.823141955016604,345.91024367481407
168,338.8964367528764,9.930375939865547,348.82681269274195
169,341.74600856464906,10.03800865933166,351.7840172239807
170,344.62026448246036,10.146036362159059,354.7663008446194
171,347.5035509562504,10.254455290443724,357.75800624669415
172,350.3806820064181,10.363261679869824,360.74394368628793
173,353.23748112979155,10.4724517599463,363.70993288973784
174,356.06127633012414,10.582021754243693,366.6432980843678
175,358.8413298290449,10.691967880631223,369.5332977096761
176,361.5691866021382,10.802286351514065,372.37147295365224
177,364.2389290728353,10.912973374070837,375.15190244690615
178,366.8473289612802,11.024025150491266,377.8713541117715
179,369.39389128539386,11.135437878214018,380.5293291636078
180,371.88078969339927,11.24720775016468,383.1279974435639
181,374.3126965106403,11.359330954993874,385.6720274656342
182,376.6965149474717,11.471803677315485,388.16831862478716
183,379.0410246836232,11.584622097944989,390.6256467815682
184,381.35645537345005,11.69778239413785,393.0542377675879
185,383.6540053784905,11.811280739828012,395.46528611831855
186,385.9453251231769,11.925113305866399,397.87043842904325
187,388.2419858065899,12.039276260259479,400.28126206684937
188,390.5549547369121,12.153765768407817,402.70872050531995
189,392.89409826558585,12.26857799334465,405.1626762589305
190,395.26773219658975,12.383709095974414,407.6514412925642
191,397.68223767528286,12.499155235311255,410.1813929105941
192,400.1417579930097,12.614912568717482,412.7566705617272
193,402.64798857692625,12.73097725214194,415.3789658290682
194,405.20006879106575,12.847345440358309,418.04741423142406
195,407.794580194582,12.96401328720329,420.75859348178534
196,410.4256517393941,13.08097694581467,423.50662868520874
197,413.08516820220433,13.198232568869255,426.28340077107356
198,415.76307409612957,13.315776308820645,429.07885040495023
199,418.44776155082536,13.43360431813683,431.8813658689622
200,421.12652733169466,13.551712749537618,434.6782400812323
