sigma,t,sigma_str,t_str,absL
0.6083319596617016,1323.9391001363915,0.60833195966170160724013835519787337235521125473661,1323.9391001363915348656615867354264552781992770835,4.436962970234296e-49
0.7213581397855152,1338.1191868404128,0.72135813978551523910598288530161300619158305492165,1338.1191868404127915393860397122068299371430752605,4.872914718177773e-49
0.7179208227985745,1418.5236294324332,0.71792082279857455001740017817419528082558350707672,1418.5236294324330449764147609161835846652819589998,1.2344396330530607e-48
0.5665600940637469,1428.95800469333,0.56656009406374681233557153611471223992504386793318,1428.9580046933299119251660376021886332805784809878,4.14757623916363e-49
0.5713033709369864,1435.5252262024196,0.57130337093698638202668025178836071948069652111044,1435.5252262024197273425126038205876217492325413306,1.1494451600522751e-48
0.8279173132629505,1464.426256905523,0.8279173132629504390539663102293184119617906905712,1464.4262569055228326280726489761135854768109490359,6.0161054839513956e-49
0.5748604514732557,1600.0653891599206,0.57486045147325573548664380211322645626557772232095,1600.065389159920649826510580607802409409843360157,3.758294745148328e-50
0.6330072572882232,1635.9293725698865,0.63300725728822319803661816422529135271380347950322,1635.929372569886522630313698480440411051670725659,9.799286761783643e-49
0.5960790038889413,1653.5129009039383,0.59607900388894127129209906890436974364768636919086,1653.5129009039384278376809179164004165827709061242,9.496869155314222e-49
0.6327133552792752,1664.0035855738647,0.63271335527927520510736446264317337424810688429113,1664.0035855738646080802015512034237427838126338528,6.1445797210557946e-49
0.7177171679485186,1670.9896173283908,0.71771716794851854819530288694412963068786520946931,1670.9896173283908187234696536836540023302402197782,1.6612857170815377e-48
0.6057673690347821,1680.8830664020822,0.6057673690347821093571275423137982286073476325771,1680.8830664020823095053184856084587532412571952811,1.2903584319868605e-48
0.69429222908835,1699.5838033926095,0.69429222908835000750537225977821643482172118083817,1699.583803392609548351729423306338146883046313175,7.267773315992982e-49
0.8301628059337616,1709.4135854195229,0.83016280593376161837687655192897002857352690821042,1709.4135854195228834051240103669501411176917405067,6.809492621023995e-49
0.7446851613115943,1790.5898490063516,0.74468516131159431443668006922866303511593270340978,1790.5898490063516452811364115039425435671019716712,3.344061180529135e-49
0.7160650560640611,1807.429282302598,0.71606505606406117081970502511664865522153784788564,1807.4292823025981245476953226426733997215190026968,2.5987114565792276e-48
0.6942756580140332,1916.5300650348042,0.69427565801403323799815310757522215618775609651502,1916.5300650348042705784243328306996234489774170184,8.209187694090118e-50
0.635292318060769,1958.5725390662283,0.63529231806076907328089130476491047949241902293315,1958.5725390662283613415662719636801824835012881431,9.83301706369846e-49
0.8075593848317103,1961.9219794166831,0.80755938483171029787025862252696262276274896226916,1961.9219794166832501115825718089826297364761529011,1.737650460172854e-48
0.6401447863649008,2007.9188344010263,0.64014478636490078481522388140528329838277035704095,2007.9188344010263100089794981830777915935730110338,8.822637061650216e-49
0.7589185643044705,2052.5826106535674,0.7589185643044704658566217883326294787966038525223,2052.5826106535671788221902672730606517652304968835,4.716362039877689e-48
0.8095903394381704,2116.475756415232,0.80959033943817042078443934001624412436217829751482,2116.4757564152320732632855138694432663816943056567,2.974450746903926e-48
0.7896032816904726,2190.016762116867,0.78960328169047257230830727340046671144102990372892,2190.0167621168672879233421248264756374082872703083,4.876602068179286e-48
0.7253453066666201,2196.975844098116,0.72534530666662014702925276658958445071409083071941,2196.9758440981158862692133674903324337008995790367,4.950636305228512e-48
0.6295216298106657,2334.113309525595,0.62952162981066570519844379643165958309242685004552,2334.1133095255948066351609260141422072877914158658,2.6395924087889694e-48
0.5655412224288361,2425.0129746950242,0.56554122242883610340216697883027557984958984058804,2425.0129746950244080585623008615480431247716745154,1.1711128251215276e-48
0.8977501549770109,2442.530292468486,0.89775015497701096384927911822594445442660145518889,2442.5302924684860314562411646023790609920020090287,4.3819708906184886e-48
0.5349412375053696,2452.4505321430547,0.53494123750536961084854970726723665278480016044269,2452.4505321430547052693392204643915446894285959547,1.2064731353318132e-48
0.7943765660925793,2533.431129451478,0.79437656609257931076757759062670926297306975062239,2533.4311294514775843058936326124018032065871552346,1.372215739724514e-48
0.7242185894920367,2569.022157867043,0.72421858949203661381103092582658129988703827098028,2569.0221578670430435104702418824531439740403592175,3.1255535603997305e-48
0.6571352470919206,2596.995838207781,0.65713524709192063281325847835476982686023882094371,2596.995838207781152663111757898640044769645321035,9.424962247008065e-49
0.6160448611978484,2614.1495628945654,0.6160448611978483856135768067644262771411275914212,2614.14956289456517980371935367027801799193413568,1.73190426948924e-48
0.5895649793582641,2659.575200800689,0.58956497935826408521556907752488197554825609094932,2659.5752008006887915686991953776323220810592614126,7.988958349358589e-49
0.7375157003373917,2687.5138043685715,0.73751570033739161706485511452686858279393477918172,2687.5138043685716690642207750204525022281997841793,2.586850453029547e-48
0.6419184901679182,2768.494678921384,0.6419184901679182340303578026441028559428658624533,2768.4946789213839021264282641029333398787888783516,1.5338812207938328e-48
0.8290749740229993,2859.5864652244622,0.82907497402299935297905062814509412709817512043869,2859.5864652244620539239616967058205836899117915558,4.6788616944396754e-48
0.860442282414304,2887.939189356979,0.86044228241430393975204177530447957755297803152951,2887.9391893569792073962010046562477155940189507006,2.837824937336902e-48
0.5236203991421977,2923.4526609781637,0.52362039914219766421666565928269043087259490263665,2923.4526609781635411996991230671704566026137302247,4.243607711859754e-49
0.7710925182717024,2940.024952817859,0.77109251827170243377919255719630286599555613739469,2940.0249528178590001144273672191181242496032587359,6.800995211293373e-48
0.6076722346043341,2985.887093171856,0.60767223460433406723727771780345079497185795237848,2985.887093171855974336909796170858610303581125534,5.458657515970121e-49
0.867856869023951,3059.5187286630057,0.86785686902395092778508270226920425297475345008507,3059.5187286630056105177935219495812662921821317911,2.813608992100061e-48
0.5820564393724055,3140.195611945543,0.58205643937240545943099578243138131037771252878018,3140.1956119455432412446257472225413134849136625468,1.3090032389191331e-48
0.7536998484200961,3311.994340894749,0.75369984842009607469599756231102926946186583590649,3311.9943408947486963946756001550197165368724220499,4.669556286789607e-49
0.7454814393160185,3340.4349217230256,0.7454814393160185335835523823220089477614787448212,3340.4349217230257813950070489038596931551144377041,2.236976066241577e-48
0.7734962200396908,3385.427683507265,0.77349622003969071391622777424783167283805458560661,3385.427683507265306821624342031305687593645365503,2.3138765888577596e-48
0.6274367561519718,3420.941657568548,0.6274367561519718276532582585145989634654222372159,3420.9416575685479967010075531368311200174996868932,3.527973521542733e-48
0.777020870747996,3476.487556778517,0.77702087074799593194011048614649849510733354342866,3476.4875567785170724916574972851567714368632427916,4.915418926658914e-48
0.7335806304956848,3504.9591470578416,0.73358063049568475663653366804477523461485691222191,3504.9591470578414506300008083264990543668174032287,3.1302965370394765e-48
0.6362869251827451,3540.054569184181,0.63628692518274513610126755573170880253683135128061,3540.0545691841810376877714747647455627574155204839,1.3359908773478413e-48
0.7324700789732773,3547.0543480389483,0.73247007897327729124272425130503562946895653603958,3547.0543480389485028576881790423306492948289898037,6.012775824847286e-49
0.6363572578914982,3603.1047997945993,0.6363572578914982103131503883013192177352905090404,3603.1047997945995462530686554344713686870610246049,2.3741463722639413e-48
0.6531795652126784,3637.9958840712757,0.65317956521267844573040335377265988359637293427985,3637.995884071275830378351251258847050564534379895,4.043852531284192e-48
0.695139506290945,3711.588013064592,0.69513950629094501991074737720932606078557405318554,3711.588013064591772760741864613403119450632926979,9.408728616884363e-49
