case	lambda	strength	beta	N	S_N	radius	shellMass	ratio
plant-lam7-b0.10-s2.5	7	2.5	0.10	9	10.2014449484531100353685	0.0980253292600117788325678	0.925322989243847645205853	0.80226930165593780604178
plant-lam7-b0.10-s2.5	7	2.5	0.10	10	3.37701090541678967421907	0.296119861027389930679717	0.912680000547350194031888	0.331032605918131302593527
plant-lam7-b0.10-s2.5	7	2.5	0.10	11	8.91819984266161024036422	0.112130252477225602487956	0.292791786692830109615556	2.64085609802344676989119
plant-lam7-b0.10-s2.5	7	2.5	0.10	12	18.8585183668115141600734	0.0530264350862190260927797	0.157985193448670359447928	2.11461042581697130890241
plant-lam7-b0.10-s2.5	7	2.5	0.10	13	107931.80447201227609901	0.00000926510962076344540295656	0.0773392032881065666234808	5723.23882357364334377944
plant-lam7-b0.10-s2.5	7	2.5	0.10	14	81.3223371998968081328925	0.0122967444669220466528953	0.0211955862070542693833208	0.000753460368773732944532301
plant-lam7-b0.10-s2.5	7	2.5	0.10	15	209093.036667076354872151	0.00000478256003136167235776335	0.00730365217405402197073282	2571.16364170779978577617
plant-lam7-b0.10-s2.5	7	2.5	0.10	16	41.2270901653812362474925	0.0242558957226554185390476	0.0367383754906103703945881	0.000197171033634296179258461
plant-lam7-b0.10-s2.5	7	2.5	0.10	17	59.2782562364999565500122	0.0168695920475518411630996	0.0280732785672396170505458	1.43784720189339118443444
plant-lam7-b0.10-s2.5	7	2.5	0.10	18	566.624574193048935187406	0.00176483697591855608616714	0.0164715516087691797174895	9.55872541075450652378281
plant-lam7-b0.20-s2.5	7	2.5	0.20	6	11.0303404689273974301663	0.0906590329479867008782053	0.676225722255586008687513	
plant-lam7-b0.20-s2.5	7	2.5	0.20	7	6.35353457512448555841918	0.157392706087604297186276	0.726668185968293401475848	0.576005300382383421012133
plant-lam7-b0.20-s2.5	7	2.5	0.20	8	5.06725022914954357109798	0.197345691406250903060803	0.857790846986731161352711	0.797548225988879636311655
plant-lam7-b0.20-s2.5	7	2.5	0.20	9	7.85907568192120083079193	0.12724142640595409890209	0.968469059687607362014857	1.55095472426279217850609
plant-lam7-b0.20-s2.5	7	2.5	0.20	10	6.54757600492526458290027	0.152728276731384687677932	0.89430335621667428867616	0.833122910368089006027907
plant-lam7-b0.20-s2.5	7	2.5	0.20	11	10.9727821527428015463738	0.0911345897585359339592964	0.288671233691109553795073	1.67585410913730159932958
plant-lam7-b0.20-s2.5	7	2.5	0.20	12	14.2916867865921243160478	0.0699707469756585399676478	0.156260373925476343877582	1.30246701225356194470132
plant-lam7-b0.20-s2.5	7	2.5	0.20	13	1326.8333979934020847271	0.000753674124808978224121295	0.0937486983521657576241151	92.8395239698495828128663
plant-lam7-b0.20-s2.5	7	2.5	0.20	14	23.0935348156081306266191	0.0433021626175709657687332	0.0287388012128375672248688	0.0174049996408991261611087
plant-lam7-b0.20-s2.5	7	2.5	0.20	15	170.319113135053856350562	0.00587133165264343537532034	0.0143326544110262883169378	7.37518593385456915410612
plant-lam7-b0.20-s2.5	7	2.5	0.20	16	54.5985366435868090264082	0.0183155091962974956079603	0.034490451161880247106784	0.320566116383503704563638
plant-lam7-b0.20-s2.5	7	2.5	0.20	17	66.7633028953961815409865	0.0149782883205581687938721	0.0216342052075075805198814	1.22280388815582397846152
plant-lam7-b0.20-s2.5	7	2.5	0.20	18	106.045549251425836964272	0.00942991013822821503803142	0.0091225134781414768791197	1.58838081179980767346935
plant-lam7-b0.30-s2.5	7	2.5	0.30	6	4.799216937609788491214	0.208367325961731161202455	0.729966136020787518252261	
plant-lam7-b0.30-s2.5	7	2.5	0.30	7	2.8773230109378960096926	0.34754526905689280918238	0.817193237088707678288356	0.599540101717286333131668
plant-lam7-b0.30-s2.5	7	2.5	0.30	8	1.65729820613028676770999	0.603391710858695061140504	0.809891957882533673044184	0.575986150957056314330581
plant-lam7-b0.30-s2.5	7	2.5	0.30	9	7.15605573180772992750788	0.139741784787271995367298	0.946518931669100379964106	4.31790471101563726632665
plant-lam7-b0.30-s2.5	7	2.5	0.30	10	5.77053033381296853592913	0.173294297430585430514709	0.868730811939634979656577	0.806384208016116675775058
plant-lam7-b0.30-s2.5	7	2.5	0.30	11	11.947342954796572237085	0.0837006189395880642203829	0.269562788569428721270523	2.07040640351372657353332
plant-lam7-b0.30-s2.5	7	2.5	0.30	12	20.0685420590802858393783	0.0498292300983337425625782	0.114380236889364104394383	1.6797493915601750213892
plant-lam7-b0.30-s2.5	7	2.5	0.30	13	446.742052462961340038678	0.00223842818128904124210381	0.060289636872928124953208	22.2608125267787850726661
plant-lam7-b0.30-s2.5	7	2.5	0.30	14	33.7112343189513191210804	0.0296637017363031920217401	0.0211073175765329558652442	0.0754601769255789121281528
plant-lam7-b0.30-s2.5	7	2.5	0.30	15	92.4778493245072344085761	0.0108134002607583723841622	0.0101318847333527971884291	2.74323533957697022277311
plant-lam7-b0.30-s2.5	7	2.5	0.30	16	133.871015048361326891959	0.00746987687841723499624007	0.0219173826507838486398376	1.44760086903193836563989
plant-lam7-b0.30-s2.5	7	2.5	0.30	17	120.729626140019630621791	0.00828297106494988604565653	0.0141793730505071176295713	0.901835442843289654356416
plant-lam7-b0.30-s2.5	7	2.5	0.30	18	139.191168860202279949661	0.00718436383707904403357484	0.00500371886032952658778919	1.1529164241656090949888
plant-lam7-b0.40-s2.5	7	2.5	0.40	6	1.83172125451129089584729	0.54593459432603636327791	0.765827269254393308687309	
plant-lam7-b0.40-s2.5	7	2.5	0.40	7	1.15290266647586157973887	0.867375910454568355576729	0.709919144720365270921266	0.629409449519905094926134
plant-lam7-b0.40-s2.5	7	2.5	0.40	8	0.130682029728487781288027	7.65216152578633308503585	0.308783797359230161147121	0.113350444515798057575691
plant-lam7-b0.40-s2.5	7	2.5	0.40	9	6.18827996493427784931181	0.161595791668520676402626	0.921458137475830824123473	47.3537178584644793880559
plant-lam7-b0.40-s2.5	7	2.5	0.40	10	7.32917328887738917082867	0.136441036469635743199104	0.831468679206055690819666	1.18436355989191708962726
plant-lam7-b0.40-s2.5	7	2.5	0.40	11	16.0388095315726966426402	0.0623487670971764637767048	0.247213409152350036476351	2.18835179622685167362457
plant-lam7-b0.40-s2.5	7	2.5	0.40	12	28.2605817802222245876569	0.0353849757155330787518687	0.0879208942260658081579896	1.76201243144578409071186
plant-lam7-b0.40-s2.5	7	2.5	0.40	13	269.367078417444445786714	0.0037124061554778296622105	0.0443874928868780529122445	9.53154752836536621248181
plant-lam7-b0.40-s2.5	7	2.5	0.40	14	50.9007054650033856914881	0.0196460931310185227977903	0.0169565450018365157227357	0.188964092286442573035538
plant-lam7-b0.40-s2.5	7	2.5	0.40	15	91.576903712037033978114	0.0109197839134689830095218	0.00830451394646895491468184	1.79912837897699543572476
plant-lam7-b0.40-s2.5	7	2.5	0.40	16	255.760882990174119596099	0.00390990204721188044188475	0.0156750797696244886267174	2.79285357577072619685709
plant-lam7-b0.40-s2.5	7	2.5	0.40	17	196.854070420474539740083	0.00507990511887323047584685	0.0100321428096581194794965	0.769680132939005081068634
plant-lam7-b0.40-s2.5	7	2.5	0.40	18	206.361214615820482363138	0.00484587184593618867916538	0.00326892299222187834034181	1.04829539046380377376104
plant-lam7-b0.10-s10.0	7	10.0	0.10	6	13.9176757558571284219939	0.0718510775464185542296447	0.668433204717602239494767	
plant-lam7-b0.10-s10.0	7	10.0	0.10	7	8.02796067045803539025945	0.124564636157210395036129	0.700202032870885303797028	0.576817624672678589058386
plant-lam7-b0.10-s10.0	7	10.0	0.10	8	7.1206580111035803584563	0.140436459445272120538907	0.845605394100710859651499	0.886982174353042904490628
plant-lam7-b0.10-s10.0	7	10.0	0.10	9	7.85587135650792636670945	0.127293326814928607774994	0.969764538302103072990688	1.10325075916550028196655
plant-lam7-b0.10-s10.0	7	10.0	0.10	10	6.37067924782675495068339	0.156969133290007088619008	0.896855494579591647362244	0.810944955526694679471958
