epsilon,peak_index,t_value,magnitude,M_coh,R_comp
0.1,8.0,1906.0,13.191497187887954,1.4138761965084237,0.008913393378809519
0.1,9.0,6506.0,12.952886837435575,1.4913439133319806,0.010678526844480115
0.1,10.0,4122.0,12.897658278591551,1.4072470160995423,0.005083453706990778
0.1,11.0,3908.0,12.620478287518702,1.4710176416012772,0.008947087527213515
0.1,12.0,4990.0,12.604429963144947,1.235721729869018,0.012938009952652919
0.1,13.0,3196.0,12.446911663416746,1.4544888510086802,0.005487873381466828
0.1,14.0,4760.0,12.330812608903651,1.376288278224496,0.010055714752807893
0.1,15.0,6896.0,12.267128646152802,1.2985099936959126,0.01291915040925759
0.1,16.0,8496.0,12.235221833480855,1.1518493614548502,0.012765874636179318
0.1,17.0,2668.0,11.609898977641153,1.4029868346466285,0.006857327827339145
0.1,18.0,1268.0,11.491464373278843,1.3353492831750908,0.007970972641190979
0.1,19.0,4184.0,11.393657608019767,1.4157062572588326,0.004831524987432496
0.1,20.0,5808.0,11.325550858421018,1.4328625268182735,0.006741760557366242
0.1,21.0,4504.0,11.263182787064371,1.4768468379316353,0.005894602848512226
0.1,22.0,8120.0,11.183667427872974,1.2619462574583742,0.0054402371556443565
0.1,23.0,6542.0,10.915911698912167,1.4641249072577045,0.005611783568159297
0.1,24.0,6398.0,10.838410198097508,1.4466635933985061,0.0037737884795621826
0.1,25.0,5794.0,10.666653495837508,1.455687398667191,0.008508647015302037
0.1,26.0,2182.0,10.577663340984893,1.4898379166591353,0.008444536821981591
0.1,27.0,9936.0,10.558896351443183,1.2865628978185806,0.005039205972763876
0.1,28.0,2894.0,10.474045933806899,1.4646752378907482,0.004653099604005605
0.1,29.0,2434.0,10.458655808107869,0.8092202104660593,0.01101211036053407
0.1,30.0,9034.0,10.387686205101895,1.407228676680324,0.005731246762806565
0.1,31.0,8758.0,10.304315247211642,1.3156987286895263,0.00959605512781618
0.1,32.0,8024.0,10.229016058948227,1.3080451168318021,0.006524196965663909
0.1,33.0,9856.0,10.155774548293808,0.8375208703253187,0.012336692137679857
0.1,34.0,6166.0,10.129050207090687,1.3790842946327053,0.006901319950171176
0.1,35.0,2632.0,10.006035614886427,1.3429114673801266,0.007842678945643649
0.1,36.0,1194.0,9.992718356331347,1.3547930958512648,0.0072287041200420135
0.1,37.0,2326.0,9.942579660188509,1.1181133355389203,0.008515704127945226
0.1,38.0,4590.0,9.847899508892766,0.9239570053134822,0.01448752457817221
0.1,39.0,5644.0,9.758286556221261,1.3999896919899073,0.008294458551922675
0.1,40.0,6062.0,9.743088166384002,1.4254268193143405,0.006942314938071793
0.1,41.0,8106.0,9.724379493384593,1.3792701100412819,0.006615648166662399
0.1,42.0,1586.0,9.706569785475933,1.3962310634199442,0.008434967071820633
0.1,43.0,4368.0,9.681407045235114,1.2570607564611866,0.007946118929727746
0.1,44.0,9744.0,9.658533282654451,1.3969755108765058,0.006006583938837968
0.1,45.0,3544.0,9.57702769196491,1.5253386378683296,0.0038982587057620048
0.1,46.0,3656.0,9.565248700502023,1.0958341575535013,0.00648410644128213
0.1,47.0,7748.0,9.523593430888232,1.4040187852818526,0.0051009135636462845
0.1,48.0,1770.0,9.482858960101257,0.8209935244338076,0.012234604575307227
0.1,49.0,9140.0,9.45806702295104,1.3858186162690473,0.004199293634167785
0.0,0.0,8646.0,16.105346480287736,1.3756072303766038,0.01143766540063255
0.0,1.0,1706.0,14.701720223717329,1.4862121159853579,0.010862784962762476
0.0,2.0,5978.0,14.356556701773426,0.913944220837809,0.02428357165825643
0.0,3.0,8878.0,13.93667382099804,1.4008455608579762,0.012600436470164718
0.0,4.0,3210.0,13.176634507003145,1.3948625026045636,0.010435569493120939
0.0,5.0,8400.0,12.923325102823998,1.3418792318882418,0.010801325492269673
0.0,6.0,9560.0,12.92070176939978,1.3875812165987778,0.015805647432190165
0.0,7.0,4518.0,12.809853822341472,1.5233430258444276,0.010766439751497233
0.0,8.0,1906.0,12.57583390917986,1.4122187313805896,0.008913393378809515
0.0,9.0,6506.0,12.359567495779919,1.4929255023652028,0.01067852684448011
0.0,10.0,4122.0,12.28859600907879,1.4056616620994118,0.005083453706990774
