class,t,logS_0,logS_1,logS_2,logS_3,logS_4,logS_5,logS_6,logS_7
F1,49447.80000014352,0.0,0.6414136678499921,0.8550919836087845,0.7798597975409385,0.4875371625709113,0.19220584382720204,-0.524247432836195,-2.357920973334331
F1,37981.4000001018,0.0,0.6505371304076877,0.8740027467812628,0.8580297584662914,0.32389324890489596,0.05541904640214953,-0.6662899156387823,-2.9234108127169423
F1,92976.60000030189,0.0,0.6468433149827082,0.8511091187872944,0.7120948082297073,0.688186230817797,0.4011857820377726,-0.3070412341072832,-2.510963018547135
F1,56826.20000017036,0.0,0.5796051288469918,0.8617488894837235,0.7957759589565054,0.4579494477396193,0.2205281876943939,-0.5594432855501377,-2.3336038817522007
F1,82670.40000026437,0.0,0.6577634004853266,0.7968485522536989,0.7006565593731506,0.5870500992089873,0.3034556322405111,-0.5764420091263306,-2.4279956526219975
F1,93457.5000003036,0.0,0.6537362860131396,0.8549330451749686,0.6778637446441836,0.5750719932215974,0.2643123041029373,-0.5852381706167122,-2.52494404977426
F1,71575.50000022401,0.0,0.5647722498533722,0.7886049816160614,0.7865463447953609,0.6470926422369062,0.2799168835802254,-0.583574508478297,-2.396350104768265
F1,70197.100000219,0.0,0.6776335753584146,0.8256626200111068,0.6940499100027909,0.576611740515478,0.23214440070998488,-0.662649573523164,-2.4117621337455906
F1,58204.500000175365,0.0,0.7043284919460481,0.9113260160561847,0.7880911626026326,0.41163848508466305,-0.02524840177140149,-0.8315301563451916,-2.3505283244494883
F1,65410.80000020158,0.0,0.640471412271518,0.8860947297822961,0.6755063783134392,0.47596281311236366,0.24640722674648463,-0.4994758684201568,-2.381371624591839
F1,80875.00000025785,0.0,0.6022981901081457,0.757733983361143,0.6867940600669805,0.6652924200948902,0.34666326355820093,-0.49688326640895636,-2.2711508684912536
F1,73777.60000023202,0.0,0.6658186017362886,0.8300759544870566,0.6808555926969972,0.5350123933986382,0.2084806885512224,-0.6292319208048909,-2.4892557503363912
F1,92079.1000002986,0.0,0.6238238382657761,0.8758995245605923,0.7683084109307439,0.584112632368927,0.0716392565475847,-0.8941592911131866,-2.5217709804289252
F1,95533.50000031116,0.0,0.6122328341125511,0.8151131082341778,0.7635430154147738,0.6196293958081301,0.11036484274420547,-1.0271533739044691,-2.3526298832701014
F1,99937.9000003272,0.0,0.5126364937948925,0.715947437820734,0.6899476583443315,0.6551846315536018,0.4679322067413227,-0.21284960674305886,-2.171667848572811
F1,73406.00000023068,0.0,0.7031847862844133,0.8995649988724292,0.744796754337777,0.3574250126377828,-0.328391272014403,-1.2864074890219388,-2.462057083953381
F1,36603.10000009678,0.0,0.6227184851078609,0.8936087029153932,0.7642448134698077,0.37281305059523734,0.03744949691248066,-0.5219277144037098,-2.237083484462609
F1,98633.60000032245,0.0,0.6046770846214127,0.8301637010264082,0.7945935224867726,0.6099838283223391,0.17162289621337712,-0.7256666274622071,-2.3797787930647587
F1,96076.90000031317,0.0,0.6809999623658337,0.898993425545131,0.7356468407887402,0.4997518277419436,-0.06950701531403171,-1.1430701867693058,-3.0687123014982256
F1,68756.40000021376,0.0,0.6060611673765047,0.8528227626635434,0.8051519728857249,0.5994483411430279,0.16460651991703615,-0.7571313250725222,-2.89545430330492
F1,62482.90000019093,0.0,0.6144694770952606,0.7810671569638957,0.7815064783014637,0.5063647775888398,0.2736511217749773,-0.4050128305348834,-2.287380508224037
F1,46628.700000133256,0.0,0.6505355565592644,0.888778942896537,0.7785083619790636,0.5231762740059009,0.18081097817249747,-0.5544859499628848,-2.4210767506465953
F1,91427.10000029622,0.0,0.6059787279322054,0.8604833882494272,0.8127559260186319,0.5876419386325256,0.17729173169278417,-0.769638077106474,-2.804075657290609
F1,53726.10000015907,0.0,0.6139220366898616,0.8131490746875343,0.7506872062806422,0.5657753838424352,0.3879616135339629,-0.346196752298567,-2.4399942022747196
F1,64278.20000019747,0.0,0.6425531707320649,0.8722018598036698,0.7134922261329539,0.4761962155570855,0.10263351631597599,-0.7952684413783957,-2.5751016302209573
F1,55756.700000166464,0.0,0.5838094637327357,0.8148725655847671,0.6599859192238418,0.5466817026337577,0.348108496122171,-0.4697696293445358,-2.614046244258043
F1,57832.90000017401,0.0,0.6457700704094894,0.826688203682632,0.678995562405811,0.5324437664407249,0.21359402097687508,-0.6488247526842258,-2.5119738270548746
F1,88327.00000028496,0.0,0.5859980899808681,0.8330607923906546,0.737337931358892,0.5781199344696466,0.19093284141846645,-0.8031337896210085,-2.970439774580984
F1,92360.10000029964,0.0,0.604070750691674,0.833473882691107,0.7434574989593332,0.5345267759253308,0.15178878990175665,-0.7136601358516511,-2.487575999654215
F1,89876.80000029059,0.0,0.6515956610734653,0.8255774885345812,0.7145290138058341,0.6287071815209891,0.28671901616046336,-0.5886417328126659,-2.4850781777492013
F1,68927.90000021437,0.0,0.6776768193698444,0.8990335501335414,0.72930546133402,0.41206729825095156,-0.28463345057962913,-0.9380509602914312,-2.286792355571987
F1,53445.70000015805,0.0,0.6250978115490807,0.8305992849743442,0.6461121609238304,0.4646641676815828,0.36765985082828656,-0.35549379338340914,-2.139691723648214
F1,85879.50000027605,0.0,0.6623715695688621,0.8436983153272136,0.8095673933049644,0.4305349128743916,-0.05834540466021122,-1.9474707039346906,-2.6700781745120303
F1,82951.2000002654,0.0,0.6932316119894448,0.8471439229355864,0.7115520686784365,0.46228557741777354,-0.03478207942927494,-0.9102688037088147,-3.0690104151544597
F1,90810.10000029398,0.0,0.6160115839830741,0.840802276459391,0.7385971826244153,0.5406352578753303,0.08209654757569824,-1.0823513319513178,-2.339658516280308
F1,69127.9000002151,0.0,0.6303927600582981,0.8325523390698607,0.6712105603905566,0.5338978671981418,0.26404272666630535,-0.5834519367126795,-2.4063757045092924
F1,78055.80000024759,0.0,0.5779251721514493,0.8567077490085186,0.7754585215372659,0.563707507034924,0.16799719140023753,-0.8897475263165153,-2.791439230360303
F1,62310.900000190304,0.0,0.6707489580943452,0.8139366635023157,0.6501635372186735,0.5099888147629155,0.251933506535951,-0.5613311950196653,-2.530076176893407
F1,94807.60000030854,0.0,0.6054923212055843,0.8363380196806739,0.7697166270666029,0.5617566596137943,-0.09913302626465556,-1.0419787150657474,-2.244410042018598
F1,53926.0000001598,0.0,0.6421480891211624,0.8288857641047487,0.7455168729629845,0.45349144932811825,0.2706158865300522,-0.5983546987239943,-2.5967092651585415
F1,86359.7000002778,0.0,0.6753777919516167,0.8814521027639437,0.7462528306147299,0.24251877009426878,-0.2741573309635945,-0.7906529710422112,-2.289319353037912
F1,83912.20000026889,0.0,0.6838411030896945,0.9118152915584417,0.6179915480180829,0.44377730553954875,0.18338540989933438,-0.5768431876635435,-2.775069482001465
F1,32324.900000081216,0.0,0.6947432258139306,0.9426147269581333,0.7329543213705914,0.04020776674670757,-0.22720795057154383,-0.8623465603971201,-2.690700041518502
F1,87601.0000002823,0.0,0.5968517319943598,0.8194292410278834,0.7532599407401754,0.5442917985003983,0.15966599866621062,-0.7550630630098587,-2.631749163257035
F1,59800.10000018117,0.0,0.635371546300105,0.851777621897314,0.719862796624663,0.36043619856526077,0.3898108349743379,-0.3314285840387715,-2.368389790370494
F1,91055.40000029487,0.0,0.6556410274224428,0.8492825310177974,0.7276032886093163,0.48497735070339476,-0.039767061650683486,-1.3456190206807332,-2.9429205388135244
F1,90774.60000029384,0.0,0.5098523499037689,0.768423785943579,0.7625650786181282,0.6178104994785881,0.2834563088964585,-0.8488161877041491,-2.414207665964251
F1,61549.80000018753,0.0,0.6326563985611118,0.8823759417050574,0.734032388506672,0.44181937286522643,-0.004903468197743441,-0.8081546694271934,-2.515629882192554
F1,70478.10000022002,0.0,0.6033404493284714,0.8454408162954964,0.8197345003152264,0.39530584679581793,0.14023368559293864,-0.5417319518757034,-2.198233193062254
F1,53074.1000001567,0.0,0.6781115108498672,0.8956423674684888,0.7276892668335875,0.4093689892021858,-0.21760646322862626,-1.1177778232190896,-2.379479060853598
F1,84782.10000027205,0.0,0.59737754457528,0.7695190852433567,0.754904610329935,0.532573638522619,0.2770813832905715,-0.5134077158998291,-2.216514128100601
F1,76923.30000024347,0.0,0.6829519827376316,0.8302391692367528,0.6893872464001493,0.5073891543342359,0.24133745728042022,-0.6133184927324369,-2.4035835930310627
F1,81401.40000025976,0.0,0.660019561175928,0.8860647455996689,0.7697534107072065,0.5392815931547774,-0.007169656951896401,-0.9835851928450647,-2.781313751786891
F1,24329.60000005213,0.0,0.6697986609514719,0.9369173917975336,0.7690364347900203,0.009375797300547817,-0.576068287543755,-1.2038590618167402,-2.5346363044556943
F1,75744.80000023918,0.0,0.6457423448689935,0.8365775584833394,0.7512994188975096,0.4874249153181962,0.19144299619582678,-0.7847574531736499,-2.5223515022142586
F1,76334.30000024132,0.0,0.6834079356368284,0.8389947120549114,0.7471282583301625,0.4798483201764583,-0.10986113653728467,-1.1469300912495695,-2.7744531106689734
F1,40429.0000001107,0.0,0.5793249849122861,0.8433998655978572,0.6839055497055819,0.4247181316450191,0.28631507397687633,-0.5134385819838365,-2.4335780849180195
F1,92605.60000030052,0.0,0.6039666988839766,0.769007413076185,0.7498142169043454,0.6740645597285507,0.25170522809052653,-0.616339545308003,-2.467593296724239
F1,59582.70000018038,0.0,0.6321523184678906,0.8536546636886598,0.7210929977001181,0.5399328110549415,0.18432871577115986,-0.6785643130846745,-2.5010347665457817
F1,77775.20000024656,0.0,0.6531701498952587,0.8195134167503854,0.7143905380396368,0.5253183890447723,-0.02393394808452042,-1.1336006805621364,-3.180997928144936
F1,52285.40000015384,0.0,0.6348893535511382,0.7919114903438359,0.6779178476565109,0.5530699282212839,0.14793961758673244,-0.783519109577172,-3.264238768219137
F1,67749.60000021009,0.0,0.6668601639390668,0.8817539953475275,0.7352545958275233,0.3903615478608541,-0.03705061404276581,-0.955613740677832,-2.393141466776995
F1,38352.80000010315,0.0,0.6857408204958647,0.9049152578810954,0.708975327616596,0.3224541563194996,-0.27591546751617707,-1.2762036267773544,-2.344200762027748
F1,48904.700000141536,0.0,0.537539726614055,0.7980197044835605,0.6786037292215629,0.5225509388580396,0.2999778008561802,-0.39978090623000373,-2.2033839673727296
F1,85507.90000027469,0.0,0.6061830993266112,0.7858582041559002,0.742797750097041,0.5714561757743715,0.15548830835597263,-0.9610577720906059,-2.5987274626020542
F1,72508.60000022741,0.0,0.6491697080688916,0.8362296118091097,0.7051256315238704,0.505615517938286,0.05239237514386863,-0.8483959630797402,-2.400778248152093
F1,72644.9000002279,0.0,0.6420116664840574,0.8455158767941134,0.7178334799980579,0.4222666845872059,0.017791940900021848,-1.0410640059277831,-2.299032716021155
F1,82533.90000026388,0.0,0.5936320706178647,0.8094616148405354,0.7041622179966452,0.5847962759158141,0.14543205599139483,-0.8647013450229324,-2.867871847880697
F1,46348.00000013223,0.0,0.662402509524909,0.8761459914980476,0.7220766239073817,0.3317766710746821,-0.04273486067118307,-0.9234070157016739,-2.3922624978188995
F1,79153.40000025158,0.0,0.5910317949459614,0.7624377658034946,0.6256077547506972,0.645958258150773,0.22623139543797208,-0.6321318955071978,-2.4460939614440664
F1,78953.70000025086,0.0,0.6920921649957815,0.8757024313282673,0.7297343006008533,0.3397471001779405,-0.3321706634743891,-1.525737950494267,-2.792161287618658
F1,64930.40000019984,0.0,0.6307195324888143,0.8258910154312961,0.6920277942799061,0.5509746448164713,0.010676431787820207,-1.0911445098418326,-2.8735793828486718
F1,22299.100000044746,0.0,0.6513221059297425,0.8992267293811536,0.7536238297717857,0.26196039243400715,-0.43118914340061254,-0.8990585720079898,-2.3313431129055115
F1,79125.40000025148,0.0,0.5682707026914018,0.7811791486957814,0.6078194707016513,0.6206623836222959,0.29009745774343365,-0.44981639979791443,-2.226573408030932
F1,87057.60000028033,0.0,0.6940100031278323,0.8452921513468283,0.659252384875795,0.4426875444620416,0.06608298902794417,-0.7404243399171279,-2.2374562412723877
F1,35533.80000009289,0.0,0.6485144056119504,0.856153819389357,0.7427727861853821,0.3246636287663622,-0.130132667652648,-0.9627052973461909,-3.0796723994208977
F1,95986.20000031282,0.0,0.6107643834420242,0.7218635727075994,0.6239476054518037,0.5935955954084351,0.29749184360405445,-0.4409976957533517,-2.374872140006773
F1,71130.00000022238,0.0,0.51748056830159,0.7554454066900659,0.777587460845393,0.5433139523114311,0.3356804128515628,-0.23748219029611606,-2.1095434175124943
F1,79434.2000002526,0.0,0.670667921948173,0.877913484731492,0.7663544181109851,0.38068906445391787,-0.4861373635446683,-1.6669201367070676,-2.7075359651370974
F1,84329.40000027041,0.0,0.6148283040348046,0.8077631760174078,0.7539307537064533,0.4610766360729992,-0.06826111172863181,-1.1056571261387804,-2.5430620295612143
F1,92868.10000030148,0.0,0.6307912771710334,0.8277702852329238,0.6934276308088193,0.6027315461104542,0.1687494199447325,-0.47627287025677445,-2.156752844733426
F1,44426.700000125245,0.0,0.5727089585646196,0.7985889532407788,0.7149195291770281,0.4895170298305297,0.20319927006719868,-0.6777886113317234,-2.3817898895830596
F1,65130.200000200566,0.0,0.6512934578211893,0.8451838578063299,0.748602630559361,0.5088640922738843,0.0153484908373726,-0.9934994315663623,-2.685796583401742
F1,26296.90000005929,0.0,0.6374881226169493,0.8962818948300144,0.682921466993996,0.1959358021195893,0.00349750502657734,-0.6768196959674685,-2.478229433158985
F1,89459.70000028907,0.0,0.6781982280672618,0.79742278892764,0.6585602466160376,0.5374539488735305,0.0811114187894881,-0.8374468541246269,-2.8637070644696054
F1,35252.90000009187,0.0,0.625574751867038,0.8371931936015002,0.6880654726072778,0.39980375155368986,0.12235036064579209,-0.7548450534180099,-2.517640886762307
F1,65302.10000020119,0.0,0.6140875803197654,0.7971365974091835,0.7214840610177211,0.5021134215516448,0.21754265737295878,-0.3633536240336993,-2.3578759688155073
F1,66480.30000020548,0.0,0.6038380968487844,0.8139600283680704,0.7010377981064356,0.5316288830733104,0.15471550537889897,-0.7471651408946071,-2.5729275900720308
F1,99376.70000032516,0.0,0.6592364162387798,0.8724338307428996,0.6413263793845178,0.4170411151050012,0.14725803377799995,-0.41276071454462115,-2.1713114360719534
F1,36974.60000009813,0.0,0.6202173195547269,0.8769557033097601,0.7586150466126531,0.32189534280393084,-0.2552249136726795,-1.4350888947044693,-2.91899605182926
F1,43248.10000012096,0.0,0.6099636438861314,0.8551792662122114,0.7990896259988646,0.37179978391696755,-0.10383514511351756,-1.442751410452613,-2.4948633489910432
F1,87148.60000028067,0.0,0.5105617808233318,0.7149452145944736,0.7397867429689614,0.5797065258292722,0.39362985535049877,-0.43517721455707664,-2.2183805354068116
F1,75436.40000023806,0.0,0.6616430427316082,0.8624902235528424,0.6849121756175518,0.40710404040117953,0.019874727335973848,-0.8474600031581193,-2.3105593508158297
F1,69544.90000021661,0.0,0.4865507595743958,0.7349785334251474,0.7445301414929193,0.521766179896648,0.3034911803775788,-0.6341545974293407,-2.923521687407149
F1,48179.0000001389,0.0,0.6179203678696735,0.8001427481403978,0.7177796083450926,0.5189588897367855,0.2133102454723231,-0.7714492783240728,-2.2057124041029343
F1,71856.00000022503,0.0,0.6536394591368655,0.8528103328318446,0.720450540839156,0.572751421266528,0.2911483895778582,-0.6451396597990288,-2.278335573232809
F1,39703.10000010806,0.0,0.5524631004366837,0.797860564257773,0.6696242504376417,0.46039216442986175,0.3308298305479934,-0.4931551986278825,-2.4203498816196425
F1,81682.10000026078,0.0,0.6111763216640439,0.7935312747676431,0.699549397180868,0.5231338151134859,0.033465374959037175,-0.9076149746328588,-2.3368267311910085
F1,87429.20000028168,0.0,0.6370858459332643,0.8819099926566608,0.7137940879356681,0.4664792735078097,-0.14203565832737503,-1.4403254179355836,-2.727609237428861
F1,46148.2000001315,0.0,0.6315669826572052,0.7659508928241034,0.6145940737787216,0.5195746164445123,0.2782769960345988,-0.5181419231579552,-2.7256784816512782
F1,73577.7000002313,0.0,0.5429385773827398,0.7694970409597996,0.6626785180027531,0.5867417978686063,0.19103701438407042,-0.8702027682503992,-2.467143391788259
F1,91227.2000002955,0.0,0.6399365532168606,0.7475866119992955,0.6521503776543456,0.5430937038212369,0.22084919534356634,-0.7501847759593219,-2.329242473393209
F1,95053.10000030942,0.0,0.5797971102892548,0.8018598769297475,0.7299002085109801,0.5908001995624854,0.15209771671771138,-1.146726098588704,-2.7046906143277916
F1,47526.60000013652,0.0,0.6554239607645914,0.8920862831707417,0.7526269022509481,0.44023153161703865,-0.05471037328528983,-1.001098725147696,-2.785024488547424
F1,48596.10000014041,0.0,0.6775111208042384,0.8388266341538084,0.6348906102221338,0.41014829760809773,0.08698202153300905,-0.71441175031802,-2.4671215997598748
F1,28807.70000006842,0.0,0.6664283513719369,0.8986232881167908,0.6785304173154583,0.27900505683820714,-0.038341203209043696,-0.7481243696681128,-2.2045190407792807
F1,28327.300000066676,0.0,0.6801085707118796,0.9286619880938226,0.6824624418943941,0.10383886141014786,-0.23056153664108664,-0.9324270246905942,-2.608718317825361
F1,91907.50000029798,0.0,0.6145893575372543,0.7743422748604472,0.6948075984035207,0.5766194507375717,0.008299360755982492,-1.1250689153072058,-2.515311212539127
F1,60280.70000018292,0.0,0.5925194335411121,0.7467449351007591,0.8375087358088931,0.522404943213294,0.1350774221723191,-0.9055894691977119,-2.291762654343694
