function,T0,J,lambda_min,trace_residual,tr_Mz,tr_Ma
L_chi,60.0,12,-3.7935665671304525e-05,-0.0003999301185384496,14.876026908214268,14.876426838332806
zeta,60.0,16,-1.4660970898396387e-13,1.5187850976872141e-13,5.7089659582627545,5.708965958262603
L_chi,60.0,16,-3.9040112847661356e-05,-0.0005341362491328994,19.49385034187414,19.494384478123273
zeta,60.0,20,-4.467477464686587e-13,2.327027459614328e-13,6.806370693397938,6.806370693397706
L_chi,60.0,20,-4.00459793089773e-05,-0.0006687946189920524,24.100422926498283,24.101091721117275
zeta,60.0,24,-5.528755594123423e-13,2.3359092438113294e-13,7.951766516381312,7.9517665163810785
L_chi,60.0,24,-4.098423270189291e-05,-0.0008039077740278344,29.85379106604094,29.85459497381497
zeta,60.0,28,-1.482308816088839e-12,4.149569576838985e-12,10.004271245467685,10.004271245463535
L_chi,60.0,28,-4.187295442160233e-05,-0.0009394782803511248,34.52098110313605,34.5219205814164
zeta,85.7,4,-7.206227764914898e-15,1.7763568394002505e-15,1.7727863092531273,1.7727863092531255
L_chi,85.7,4,-1.6901578652412227e-05,-6.50664247388022e-05,5.326923953205629,5.326989019630368
zeta,85.7,8,-3.115682150070866e-14,-1.5987211554602254e-14,4.161138248250207,4.161138248250223
L_chi,85.7,8,-1.742846738319536e-05,-0.00013023937583866996,10.52982106810128,10.529951307477118
zeta,85.7,12,-5.418503077839872e-14,1.5987211554602254e-14,5.553058542248335,5.553058542248319
L_chi,85.7,12,-1.783958903871092e-05,-0.00019551914439475127,15.975576580772547,15.975772099916941
zeta,85.7,16,-1.4314108840551832e-13,4.1744385725905886e-14,6.538462935036456,6.5384629350364145
L_chi,85.7,16,-1.8193304758097654e-05,-0.0002609060224401105,21.781061539798486,21.781322445820926
zeta,85.7,20,-3.881533339058007e-13,-1.2612133559741778e-13,7.623359620434618,7.623359620434744
L_chi,85.7,20,-1.851132572290124e-05,-0.0003264003032725782,27.020548599744437,27.02087500004771
zeta,85.7,24,-5.281052050962188e-13,-1.3322676295501878e-13,9.47222617666946,9.472226176669594
L_chi,85.7,24,-1.8804529126036316e-05,-0.0003920022812735624,32.66963194265274,32.670023944934016
zeta,85.7,28,-9.933274498428459e-13,2.9167779302952113e-12,11.351475499531704,11.351475499528787
L_chi,85.7,28,-1.90792718703497e-05,-0.0004577122519151544,37.50673446440692,37.50719217665883
zeta,120.0,4,-2.2469662534003883e-14,0.0,1.5971658944407565,1.5971658944407565
L_chi,120.0,4,-8.523297319172743e-06,-3.317196672281142e-05,5.760494290569871,5.760527462536594
zeta,120.0,8,-4.727204431220265e-14,-1.9539925233402755e-14,3.7168209654437074,3.716820965443727
L_chi,120.0,8,-8.710711709339166e-06,-6.637160534594955e-05,12.054912743930469,12.054979115535815
zeta,120.0,12,-6.976269139076828e-14,-1.1546319456101628e-14,6.036335575357059,6.036335575357071
L_chi,120.0,12,-8.855224789864076e-06,-9.959895438527155e-05,17.467290918657877,17.467390517612262
zeta,120.0,16,-1.4626051116655034e-13,8.881784197001252e-15,7.640002127158702,7.640002127158693
L_chi,120.0,16,-8.978382320243236e-06,-0.0001328540523779509,22.8973180088437,22.89745086289608
zeta,120.0,20,-3.721992741250384e-13,4.263256414560601e-14,9.756924788743909,9.756924788743866
L_chi,120.0,20,-9.088202429560634e-06,-0.00016613693814804265,28.62986123053192,28.630027367470067
zeta,120.0,24,-4.727378941721987e-13,3.375077994860476e-14,11.094413005287718,11.094413005287684
L_chi,120.0,24,-9.188704217178499e-06,-0.00019944764994050956,34.93273912804546,34.9329385756954
zeta,120.0,28,-6.599081734290035e-13,2.779998453661392e-12,12.574563273061118,12.574563273058338
L_chi,120.0,28,-9.282238127310859e-06,-0.00023278622712297192,40.33331710077861,40.33354988700573
