# M4.1 archimedean Kahler density  Psi(r)=Re psi(1/4+i r/2)-log pi
"# PROVEN: Psi even, strictly increasing on r>0, unique zero r0, Psi~log(r/2pi)->+inf"
"# r0=6.2898359888369  gamma_1=14.1347251417  =>  Psi<0 ONLY on |r|<r0, strictly inside zero-free gap |r|<gamma_1"
r,Psi(r),Psi_prime(r)
18.75,1.09319810840392747,0.0533459879229
19.0,1.10644643659428086,0.0526437402398
19.25,1.11952149947665224,0.0519597452572
19.5,1.13242777162765308,0.0512933003183
19.75,1.14516955646007105,0.050643738383
20.0,1.1577509948448336,0.0500104257993
20.25,1.17017607319671664,0.0493927602392
20.5,1.18244863106333888,0.0487901687866
20.75,1.19457236825362151,0.0482021061632
21.0,1.20655085153885462,0.0476280530817
21.25,1.21838752095676189,0.0470675147151
21.5,1.23008569574646269,0.0465200192726
21.75,1.24164857993996938,0.045985116675
22.0,1.25307926763380361,0.0454623773191
22.25,1.26438074796244695,0.0449513909263
22.5,1.27555590979364037,0.0444517654682
22.75,1.28660754616399683,0.0439631261626
23.0,1.29753835847197646,0.0434851145353
23.25,1.30835096044398213,0.0430173875426
23.5,1.31904788188815142,0.0425596167495
23.75,1.3296315722493404,0.0421114875606
24.0,1.34010440397780368,0.0416726984982
24.25,1.35046867572316721,0.0412429605257
24.5,1.36072661536445679,0.0408219964123
24.75,1.37088038288617917,0.0404095401362
25.0,1.38093207310974873,0.0400053363238
25.25,1.39088371828890456,0.0396091397221
25.5,1.40073729057716595,0.039220714702
25.75,1.41049470437482402,0.0388398347912
26.0,1.42015781856245964,0.0384662822332
26.25,1.42972843862750888,0.0380998475719
26.5,1.43920831868996434,0.0377403292604
26.75,1.44859916343289984,0.0373875332906
27.0,1.45790262994313554,0.0370412728439
27.25,1.46712032946701675,0.0367013679615
27.5,1.47625382908596195,0.0363676452323
27.75,1.48530465331613999,0.0360399374977
28.0,1.49427428563636251,0.035718083572
28.25,1.5031641699480233,0.0354019279787
28.5,1.51197571197067963,0.035091320699
28.75,1.52071028057665061,0.0347861169352
29.0,1.52936920906780307,0.0344861768849
29.25,1.53795379639750455,0.0341913655278
29.5,1.5464653083405455,0.0339015524228
29.75,1.55490497861366708,0.0336166115152
30.0,1.56327400994917635,0.0333364209544
30.25,1.57157357512398647,0.0330608629198
30.5,1.57980481794628453,0.0327898234553
30.75,1.58796885420190393,0.0325231923126
31.0,1.59606677256236027,0.0322608628011
31.25,1.60409963545639941,0.0320027316461
31.5,1.61206847990680335,0.0317486988527
31.75,1.61997431833410288,0.0314986675766
32.0,1.62781813932875517,0.0312525440014
32.25,1.63560090839325974,0.0310102372209
32.5,1.64332356865560649,0.030771659127
32.75,1.6509870415553746,0.030536724303
33.0,1.65859222750373092,0.0303053499217
33.25,1.66614000651851044,0.0300774556478
33.5,1.67363123883549941,0.0298529635451
33.75,1.68106676549698326,0.0296317979874
34.0,1.68844740891856662,0.0294138855735
34.25,1.69577397343522104,0.0291991550463
